record_type,path,sha256,bytes,role
accepted_source,notebooks/preparation/01_import_state_alignment.qmd,74f32890d53fb39e38126764737486327cea0826d82ea3ea8e12a9cfbf1fb85a,34924,Preparation 01 source held unchanged
render_configuration,_quarto-nathealth.yml,b9c10a09d525d7de37bb08f5160e37409e382df6be0af58698a8219783b84ed5,7031,Accepted nathealth profile configuration held unchanged
accepted_handoff,audit/handoffs/preparation_reports_worker_handoff.md,ae882eb5a3079851d29367ad1883c7a4115edaf8774e3271d69ecf7e90dc4640,31435,Accepted owner handoff read before execution
environment_record,audit/report_harmonization/report017_environment_startup_repair_verification.md,2b8a24115ce9e187abcf57f0f9b52d643c917db57d2cd8d08f3d65e96983f249,6522,Normal startup and runtime verification record
startup_input,.Rprofile,3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4,26,Project startup profile held unchanged
startup_input,renv/activate.R,51798a35c2772b94b4a73ae7a7cc928975ff6e628a17bad1bc73d30defca82e6,39946,Project renv activation script held unchanged
environment_lock,renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,Project dependency lock held unchanged
focused_test,tests/test_preparation01_report.R,0237de70ff1659326b99e068d134b01d1927536fc6a805548ff3749a1160a337,6640,Focused bounded-render source test
scoped_baseline,audit/preparation_reports/report017_preparation01_prerender_scoped_readset.csv,d27066db44dba439a092c9f09315ea96ac66de6615ca6f20a5d4e580eec1b78b,34419,Pre-render 149-path scoped baseline
scoped_verification,audit/preparation_reports/report017_preparation01_postrender_scoped_verification.csv,38fb7dc92eca109a9abfa7fe96297d237a8708d64537571db9ab49176c1cf633,49444,Post-render 149-path identity comparison
rendered_target,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,03a18638500185707fa29b47981aeca4093d32f1d5efdcc8c54c5658df9c8465,371295,Preparation 01 review HTML
render_support,_build/nathealth/search.json,7a3b2e48bcf53bb18da7e91c35cbe8c2fa987f7b18e027ab0e52957e0ede51e3,1535924,Site search index updated by target render
render_support,_build/nathealth/sitemap.xml,9aa9d28fa79b8529e65c4a7c7410ad13b61ddf3b6e3caff0ad5db372ebe2bebd,5219,Site map updated by target render
verification_record,audit/preparation_reports/report017_preparation01_verification.md,5bf105e010be41617d09369e22348741d16e1a71fb0d8079dcb612c11990acb2,9056,Focused verification evidence and blocked visual-QA disposition
