"scope","href","label","label_nonempty","external","prohibited","resolved","fragment_ok","target","shared_unreleased_navigation"
"navigation","../../notebooks/preparation/01_import_state_alignment.html","Preparation",TRUE,FALSE,FALSE,TRUE,TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/01_import_state_alignment.html",FALSE
"navigation","../../notebooks/preparation/07_example_days.html","07 Example days",TRUE,FALSE,FALSE,TRUE,TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/07_example_days.html",FALSE
"navigation","../../","Nature Health analysis and manuscript",TRUE,FALSE,FALSE,TRUE,TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html",FALSE
"navigation","../../index.html","Manuscript",TRUE,FALSE,FALSE,TRUE,TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html",FALSE
"navigation","../../supplementary_information.html","Supplementary information",TRUE,FALSE,FALSE,FALSE,TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/../../supplementary_information.html",TRUE
"navigation","../../notebooks/preparation/01_import_state_alignment.html","01 Import and state alignment",TRUE,FALSE,FALSE,TRUE,TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/01_import_state_alignment.html",FALSE
"navigation","../../notebooks/preparation/02_coverage_sample_flow.html","02 Coverage and sample flow",TRUE,FALSE,FALSE,TRUE,TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html",FALSE
"navigation","../../notebooks/preparation/03_reference_profiles.html","03 Reference profiles",TRUE,FALSE,FALSE,TRUE,TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/03_reference_profiles.html",FALSE
"navigation","../../notebooks/preparation/04_metric_derivation.html","04 Metric derivation",TRUE,FALSE,FALSE,TRUE,TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/04_metric_derivation.html",FALSE
"navigation","../../notebooks/preparation/05_model_input_acquisition.html","05 Model-input acquisition",TRUE,FALSE,FALSE,TRUE,TRUE,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/05_model_input_acquisition.html",FALSE
