"record_type","path","sha256","bytes","role"
"accepted_source","notebooks/preparation/02_coverage_sample_flow.qmd","1bc72ab367443ef48727c7069ad9f58d950b00264e7ea78b5a72d05b4a979c50","28391","Preparation 02 source at the failed-visual stop"
"render_configuration","_quarto-nathealth.yml","b9c10a09d525d7de37bb08f5160e37409e382df6be0af58698a8219783b84ed5","7031","Accepted nathealth profile configuration held unchanged"
"accepted_handoff","audit/handoffs/preparation_reports_worker_handoff.md","ae882eb5a3079851d29367ad1883c7a4115edaf8774e3271d69ecf7e90dc4640","31435","Accepted owner handoff read before execution"
"focused_test","tests/test_preparation02_report.R","1a6fd5fb83fdefa7e7862c055fee71b6d6b9508a59b0a434b20936b51cea52c3","6169","Focused bounded-render source test"
"scoped_baseline","audit/preparation_reports/report017_preparation02_prerender_scoped_readset.csv","ea8f3d2e6684c4c4170db154c96a26cdf5a3f5a28d8433c7bf5f0dd9a418bdb8","6637","Pre-render 32-row scoped baseline"
"scoped_verification","audit/preparation_reports/report017_preparation02_postrender_scoped_verification.csv","adaf4aac8daa4ce6376a21300651c82f0de9511bb48d49e7f174c46321d4f84c","9941","Immediate post-render protected-input comparison"
"scoped_verification","audit/preparation_reports/report017_preparation02_final_scoped_verification.csv","adaf4aac8daa4ce6376a21300651c82f0de9511bb48d49e7f174c46321d4f84c","9941","Post-loopback protected-input comparison"
"rendered_target","_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html","0f3307775eac905a7c2ffb34a46d15ae9e85e237e293553f2e3a60c204305c26","313926","Preparation 02 HTML with failed visual disposition"
"render_support","_build/nathealth/search.json","edd628df4791c1c98e39a6a38066f24f1969ea1967e60621cb6a3c2508f62dd0","1535476","Search index updated by the target render"
"render_support","_build/nathealth/sitemap.xml","5eab7c792ed5e055eecbd3329e2fb4ce85efa140f3a37d0b4505ba655ffcffcd","5219","Sitemap updated by the target render"
"link_target","_build/nathealth/notebooks/preregistration_deviations.html","c033c1b8110e58375757e8ef8ac5c5d0dbf5f402a651454b247c1a622ded6880","160936","Resolved DEV-055 rendered target"
"verification_record","audit/preparation_reports/report017_preparation02_verification.md","03c4e283c691be459b4fa3020e30dcefd12a083c97b37ea0af659607439c8721","12063","Sealed failed-visual record with teardown and unchanged-input evidence"
