"check","result","evidence"
"title_and_hierarchy","PASS","Exact H1 and 10 H2 sections are present."
"bounded_render_note","PASS","The informational callout states the stored-read and no-build, no-model, no-writer boundary."
"native_gt_endpoints","PASS","All 19 unique tbl-* containers have one native gt table, one nonempty Quarto caption, nonempty headers, and body rows."
"source_note_contract","PASS","All 19 accepted tables have one source-note cell."
"current_mder_contract","PASS","The current MDER definition, four active availability counts, and non-MDER/site-context invariance wording are visible."
"l10_contract","PASS","The eight-cell L10 change, 547-zero plus 53-missing window, and gap-timing-unaware invariance are visible."
"preparation_qualifications","PASS","Both incomplete-independent-reconstruction qualifications and their not-evidence-of-error statement are visible."
"dev056_dynamic_link","PASS","DEV-056 resolves through ../../notebooks/preregistration_deviations.html#dev-056 to one target anchor."
"site_composition_figure","PASS","Figure caption and substantive alt text are present; image resolves to /Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/06_model_ready_datasets_files/figure-html/fig-site-composition-1.png."
"paired_figure_source_data","PASS","The paired categorical_levels.csv link resolves to /Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/08_diagnostics/preanalysis_comparison/categorical_levels.csv."
"country_coded_sites","PASS","All nine country-coded submitted-manuscript site names appear in the accepted order in tbl-shared-site-samples."
"main_links","PASS","6 main-content links have nonempty labels and resolve to files/fragments or external targets."
"internal_href_policy","PASS","No actual href contains .qmd, file://, _build, a build-directory path, or an absolute local user path."
"navigation","PASS","Preparation 06 is the sole active sidebar item, and H06 daily results follow H06 results."
"rendered_outputs","PASS","No rendered error/warning container, raw tibble, raw console block, or non-Mermaid preformatted output is present in main content."
