check,result,evidence
title_and_hierarchy,PASS,"Accepted title, subtitle, purpose, preparation-chain position, section hierarchy, and final provenance qualification are present."
bounded_render_note,PASS,"The information callout identifies stored reads and bounded checks and states that no network access, raw-response opening, acquisition builder, verifier, normalization, model-input construction, or artifact overwrite occurs."
native_gt_endpoints,PASS,"Nine unique tbl-* containers each contain one native gt table and one nonempty Quarto caption."
source_note_contract,PASS,"Eight tables contain one source-note cell each; tbl-acquisition-outcomes intentionally contains none, matching the accepted source and corrected order 23 metadata."
fixed_acquisition_values,PASS,"The 9 by 7 grid, 63 of 63 files, 963 source columns, 62 reused files, one downloaded file, nine reused sleep diaries, 53 model-input-cache files, fixed releases, and the Munich (DE) exception are present."
country_coded_sites,PASS,"Borås (SE), Delft (NL), Dortmund (DE), Tübingen (DE), Munich (DE), Madrid (ES), Izmir (TR), San José (CR), and Kumasi (GH) appear in registered order and colours."
main_links,PASS,"All five local links in main content resolve, including Preparation 06 and both detailed .md provenance records."
internal_href_policy,PASS,"No internal .qmd, file://, _build, build-directory, or absolute-local href appears."
navigation,PASS,"Preparation 05 is the sole active navigation item and H06_daily appears in its accepted later hypothesis position."
shared_unrendered_navigation_target,EXCLUDED,"The shared supplementary_information.html navigation target is absent because the order authorizes only Preparation 05; the source supplementary page was not rendered."
fragments_and_labels,PASS,"All current-page fragments resolve and every reader-facing link has visible text, an aria-label, or a title."
rendered_outputs,PASS,"No rendered R error or warning container, raw tibble or console output, unexpected empirical figure, duplicate table endpoint, or empty caption appears."
console,PASS,"The browser recorded zero warning or error messages during visual QA; the optional favicon request alone returned HTTP 404."
