"page","path","role","source_spec","bytes","sha256"
"preparation02","artifacts/02_aligned/light_chest_aligned.rds","accepted_preparation_inputs_member","artifacts/12_manifests/coverage_artifacts.csv",11660952,"be0f7189375a15de597242903254209e10dfe216ee724f3b741dd26886284f8b"
"preparation02","artifacts/02_aligned/light_glasses_aligned.rds","accepted_preparation_inputs_member","artifacts/12_manifests/coverage_artifacts.csv",11150900,"d50fb7054d133503965760f633aed7caf42a52e0cbda09cf7d27cd91983d8d59"
"preparation02","artifacts/03_coverage/coverage_settings.csv","accepted_preparation_manifest_member","artifacts/12_manifests/coverage_artifacts.csv",1560,"727a11c1491bbe11e0a58a11315a8714b5a0621657ddea073777be42ce6dd49e"
"preparation02","artifacts/03_coverage/light_chest_coverage.rds","accepted_preparation_manifest_member","artifacts/12_manifests/coverage_artifacts.csv",21201236,"07f2be7b58839b384eda76c6bf21ca736791fc81e22c07bd4615e35bbb0ff1ce"
"preparation02","artifacts/03_coverage/light_chest_daily_coverage.csv","accepted_preparation_manifest_member","artifacts/12_manifests/coverage_artifacts.csv",157243,"ae2d0f890ec7b5db59a61e1687b629bf228fe0ec4a6166b8ffe202f66fb874b4"
"preparation02","artifacts/03_coverage/light_chest_gap_runs.csv","accepted_preparation_manifest_member","artifacts/12_manifests/coverage_artifacts.csv",471612,"baa327936d9559b9462602a593d09c0c0ed2a2f7f4e97a5997a9b7e596f111d2"
"preparation02","artifacts/03_coverage/light_chest_hourly_coverage.csv","accepted_preparation_manifest_member","artifacts/12_manifests/coverage_artifacts.csv",1720317,"09ca0d7210de849c2232146b98ce8718c89a554587c61e7e7bbcc49bf3c9c865"
"preparation02","artifacts/03_coverage/light_glasses_coverage.rds","accepted_preparation_manifest_member","artifacts/12_manifests/coverage_artifacts.csv",19922480,"00085dc32ae370f059da9bfb6dfbf560eda4c4376fdb0727d2ef3c0b4fec34ee"
"preparation02","artifacts/03_coverage/light_glasses_daily_coverage.csv","accepted_preparation_manifest_member","artifacts/12_manifests/coverage_artifacts.csv",144799,"d1fdc38d7d8f15b8f978d532341694e5837463a8cf7e298492fca18b60af7860"
"preparation02","artifacts/03_coverage/light_glasses_gap_runs.csv","accepted_preparation_manifest_member","artifacts/12_manifests/coverage_artifacts.csv",432754,"66509c879485c2be0523bd4b77c2d4ebdfb9cdab37751dd65f00dca4e8199d50"
"preparation02","artifacts/03_coverage/light_glasses_hourly_coverage.csv","accepted_preparation_manifest_member","artifacts/12_manifests/coverage_artifacts.csv",1625339,"df364dd82e612e981a9f9925bb27c2ab0985d7c06224f07240d55c1b5e7e7bd6"
"preparation02","artifacts/03_coverage/sample_flow.csv","accepted_preparation_manifest_member","artifacts/12_manifests/coverage_artifacts.csv",16596,"5a3bce0c50cd4c62d49f123b108d3210a58db606a13bfbe679bf79bbae16e3f1"
"preparation02","artifacts/12_manifests/coverage_artifacts.csv","accepted_preparation_inputs","artifacts/12_manifests/coverage_artifacts.csv",6644,"0281118bfd0975181f6cf5fe39237f49271fa309c6de2d42d261b48450a5ba8d"
"preparation02","artifacts/12_manifests/coverage_artifacts.csv","accepted_preparation_manifest","artifacts/12_manifests/coverage_artifacts.csv",6644,"0281118bfd0975181f6cf5fe39237f49271fa309c6de2d42d261b48450a5ba8d"
"preparation02","config/site_display_registry.csv","reader_facing_display_registry","config/site_display_registry.csv",295,"3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809"
"preparation02","notebooks/preparation/02_coverage_sample_flow.qmd","render_source","notebooks/preparation/02_coverage_sample_flow.qmd",28373,"b65673d2ecfd8913a6e9c8ba06d7c1b98bca3665769864bb7f7e68be78a8f3ef"
"preparation02","scripts/pipeline/aggregation_coverage.R","described_function_module","scripts/pipeline/aggregation_coverage.R",28510,"d788e94e3f086c031c1ab85a40e455a28b1f64f3c2bb92db9c14000165ac801e"
"preparation02","scripts/pipeline/build_coverage_sample_flow.R","described_production_script","scripts/pipeline/build_coverage_sample_flow.R",32833,"021fbbd24730f1f98c1f1ba1bad27d26e81385a8621ef6f95640680efbbd0b05"
"preparation02","scripts/pipeline/verify_coverage_artifacts.R","described_verification_module","scripts/pipeline/verify_coverage_artifacts.R",33455,"99ca306f0e9eb9460c485c996e4ba2dc33de53978950096b763b070ec36afe8e"
"shared","_quarto-nathealth.yml","shared_quarto_configuration","_quarto-nathealth.yml",7031,"b9c10a09d525d7de37bb08f5160e37409e382df6be0af58698a8219783b84ed5"
"shared","_quarto.yml","shared_quarto_configuration","_quarto.yml",2517,"44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c"
"shared",".Rprofile","project_environment",".Rprofile",26,"3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4"
"shared","audit/decisions/figure_readability_and_layout.md","shared_preparation_contract","audit/decisions/figure_readability_and_layout.md",10910,"33bac9392c35ed2fb6fd8bef0cf80ba867229e97d31cd1ea28ce625a51c1565b"
"shared","audit/decisions/gap_timing_unaware_dataset_terminology.md","shared_preparation_contract","audit/decisions/gap_timing_unaware_dataset_terminology.md",2153,"c68ecb5b81639fddaa035ca2787ad43d1dd5106b7238f2f6d20db4d5df36a306"
"shared","audit/decisions/hypothesis_preparation_provenance_companions.md","shared_preparation_contract","audit/decisions/hypothesis_preparation_provenance_companions.md",8881,"f8c7dd0877ab1aaa2ee4d7cee7aa38683ab261630ce55271318ed99ebb3151db"
"shared","audit/decisions/manuscript_prepared_data_sensitivity.md","shared_preparation_contract","audit/decisions/manuscript_prepared_data_sensitivity.md",5395,"4f61db934f341127168fc84199e733a7b5eb25c06b3924e24c019732a75b7f2f"
"shared","audit/decisions/model_reporting.md","shared_preparation_contract","audit/decisions/model_reporting.md",10496,"1cb3d5735dcb736f563eed881daf7dcf6e6ed7a4fb75b38201dd753e4927157a"
"shared","audit/hypotheses/H02/H02_analysis_preparation.qmd","accepted_presentation_exemplar","audit/hypotheses/H02/H02_analysis_preparation.qmd",54702,"3d298f2f45165107bc69bbc3b35f1414a5d0cb905d8aa09c839d1e862618e808"
"shared","audit/hypotheses/implementation_result_comparison_contract.qmd","shared_preparation_contract","audit/hypotheses/implementation_result_comparison_contract.qmd",15571,"77da56a05dcb2627b712932bc1782d45d1e441f60ca80e2b061edfa4d217ce3b"
"shared","renv.lock","project_environment","renv.lock",603493,"3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350"
"shared","renv/activate.R","project_environment","renv/activate.R",39946,"51798a35c2772b94b4a73ae7a7cc928975ff6e628a17bad1bc73d30defca82e6"
"shared","styles.css","shared_quarto_configuration","styles.css",302,"557cf99b617ba158611d5326a76716c871f7373357e11d0295012600c0e6994b"
