"check_id","status","detail"
"seven_native_gt_tables","PASS","count 7"
"expected_table_endpoints","PASS",""
"one_native_gt_per_endpoint","PASS",""
"one_nonempty_quarto_caption_per_table","PASS",""
"table_headers_and_rows_nonempty","PASS",""
"three_figure_endpoints_caption_alt_files","PASS","1|1|1|TRUE|TRUE|TRUE|07_example_days_files/figure-html/fig-example-days-1-1.png; 1|1|1|TRUE|TRUE|TRUE|07_example_days_files/figure-html/fig-example-days-2-1.png; 1|1|1|TRUE|TRUE|TRUE|07_example_days_files/figure-html/fig-example-days-3-1.png"
"mermaid_endpoint_and_caption","PASS","mermaid 1 caption 1"
"title_and_hierarchy","PASS","Preparation 07: Inspect example days from each study site"
"render_boundary_callout","PASS","reader render-boundary statement"
"approved_equivalence_explanation","PASS","The stored example-day display was created from an earlier version of the site/daylight-context file. The accepted current file contains the same site/daylight values used here; only file-level provenance metadata changed."
"historical_current_hashes_and_plain_disposition","PASS","distinct historical and current identities displayed with the approved plain label"
"country_coded_sites_and_order","PASS","Borås (SE)@4304; Delft (NL)@4374; Dortmund (DE)@4445; Tübingen (DE)@4518; Munich (DE)@4590; Madrid (ES)@4660; Izmir (TR)@4734; San José (CR)@4806; Kumasi (GH)@4878"
"reader_links_nonempty","PASS",""
"no_prohibited_internal_href","PASS",""
"all_internal_links_and_fragments_resolve","PASS",""
"shared_unreleased_navigation_endpoint_isolated","PASS","../../supplementary_information.html"
"paired_source_data_link","PASS","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/prepared_day_showcase.csv"
"active_preparation07_navigation","PASS","07 Example days | ../../notebooks/preparation/07_example_days.html"
"h06_daily_navigation_present","PASS","../../notebooks/hypotheses/H06_daily.html; ../../audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html"
"no_hardcoded_html_link_in_source","PASS","QMD Markdown links"
"no_terminal_table_renderer","PASS","source table renderer scan"
"no_raw_console_warning_error_or_crossref_failure","PASS","reader-visible output scan"
"no_visible_internal_machine_status_code","PASS","reader-visible workflow code scan"
"no_rendered_error_nodes","PASS","error and unresolved-reference nodes"
