check,value,status
server_command,python3 -u -m http.server 0 --bind 127.0.0.1 --directory _build/nathealth,PASS
document_root,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth,PASS
address,127.0.0.1,PASS
port,55750,PASS
pid,20018,PASS
request_timestamp,2026-08-14T13:33:23+02:00,PASS
process_start,2026-08-14T13:33:32+02:00,PASS
listener_confirmation,2026-08-14T13:33:43+02:00,PASS
target_url,http://127.0.0.1:55750/notebooks/preparation/07_example_days.html,PASS
first_page_get,2026-08-14T13:33:55+02:00; HTTP 200,PASS
asset_requests,All required page and asset requests HTTP 200; optional favicon HTTP 404,PASS
browser_console,0 warning or error log entries,PASS
browser_finalize,2026-08-14T11:38:14.054Z (13:38:14.054+02:00),PASS
server_stop_confirmation,2026-08-14T13:38:24+02:00,PASS
server_exit_status,0,PASS
no_listener_proof,lsof -nP -iTCP:55750 -sTCP:LISTEN exited 1 with empty output,PASS
