route,text,hrefs,xpath
audit/H01/02_implementation_and_v0_comparison.html,Descriptive results H02 results,../../notebooks/descriptives.html|../../notebooks/hypotheses/H02.html,/html/body/div[2]/nav[2]
audit/hypotheses/H01/H01_analysis_preparation 2.html,H01 results H02 results,../../../notebooks/hypotheses/H01.html|../../../notebooks/hypotheses/H02.html,/html/body/div[2]/nav
audit/hypotheses/H01/H01_analysis_preparation.html,H01 · Findings: site differences H02 · Findings: daily site patterns,../../../notebooks/hypotheses/H01.html|../../../notebooks/hypotheses/H02.html,/html/body/div[2]/nav
audit/hypotheses/H02/H02_analysis_preparation.html,H02 results H03 results,../../../notebooks/hypotheses/H02.html|../../../notebooks/hypotheses/H03.html,/html/body/div[2]/nav
audit/hypotheses/H03/H03_analysis_preparation.html,H03 results H04 results,../../../notebooks/hypotheses/H03.html|../../../notebooks/hypotheses/H04.html,/html/body/div[2]/nav
audit/hypotheses/H03-H11_gated_workflow.html,Comparison contract Sensitivity checks,../../audit/hypotheses/implementation_result_comparison_contract.html|../../notebooks/sensitivity_battery.html,/html/body/div[2]/nav[2]
audit/hypotheses/H04/H04_analysis_preparation.html,H04 results H05 results,../../../notebooks/hypotheses/H04.html|../../../notebooks/hypotheses/H05.html,/html/body/div[2]/nav
audit/hypotheses/H05/H05_analysis_preparation.html,H05 results H06 results,../../../notebooks/hypotheses/H05.html|../../../notebooks/hypotheses/H06.html,/html/body/div[2]/nav
audit/hypotheses/H06/H06_analysis_preparation.html,H06 results H06 complementary daily results,../../../notebooks/hypotheses/H06.html|../../../notebooks/hypotheses/H06_daily.html,/html/body/div[2]/nav
audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,H06 complementary daily results H07 results,../../../notebooks/hypotheses/H06_daily.html|../../../notebooks/hypotheses/H07.html,/html/body/div[2]/nav
audit/hypotheses/H07/H07_analysis_preparation.html,H07 results H08 results,../../../notebooks/hypotheses/H07.html|../../../notebooks/hypotheses/H08.html,/html/body/div[2]/nav
audit/hypotheses/H08/H08_analysis_preparation.html,H08 results H09 results,../../../notebooks/hypotheses/H08.html|../../../notebooks/hypotheses/H09.html,/html/body/div[2]/nav
audit/hypotheses/H09/H09_analysis_preparation.html,H09 results H10 results,../../../notebooks/hypotheses/H09.html|../../../notebooks/hypotheses/H10.html,/html/body/div[2]/nav
audit/hypotheses/H10/H10_analysis_preparation.html,H10 results H11 results,../../../notebooks/hypotheses/H10.html|../../../notebooks/hypotheses/H11.html,/html/body/div[2]/nav
audit/hypotheses/H11/H11_analysis_preparation.html,H11 results Sensitivity checks,../../../notebooks/hypotheses/H11.html|../../../notebooks/sensitivity_battery.html,/html/body/div[2]/nav
audit/hypotheses/implementation_result_comparison_contract.html,H11 results H03–H11 gated workflow,../../notebooks/hypotheses/H11.html|../../audit/hypotheses/H03-H11_gated_workflow.html,/html/body/div[2]/nav[2]
index.html,Supplementary information,./supplementary_information.html,/html/body/div[2]/nav
notebooks/descriptives 2.html,Placement decision H01 results,../notebooks/placement_decision.html|../notebooks/hypotheses/H01.html,/html/body/div[2]/nav[2]
notebooks/descriptives.html,Placement decision Preregistration deviations,../notebooks/placement_decision.html|../notebooks/preregistration_deviations.html,/html/body/div[2]/nav
notebooks/hypotheses/H01 2.html,Preregistration deviations H01 preparation and provenance,../../notebooks/preregistration_deviations.html|../../audit/hypotheses/H01/H01_analysis_preparation.html,/html/body/div[2]/nav
notebooks/hypotheses/H01 3.html,H01 · Methods and provenance,../../audit/hypotheses/H01/H01_analysis_preparation.html,/html/body/div[2]/nav
notebooks/hypotheses/H01.html,H01 · Methods and provenance,../../audit/hypotheses/H01/H01_analysis_preparation.html,/html/body/div[2]/nav
notebooks/hypotheses/H02.html,H01 preparation and provenance H02 preparation and provenance,../../audit/hypotheses/H01/H01_analysis_preparation.html|../../audit/hypotheses/H02/H02_analysis_preparation.html,/html/body/div[2]/nav
notebooks/hypotheses/H03.html,H02 preparation and provenance H03 preparation and provenance,../../audit/hypotheses/H02/H02_analysis_preparation.html|../../audit/hypotheses/H03/H03_analysis_preparation.html,/html/body/div[2]/nav
notebooks/hypotheses/H04.html,H03 preparation and provenance H04 preparation and provenance,../../audit/hypotheses/H03/H03_analysis_preparation.html|../../audit/hypotheses/H04/H04_analysis_preparation.html,/html/body/div[2]/nav
notebooks/hypotheses/H05.html,H04 preparation and provenance H05 preparation and provenance,../../audit/hypotheses/H04/H04_analysis_preparation.html|../../audit/hypotheses/H05/H05_analysis_preparation.html,/html/body/div[2]/nav
notebooks/hypotheses/H06.html,H05 · Methods and provenance H06 · Methods and provenance,../../audit/hypotheses/H05/H05_analysis_preparation.html|../../audit/hypotheses/H06/H06_analysis_preparation.html,/html/body/div[2]/nav
notebooks/hypotheses/H06_daily.html,H06 preparation and provenance H06 complementary daily preparation and provenance,../../audit/hypotheses/H06/H06_analysis_preparation.html|../../audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,/html/body/div[2]/nav
notebooks/hypotheses/H07.html,H06 complementary daily preparation and provenance H07 preparation and provenance,../../audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html|../../audit/hypotheses/H07/H07_analysis_preparation.html,/html/body/div[2]/nav
notebooks/hypotheses/H08.html,H07 preparation and provenance H08 preparation and provenance,../../audit/hypotheses/H07/H07_analysis_preparation.html|../../audit/hypotheses/H08/H08_analysis_preparation.html,/html/body/div[2]/nav
notebooks/hypotheses/H09.html,H08 preparation and provenance H09 preparation and provenance,../../audit/hypotheses/H08/H08_analysis_preparation.html|../../audit/hypotheses/H09/H09_analysis_preparation.html,/html/body/div[2]/nav
notebooks/hypotheses/H10.html,H09 preparation and provenance H10 preparation and provenance,../../audit/hypotheses/H09/H09_analysis_preparation.html|../../audit/hypotheses/H10/H10_analysis_preparation.html,/html/body/div[2]/nav
notebooks/hypotheses/H11.html,H10 preparation and provenance H11 preparation and provenance,../../audit/hypotheses/H10/H10_analysis_preparation.html|../../audit/hypotheses/H11/H11_analysis_preparation.html,/html/body/div[2]/nav
notebooks/placement_decision.html,07 Example days Descriptive results,../notebooks/preparation/07_example_days.html|../notebooks/descriptives.html,/html/body/div[2]/nav
notebooks/preparation/01_import_state_alignment.html,Supplementary information 02 Coverage and sample flow,../../supplementary_information.html|../../notebooks/preparation/02_coverage_sample_flow.html,/html/body/div[2]/nav
notebooks/preparation/02_coverage_sample_flow.html,01 Import and state alignment 03 Reference profiles,../../notebooks/preparation/01_import_state_alignment.html|../../notebooks/preparation/03_reference_profiles.html,/html/body/div[2]/nav
notebooks/preparation/03_reference_profiles.html,02 Coverage and sample flow 04 Metric derivation,../../notebooks/preparation/02_coverage_sample_flow.html|../../notebooks/preparation/04_metric_derivation.html,/html/body/div[2]/nav
notebooks/preparation/04_metric_derivation.html,03 Reference profiles 05 Model-input acquisition,../../notebooks/preparation/03_reference_profiles.html|../../notebooks/preparation/05_model_input_acquisition.html,/html/body/div[2]/nav
notebooks/preparation/05_model_input_acquisition.html,04 Metric derivation 06 Model-ready datasets,../../notebooks/preparation/04_metric_derivation.html|../../notebooks/preparation/06_model_ready_datasets.html,/html/body/div[2]/nav
notebooks/preparation/06_model_ready_datasets.html,05 Model-input acquisition 07 Example days,../../notebooks/preparation/05_model_input_acquisition.html|../../notebooks/preparation/07_example_days.html,/html/body/div[2]/nav
notebooks/preparation/07_example_days.html,06 Model-ready datasets Placement decision,../../notebooks/preparation/06_model_ready_datasets.html|../../notebooks/placement_decision.html,/html/body/div[2]/nav
notebooks/preregistration_deviations.html,Descriptive results H01 results,../notebooks/descriptives.html|../notebooks/hypotheses/H01.html,/html/body/div[2]/nav
notebooks/sensitivity_battery.html,H11 preparation and provenance,../audit/hypotheses/H11/H11_analysis_preparation.html,/html/body/div[2]/nav
supplementary_information.html,Manuscript 01 Import and state alignment,./index.html|./notebooks/preparation/01_import_state_alignment.html,/html/body/div[2]/nav
