path,bytes,sha256,action,sensitivity_reference_count,status
audit/H01/02_implementation_and_v0_comparison.html,453033,4daa424552ce83cd0a5879cae4ced62d6ca75c4703bc0a1b3be2806ff332c10e,remove 1 exact sensitivity reference(s) from sidebar,1,proposed only; no candidate or public bytes changed
audit/hypotheses/H01/H01_analysis_preparation 2.html,725811,52b24d00ed6e5a9251b813932969376e396b6ff89239de9ef413d1a3e9054578,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
audit/hypotheses/H01/H01_analysis_preparation.html,740701,5479794d71b6030381f0cb25b298ece94e95a9e0a696dc41077fa77fbe0eced1,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
audit/hypotheses/H02/H02_analysis_preparation.html,611656,79459f44495fc28bba2d678a788192402f5ca6244aae2c1bc397901a4a53173f,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
audit/hypotheses/H03-H11_gated_workflow.html,59004,63710ee8e266136ddce389d974e8ae7138421d25277c2ce650425c1598adafda,remove 1 exact sensitivity reference(s) from head; remove 1 exact sensitivity reference(s) from sidebar; remove 1 exact sensitivity reference(s) from previous_next,3,proposed only; no candidate or public bytes changed
audit/hypotheses/H03/H03_analysis_preparation.html,959201,01958106e0363f7f449e234eabde65d0246f4ca864d895a57909d4cd46dde59a,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
audit/hypotheses/H04/H04_analysis_preparation.html,1224662,a7ae510b6f7b5c990699bacc3d2a60d2bdf55464996ca31c5653dd6f3bf6bcb9,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
audit/hypotheses/H05/H05_analysis_preparation.html,925586,c88614a3c17b604817a5f08e8c8310adb702d40edd7da67bc1238c737d3cdbb8,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
audit/hypotheses/H06/H06_analysis_preparation.html,849699,aeac00b6806ae10368e133e904784e7c2fcc79747bb8c8e2dc95fe2d721a944e,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,4101084,46c1b40edeecb6fe980aa2a9500b47d68d4e26d2b1202a7c0e0bd1564d935c2e,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
audit/hypotheses/H07/H07_analysis_preparation.html,653598,fdff004d7cb1bfd249b8bf0c26a3ced61a989fa6373a732c40849e1fad94be5f,remove 1 exact sensitivity reference(s) from navbar,1,proposed only; no candidate or public bytes changed
