route,heading,level,id,parent_id,line
audit/H01/02_implementation_and_v0_comparison.html,Sensitivity and complementary analyses,h2,,sensitivity-and-complementary-analyses,6038
audit/hypotheses/H01/H01_analysis_preparation 2.html,H01 analysis preparation and provenance,h1,,,421
audit/hypotheses/H01/H01_analysis_preparation 2.html,7. Sensitivity branches,h2,,sensitivity-branches,9320
audit/hypotheses/H01/H01_analysis_preparation 2.html,9. Technical provenance and reproduction,h2,,technical-provenance-and-reproduction,9877
audit/hypotheses/H01/H01_analysis_preparation 2.html,Output provenance and file identities,h3,,output-provenance-and-file-identities,11022
audit/hypotheses/H01/H01_analysis_preparation.html,H01 analysis preparation and provenance,h1,,,417
audit/hypotheses/H01/H01_analysis_preparation.html,7. Sensitivity branches,h2,,sensitivity-branches,9317
audit/hypotheses/H01/H01_analysis_preparation.html,9. Technical provenance and reproduction,h2,,technical-provenance-and-reproduction,9874
audit/hypotheses/H01/H01_analysis_preparation.html,Output provenance and file identities,h3,,output-provenance-and-file-identities,11055
audit/hypotheses/H02/H02_analysis_preparation.html,H02 analysis preparation and provenance,h1,,,463
audit/hypotheses/H02/H02_analysis_preparation.html,7. Sensitivity analyses and limitations,h2,,sensitivity-analyses-and-limitations,6964
audit/hypotheses/H02/H02_analysis_preparation.html,Technical provenance and reproduction,h2,,technical-provenance-and-reproduction,7495
audit/hypotheses/H03/H03_analysis_preparation 2.html,H03 analysis preparation and provenance,h1,,,144
audit/hypotheses/H03/H03_analysis_preparation 2.html,7. Code and output provenance,h2,,code-and-output-provenance,13486
audit/hypotheses/H03/H03_analysis_preparation.html,H03 analysis preparation and provenance,h1,,,423
audit/hypotheses/H03/H03_analysis_preparation.html,7. Technical provenance and reproduction,h2,,technical-provenance-and-reproduction,13666
audit/hypotheses/H03-H11_gated_workflow.html,Stage 4: Scientific description and provenance of the result-producing pipeline,h2,,stage-4-scientific-description-and-provenance-of-the-result-producing-pipeline,522
