"check_id","pass","detail"
"authority_sha_1",TRUE,"audit/report_harmonization/report018_order72k_non_s5_integration_release/release_manifest.csv"
"authority_shape_1",TRUE,"216 unique non-circular members"
"authority_members_1",TRUE,"216 / 216 exact"
"authority_sha_2",TRUE,"audit/report_harmonization/report018_order72k_non_s5_integration_release/integration_input_pins.csv"
"authority_shape_2",TRUE,"186 unique non-circular members"
"authority_members_2",TRUE,"186 / 186 exact"
"authority_sha_3",TRUE,"audit/report_harmonization/report018_order72k_non_s5_integration_dispatch/dependency_closure_pins.csv"
"authority_shape_3",TRUE,"21 unique non-circular members"
"authority_members_3",TRUE,"21 / 21 exact"
"no_symlinks_integration_candidate_order72k",TRUE,"Candidate tree is not a symlink-based copy"
"no_symlinks_consolidated_display_repair_order72k",TRUE,"Candidate tree is not a symlink-based copy"
"candidate_execution_absence_1",TRUE,"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/selection.qmd"
"candidate_execution_absence_2",TRUE,"audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/ZaunerEtAl2026_NatHealth_phase3_brown.qmd"
"candidate_execution_absence_3",TRUE,"audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/supplementary_information_outline.qmd"
"candidate_default_project",TRUE,"Default project, explicit selection target, execution disabled"
"stopped_exact_command",TRUE,"Exact first candidate HTML render, exit 1"
"sass_openkv_stop",TRUE,"Failure is in Quarto Sass-cache open path"
"no_first_selection_html",TRUE,"No HTML exists in failed output root"
"quarto_version",TRUE,"Installed Quarto 1.9.37"
"override_not_implemented",TRUE,"Installed bundle does not read QUARTO_CACHE_DIR"
"darwin_cache_path",TRUE,"macOS normal cache is existing user Library/Caches/quarto"
"sass_cache_path",TRUE,"SQLite KV resides at normal Sass cache path"
"normal_cache_owned_paths",TRUE,"Existing normal cache paths are regular user-owned paths, not symlinks"
