member,before_bytes,after_bytes,before_sha256,after_sha256,unchanged
[Content_Types].xml,2409,2409,5b0e1e6efdf5bcf32efe4e5c15f36e150b06e32ff7e7f80ddc2233a42d3d50ef,5b0e1e6efdf5bcf32efe4e5c15f36e150b06e32ff7e7f80ddc2233a42d3d50ef,True
_rels/.rels,736,736,9fb69a7357ad13f8012595979e7f7d7e3c1fe0107a3ac6b1c41180168fd43253,9fb69a7357ad13f8012595979e7f7d7e3c1fe0107a3ac6b1c41180168fd43253,True
word/document.xml,358303,358283,cb767c3e378f5b08cb7251fbe5f3a306bfe73ac0d10ec3e3b67bafc0fdd6e393,98e2924ccc67952165ada5b01d1904b40eacea517908480b47faf0a0e58ffb7f,False
word/_rels/document.xml.rels,29465,29465,d53bc65f5e93db1f307cd016405788548934224e9c2366bde41cd2cabf6cadde,d53bc65f5e93db1f307cd016405788548934224e9c2366bde41cd2cabf6cadde,True
word/numbering.xml,152738,152738,388fcde5780123cc38b97bc32e5bd3318281e52239dbf41d657bdde4905723e4,388fcde5780123cc38b97bc32e5bd3318281e52239dbf41d657bdde4905723e4,True
word/styles.xml,63831,63831,c6e1071d29e50f5f360cfa71bd58423cc04917fb1704a463562021e23b3f7155,c6e1071d29e50f5f360cfa71bd58423cc04917fb1704a463562021e23b3f7155,True
word/settings.xml,126217,126217,f116e509d0508ffa9c3943d26f53482498bcd8f123dadab7deea95e59799aa62,f116e509d0508ffa9c3943d26f53482498bcd8f123dadab7deea95e59799aa62,True
word/webSettings.xml,308235,308235,2b65f4ce04e0ec3b3586fb12b4c3daf6f4540bad6b804b8bc3da640a63b50f92,2b65f4ce04e0ec3b3586fb12b4c3daf6f4540bad6b804b8bc3da640a63b50f92,True
word/fontTable.xml,3348,3348,d2b92eb288f69c9b2543d5b599f57925d8a17d005931502aa66d80e016b398f1,d2b92eb288f69c9b2543d5b599f57925d8a17d005931502aa66d80e016b398f1,True
word/theme/theme1.xml,7670,7670,86a1634b20ff1976759b3bbef6a637579d03a3f9a5b70e1610deca60a043d1e4,86a1634b20ff1976759b3bbef6a637579d03a3f9a5b70e1610deca60a043d1e4,True
