"id","pass"
"ZIP_names_and_order",TRUE
"sole_document_xml_change",TRUE
"exact_XML_postimage",TRUE
"selected_paragraph_preimage",TRUE
"selected_paragraph_postimage",TRUE
"exact_reverse_XML",TRUE
"all_visible_runs_exact",TRUE
"all_54_drawings_exact",TRUE
"all_sections_exact",TRUE
"all_bookmarks_exact",TRUE
"unique_S9_target",TRUE
"heading_sequence",TRUE
"only_S9_break_removed",TRUE
"13_major_section_starts",TRUE
"93_references",TRUE
"author_affiliation_block_exact",TRUE
"AI_and_declarations_retained",TRUE
"19_native_files_exact",TRUE
"integrated_HTML_unchanged",TRUE
"36_dispatch_inputs_unchanged",TRUE
"271_prior_members_immutable",TRUE
"final_DOCX_hash_unchanged",TRUE
