"endpoint_order","table_id","native_gt_count","caption_count","caption","thead_count","th_count","tbody_count","body_row_count","body_cell_count","pass"
1,"tbl-h01-prep-boundary",1,1,"Table 1: Calculations performed when this page is rendered.",1,3,1,6,18,TRUE
2,"tbl-h01-prep-inputs",1,1,"Table 2: Verified analysis datasets entering the H01 implementation.",1,3,1,2,6,TRUE
3,"tbl-h01-prep-exclusions",1,1,"Table 3: Reasons prepared primary-dataset records did not enter an all-available fitted model frame.",1,5,1,17,45,TRUE
4,"tbl-h01-prep-metric-contract",1,1,"Table 4: Outcome contract applied to the 17 H01 metrics.",1,28,1,23,68,TRUE
5,"tbl-h01-prep-construct-rules",1,1,"Table 5: Metric-specific rules needed to preserve the intended response constructs.",1,4,1,4,16,TRUE
6,"tbl-h01-prep-scenarios",1,1,"Table 6: H01 model-row scenarios created before fitting.",1,8,1,10,48,TRUE
7,"tbl-h01-prep-primary-near-samples",1,1,"Table 7: Exact fitted sample for each primary near-eye outcome.",1,24,1,17,102,TRUE
8,"tbl-h01-prep-primary-chest-samples",1,1,"Table 8: Exact fitted sample for each complementary chest outcome.",1,24,1,17,102,TRUE
9,"tbl-h01-prep-site-sample-ranges",1,1,"Table 9: Range of fitted sample support across the 17 primary-dataset outcomes at each site.",1,24,1,19,68,TRUE
10,"tbl-h01-prep-formulas",1,1,"Table 10: Exact Wilkinson formulas supplied to the H01 fitted and comparison models.",1,4,1,12,20,TRUE
11,"tbl-h01-prep-model-settings",1,1,"Table 11: Model settings shared across the H01 analysis scenarios.",1,3,1,9,27,TRUE
12,"tbl-h01-prep-estimands",1,1,"Table 12: H01 estimands and the operation that produces each reported quantity.",1,4,1,6,24,TRUE
13,"tbl-h01-prep-multiplicity",1,1,"Table 13: Multiplicity families fixed for the H01 response package.",1,5,1,4,20,TRUE
14,"tbl-h01-prep-bootstrap-audit",1,1,"Table 14: Stored joint-refit support across the eight H01 analysis scenarios.",1,9,1,10,56,TRUE
15,"tbl-h01-prep-diagnostic-map",1,1,"Table 15: Stored model-check and influence outputs and the question each addresses.",1,3,1,6,18,TRUE
16,"tbl-h01-prep-sensitivity-map",1,1,"Table 16: H01 sensitivity analyses and what each branch changes.",1,4,1,8,32,TRUE
17,"tbl-h01-prep-module-map",1,1,"Table 17: H01 function modules used by the executable analysis scripts.",1,3,1,4,12,TRUE
18,"tbl-h01-prep-script-map",1,1,"Table 18: Executable H01 scripts in analytical order.",1,5,1,13,65,TRUE
19,"tbl-h01-prep-manifests",1,1,"Table 19: Manifests linking H01 code to stored scientific and reporting outputs.",1,4,1,8,32,TRUE
20,"tbl-h01-prep-environment",1,1,"Table 20: Environment used to render this page.",1,2,1,9,18,TRUE
