"endpoint","element","header_token","matches_in_table","resolves_to_th","pass"
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0001",1,TRUE,TRUE
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0002",1,TRUE,TRUE
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0003",1,TRUE,TRUE
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0001",1,TRUE,TRUE
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0002",1,TRUE,TRUE
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0003",1,TRUE,TRUE
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0001",1,TRUE,TRUE
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0002",1,TRUE,TRUE
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0003",1,TRUE,TRUE
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0001",1,TRUE,TRUE
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0002",1,TRUE,TRUE
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0003",1,TRUE,TRUE
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0001",1,TRUE,TRUE
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0002",1,TRUE,TRUE
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0003",1,TRUE,TRUE
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0001",1,TRUE,TRUE
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0002",1,TRUE,TRUE
"tbl-h01-prep-boundary","td","tbl-h01-prep-boundary--gt-0003",1,TRUE,TRUE
"tbl-h01-prep-inputs","td","tbl-h01-prep-inputs--gt-0001",1,TRUE,TRUE
"tbl-h01-prep-inputs","td","tbl-h01-prep-inputs--gt-0002",1,TRUE,TRUE
"tbl-h01-prep-inputs","td","tbl-h01-prep-inputs--gt-0003",1,TRUE,TRUE
"tbl-h01-prep-inputs","td","tbl-h01-prep-inputs--gt-0001",1,TRUE,TRUE
"tbl-h01-prep-inputs","td","tbl-h01-prep-inputs--gt-0002",1,TRUE,TRUE
"tbl-h01-prep-inputs","td","tbl-h01-prep-inputs--gt-0003",1,TRUE,TRUE
"tbl-h01-prep-exclusions","td","tbl-h01-prep-exclusions--gt-0004",1,TRUE,TRUE
