"attribute","element","token","matches_in_document","pass"
"headers","td","tbl-h01-prep-boundary--gt-0001",1,TRUE
"headers","td","tbl-h01-prep-boundary--gt-0002",1,TRUE
"headers","td","tbl-h01-prep-boundary--gt-0003",1,TRUE
"headers","td","tbl-h01-prep-boundary--gt-0001",1,TRUE
"headers","td","tbl-h01-prep-boundary--gt-0002",1,TRUE
"headers","td","tbl-h01-prep-boundary--gt-0003",1,TRUE
"headers","td","tbl-h01-prep-boundary--gt-0001",1,TRUE
"headers","td","tbl-h01-prep-boundary--gt-0002",1,TRUE
"headers","td","tbl-h01-prep-boundary--gt-0003",1,TRUE
"headers","td","tbl-h01-prep-boundary--gt-0001",1,TRUE
"headers","td","tbl-h01-prep-boundary--gt-0002",1,TRUE
"headers","td","tbl-h01-prep-boundary--gt-0003",1,TRUE
"headers","td","tbl-h01-prep-boundary--gt-0001",1,TRUE
"headers","td","tbl-h01-prep-boundary--gt-0002",1,TRUE
"headers","td","tbl-h01-prep-boundary--gt-0003",1,TRUE
"headers","td","tbl-h01-prep-boundary--gt-0001",1,TRUE
"headers","td","tbl-h01-prep-boundary--gt-0002",1,TRUE
"headers","td","tbl-h01-prep-boundary--gt-0003",1,TRUE
"headers","td","tbl-h01-prep-inputs--gt-0001",1,TRUE
"headers","td","tbl-h01-prep-inputs--gt-0002",1,TRUE
"headers","td","tbl-h01-prep-inputs--gt-0003",1,TRUE
"headers","td","tbl-h01-prep-inputs--gt-0001",1,TRUE
"headers","td","tbl-h01-prep-inputs--gt-0002",1,TRUE
"headers","td","tbl-h01-prep-inputs--gt-0003",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0004",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0001",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0004",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0002",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0004",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0003",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0004",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0001",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0004",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0002",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0004",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0003",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0004",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0001",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0004",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0002",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0004",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0003",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0004",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0001",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0004",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0002",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0004",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0003",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0004",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0001",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0004",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0002",1,TRUE
"headers","td","tbl-h01-prep-exclusions--gt-0004",1,TRUE
