"link_text","href","kind","resolved_path","target_exists","fragment","fragment_resolves_once","forbidden_internal_target","interactive_control","known_doc001_hold","pass"
"Hypothesis analyses","../../../notebooks/hypotheses/H01.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"H01 preparation and provenance","../../../audit/hypotheses/H01/H01_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"Nature Health analysis and manuscript","../../../","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"Manuscript","../../../index.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"Supplementary information","../../../supplementary_information.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/../../../supplementary_information.html",FALSE,"",FALSE,FALSE,FALSE,TRUE,TRUE
"01 Import and state alignment","../../../notebooks/preparation/01_import_state_alignment.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/01_import_state_alignment.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"02 Coverage and sample flow","../../../notebooks/preparation/02_coverage_sample_flow.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"03 Reference profiles","../../../notebooks/preparation/03_reference_profiles.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/03_reference_profiles.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"04 Metric derivation","../../../notebooks/preparation/04_metric_derivation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/04_metric_derivation.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"05 Model-input acquisition","../../../notebooks/preparation/05_model_input_acquisition.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/05_model_input_acquisition.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
"06 Model-ready datasets","../../../notebooks/preparation/06_model_ready_datasets.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/06_model_ready_datasets.html",TRUE,"",TRUE,FALSE,FALSE,FALSE,TRUE
