"path","expected_sha256","current_sha256","expected_bytes","current_bytes","exists","status"
"scripts/hypotheses/H01/archive_h01_pre_sleep_tweedie_baseline.R","90a5d2cae47fd865bed31388d1078c321f3aaba395d97d4d0bb957f5458ab7fe","90a5d2cae47fd865bed31388d1078c321f3aaba395d97d4d0bb957f5458ab7fe",7602,7602,TRUE,"PASS"
"scripts/hypotheses/H01/assess_h01_response_family_candidates.R","912ae884a8ef13d0ed67a96905eca243fb7b2560f2f34ff7b6d1a555544f5dec","912ae884a8ef13d0ed67a96905eca243fb7b2560f2f34ff7b6d1a555544f5dec",33717,33717,TRUE,"PASS"
"scripts/hypotheses/H01/audit_h01_l10_METRIC011.R","711dbfc8f9ca9ed10957271b8bf44fb34369b59dcd4201211f8c030f5abb4cf8","711dbfc8f9ca9ed10957271b8bf44fb34369b59dcd4201211f8c030f5abb4cf8",31911,31911,TRUE,"PASS"
"scripts/hypotheses/H01/audit_h01_major_gates.R","978c47c8baafd6900ed214e088bfa43c81348403c4b695379d0496bfe20c100b","978c47c8baafd6900ed214e088bfa43c81348403c4b695379d0496bfe20c100b",10412,10412,TRUE,"PASS"
"scripts/hypotheses/H01/audit_h01_mder_METRIC010.R","f87e674a7da27165676170afb9dbeeb8d0cfb5cf441dc1a74815435b5db8f329","f87e674a7da27165676170afb9dbeeb8d0cfb5cf441dc1a74815435b5db8f329",36568,36568,TRUE,"PASS"
"scripts/hypotheses/H01/audit_h01_postbootstrap_response_families.R","b5ab40b93ab8a3d9c4cc43f917c84b2ed1cee6128d86dc373a2c284e70c1fdf3","b5ab40b93ab8a3d9c4cc43f917c84b2ed1cee6128d86dc373a2c284e70c1fdf3",7654,7654,TRUE,"PASS"
"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","0ff174f2127ac981d13b619038c16f286f0643a10372610def43f687048aa4ee","0ff174f2127ac981d13b619038c16f286f0643a10372610def43f687048aa4ee",7163,7163,TRUE,"PASS"
"scripts/hypotheses/H01/build_h01_reporting_inputs.R","8d331dd3c8c1c5f2bc70c074d482481a7667b20d215f31a8e1248530da2096b3","8d331dd3c8c1c5f2bc70c074d482481a7667b20d215f31a8e1248530da2096b3",38210,38210,TRUE,"PASS"
"scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R","294789e6716910d45e9a00f4bb955d6793f12a81320e75595500465379e036be","39511a898f5d55be1abeb571e48a7812a0143f1db3aa641614e5464eb9c75bbc",67604,68626,TRUE,"HASH_OR_SIZE_MISMATCH"
"scripts/hypotheses/H01/build_h01_worker_manifest.R","1bcfdc0eaee6a7d63e16368b87a33e3b0499789a756af1f551594d6f2d6f8a63","1bcfdc0eaee6a7d63e16368b87a33e3b0499789a756af1f551594d6f2d6f8a63",2538,2538,TRUE,"PASS"
