"check","pass","evidence","status"
"semantic_hook_repaired_and_reversible",TRUE,"REPAIRED; 20 tables, 169 IDs, 797 headers, 966 substitutions","PASS"
"exact_20_native_gt_endpoints",TRUE,"20 endpoints; 20 unique","PASS"
"table_endpoint_order_matches_source",TRUE,"source=20 rendered=20","PASS"
"all_table_endpoints_complete",TRUE,"20/20 complete","PASS"
"exact_two_figure_endpoints",TRUE,"2 endpoints; 2 unique","PASS"
"figure_endpoint_order_matches_source",TRUE,"source=2 rendered=2","PASS"
"all_figure_endpoints_complete",TRUE,"2/2 complete","PASS"
"one_top_to_bottom_mermaid_source",TRUE,"mermaid_count=1","PASS"
"unique_document_ids",TRUE,"duplicate_ids=0","PASS"
"all_headers_resolve_once_within_table",TRUE,"header_tokens=1442 failures=0","PASS"
"all_explicit_idrefs_resolve_once",TRUE,"idrefs=1471 failures=0","PASS"
"no_cell_output_errors_or_warnings",TRUE,"errors=0 warnings=0","PASS"
"no_unresolved_cross_references",TRUE,"no unresolved-reference elements or tokens","PASS"
"all_reader_links_resolve",FALSE,"links=780 failures=2","FAIL"
"no_forbidden_internal_reader_links",TRUE,"forbidden=0","PASS"
"both_source_data_links_present_and_resolve",FALSE,"source_links=2 resolving=0","FAIL"
"registration_links_and_anchors_resolve",TRUE,"registration_links=2 resolving=2","PASS"
"reciprocal_result_and_companion_links",TRUE,"result link, result registration anchor, and result-to-companion link","PASS"
"active_companion_navigation",TRUE,"../../../audit/hypotheses/H01/H01_analysis_preparation.html","PASS"
"all_nine_country_coded_site_names_present",TRUE,"site_labels=9/9","PASS"
"rendered_qmd_copy_matches_source",FALSE,"source=ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f rendered_copy=85d51304a3a5808efa6ec4cf7bded79a07a31ff639a6643ec49be67fb8ed6dcc","FAIL"
"preparation_manifest_all_rows_exact",FALSE,"manifest_rows=62 pass=56 missing=2 mismatch=4","FAIL"
"protected_inventory_unchanged_except_target_html",TRUE,"EXPECTED_TARGET_HTML_CHANGE 1; PASS_IDENTICAL 1694","PASS"
"build_delta_fully_classified_without_defect",FALSE,"ALLOWED_NO_CONTENT_CHANGE 1112; ALLOWED_RENDER_OUTPUT 3; DEFECT_SOURCE_DATA_REMOVED 3","FAIL"
