run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,inferential_run,metric_order,metric_id,manuscript_name,response_family,response_transform,effect_scale,site,estimate_model_per_point,std_error_model_per_point,conf_low_model_per_point,conf_high_model_per_point,estimate_practical_per_point,conf_low_practical_per_point,conf_high_practical_per_point,estimate_practical_per_sd,conf_low_practical_per_sd,conf_high_practical_per_sd,effect_type,interval_method,slope_status,display_order,display_name,color_hex
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,RISE,-0.011362597892838739,0.013149475321326275,-0.03713509593823648,0.014409900152559007,0.9741759464065465,0.9180469752869692,1.0337366170837172,0.8650735261348208,0.6226980366648033,1.2017898910160987,ratio,wald_normal,PASS,1,Borås (SE),#88CCEE
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,THUAS,-0.009726048340216734,0.02041841115430517,-0.04974539882418577,0.0302933021437523,0.9778538537355228,0.8917735790427296,1.072243203585197,0.8833224020517602,0.5301740067426792,1.4717026033778964,ratio,wald_normal,PASS,2,Delft (NL),#117733
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,BAUA,0.006595139225154698,0.01194991025882702,-0.01682625450063197,0.030016532950941362,1.0153017604718455,0.9619970616066097,1.071560097174985,1.0877673486409332,0.806835941323007,1.4665159844380686,ratio,wald_normal,PASS,3,Dortmund (DE),#DDCC77
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,MPI,-0.007768314771103869,0.010259585564461372,-0.027876732973755192,0.012340103431547452,0.982271820684426,0.9378281555605732,1.028821670569239,0.9056591437796861,0.7007568460820016,1.170475164527716,ratio,wald_normal,PASS,4,Tübingen (DE),#DDCC77
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,TUM,0.011689940750956536,0.027153509975436915,-0.04152996085474889,0.06490984235666196,1.0272826203586092,0.9088036008894635,1.1612075271906916,1.160808035264825,0.5887496288205663,2.2887068267622706,ratio,wald_normal,PASS,5,Munich (DE),#DDCC77
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,FUSPCEU,-0.0301037230331886,0.011838183700561243,-0.05330613672865773,-0.006901309337719472,0.9330314372508339,0.8844919064956585,0.9842347414431994,0.6811302680579749,0.5066318769427249,0.9157308554376205,ratio,wald_normal,PASS,6,Madrid (ES),#CC6677
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,IZTECH,-0.004126099229596583,0.01136972538700219,-0.026410351502231595,0.01815815304303843,0.990544294432106,0.9410000543210955,1.0426970697040931,0.9487287661823839,0.7139879275660493,1.2606463457306618,ratio,wald_normal,PASS,7,Izmir (TR),#332288
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,UCR,-0.00424840818065831,0.027003616396939406,-0.05717452377099479,0.04867770740967817,0.9902653699225921,0.8766484640508223,1.1186074499425325,0.947249744611878,0.48223892791278994,1.860658745553483,ratio,wald_normal,PASS,8,San José (CR),#44AA99
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,KNUST,0.010680001059748933,0.017478106786433783,-0.02357645875960637,0.04493646087910423,1.024896478837018,0.9471604195809548,1.1090125501625636,1.1459495568905442,0.7402700551900333,1.7739477339800347,ratio,wald_normal,PASS,9,Kumasi (GH),#AA4499
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,2,m10_mean_medi,Brightest 10 h mean,gaussian,log10_offset_0.1,ratio,RISE,-0.03002999399926897,0.01880743772681544,-0.06689189458530709,0.006831906586769146,0.9331898489943837,0.8572512072873278,1.0158554305474161,0.6817711616098856,0.42601960171785475,1.091057582629096,ratio,wald_normal,PASS,1,Borås (SE),#88CCEE
