deviation_ids,topic,registered_or_expected,analysis_used
DEV-001; REP-001; REP-002,Placement,Chest measurements were primary and near-eye measurements a robustness repeat.,Near-eye measurements are primary; chest measurements are complementary and placements are not pooled.
DEV-003; DEV-004; IMP-003; DEV-055,Inclusion and support,Protocol eligibility and fixed daily/hourly coverage exclusions defined the sample.,Verified participant-day coverage is followed by metric-specific support; every fitted model reports its exact rows and support hours.
DEV-005; DEV-006; IMP-018; IMP-019; REP-003,Sleep and non-wear,Logged non-wear and sleep exclusions were applied without a fully specified state hierarchy.,"Diary sleep has precedence, invalid non-wear is masked consistently, and sleep measurements are described as the bedside environment rather than ocular exposure."
IMP-002,Upper light boundary,"Values above 120,000 lx were to be removed.","The verified analytical melEDI signal retains values strictly below 100,000 lx."
DEV-007,Darkest-window level,The level metric used the five darkest hours.,The approved metric is the mean melEDI during the darkest 10 hours.
DEV-008; DEV-054,Threshold timing,The timing outcome was the midpoint of the longest period above 250 lx.,"The package includes first, last, and mean timing above 250 lx; period construction follows verified continuity and support rules."
DEV-009,Site and latitude,One model included both site and latitude.,"Because each site has one latitude, fixed-site and linear-latitude models are fitted separately on identical rows and compared for adequacy."
DEV-017,Photoperiod scope,Photoperiod adjustment was specified for duration metrics.,Photoperiod is included in the common model implementation for all 17 metrics.
DEV-018; H01-005,Response models,Linear mixed models were specified generically.,Each metric uses its approved Gaussian transformation or Tweedie log-link response model.
IMP-001; H01-001; H01-006,Multiplicity,False-discovery-rate control was required within H1 but the exact vectors were not specified.,"Four separate complete 17-test Benjamini–Hochberg families are used for site, photoperiod, latitude, and site-versus-latitude adequacy."
H01-002,Site follow-ups,Site coefficients were reported without a fixed hierarchical follow-up rule.,"Only after a supported overall site test, each site is compared with the equally weighted overall site mean and the site contrasts are adjusted within metric."
IMP-004; H01-003; H01-004,Variation and uncertainty,Conditional R² and significance-dependent component summaries were used without joint interval estimation.,"Marginal and conditional R², participant-associated share, and non-overlapping term part-R² summaries use 1,000 successful joint bootstrap refits and 95% intervals."
IMP-010,Model comparison,Fixed-effect structures had been compared using REML-derived criteria.,Gaussian fixed-effect comparisons use maximum likelihood; final Gaussian estimation uses REML where applicable.
IMP-012,Full-day construct,The intended relation between worn exposure and sleep-period environmental measurement was implicit.,The 24-hour record retains both constructs but keeps their interpretations distinct.
IMP-013; DEV-051,Melanopic daylight efficacy ratio,The previous ratio calculation averaged instantaneous ratios.,The metric is the ratio of integrated melanopic to photopic exposure over verified common support.
IMP-014; DEV-053,Interdaily stability and intradaily variability,Incomplete repeated-day support could enter the dynamics metrics.,Dynamics metrics use verified temporal support and report participant-level model rows plus contributing participant-days.
IMP-015; DEV-054,"Windows, periods, and timing",Missing intervals could be bridged or incomplete windows summarized.,"Windows and continuous periods use support, continuity, gap, wrapping, and tie rules fixed before modelling."
IMP-016; DEV-052,melEDI dose,Dose could be a partial sum without a defined support denominator.,Dose is time-sensitive and retained only with the approved interval support.
IMP-017; IMP-020,Time axes and source epochs,A single local time axis and one assumed source epoch were used.,"Absolute time governs ordering and duration, local wall time governs clock metrics, repeated fall-back bins are handled explicitly, and each source epoch is respected."
DEV-049; DEV-050,Software environment,R 4.5 and earlier LightLogR/API versions were named.,The analysis uses the verified R 4.6.1 project library and pinned contemporary package APIs.
DEV-057,Participant-day plausibility,Coverage relied on recorded valid minutes without a hard calendar-day plausibility check.,"Participant-days with more than 1,440 valid light-signal minutes are excluded before metric modelling."
H01-007; IMP-024,Pre-sleep duration,The label implied a single three-hour window before sleep.,The outcome is calendar-day cumulative time below 10 lx melEDI across every diary-defined pre-sleep interval; values strictly above six hours trigger an audit warning but are not capped.
H01-008; IMP-023,Darkest-10-hour midpoint,The clock response was linearized around noon.,The primary conversion subtracts 24 hours only for values strictly after 16:00; the noon cut is a registered same-row sensitivity.
