run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,inferential_run,metric_order,metric_id,manuscript_name,participants,participant_days,sites,metric_support_valid_hours,metric_support_expected_hours,metric_support_missing_rows,site_levels,site_contrasts,score_center,score_participant_sd,row_key_hash,model_frame_hash
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,1,daily_geometric_mean_medi,Mean melEDI,141,816,9,18851,19586,0,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.5978260869565,5.53984036898639,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,013a3ecb44680383ebda59fbc003a112490eac25bf39423b6400099f1acbe8e6
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,2,m10_mean_medi,Brightest 10 h mean,141,816,9,,,816,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.5978260869565,5.53984036898639,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,5e4410c0c01642ebf86765e7e6e02589bf590430ec0a6f54b484f0c9924eddfd
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,3,l10_mean_medi,Darkest 10 h mean,141,816,9,,,816,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.5978260869565,5.53984036898639,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,5e6776ee9f677607643e3d4273629f59fd1623a13f377d4dbe253760d21b133c
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,4,duration_above_1000,"Time above 1,000 lx melEDI",141,816,9,18851,19586,0,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.5978260869565,5.53984036898639,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,7d88561fbe13c025f6af472a5f14c5041b38fe4c24cff46359243259710e5ab9
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,5,duration_above_250_wake,Time above 250 lx melEDI during wake,141,737,9,9174.283333333333,9586.383333333333,0,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.5978260869565,5.53984036898639,3097ca37533a81a8009274f251ec65fb2fbc09044f8f796d9f0f42e1443c7c80,ed54c6aa119f6743144bcf601e9681a60963c18474ddda2b19ec02a630a1bec9
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,139,655,9,1925.5333333333333,1954.25,0,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.5978260869565,5.53984036898639,6d2f283781ab3130ba2caacbcbde035f8a0d2b1c8818f4b45ad57fb46943af14,e1bf1acedc85e68a7f6d7d790cb733422b1355c1fe06e04331e21072f34496d5
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,141,778,9,6282.516666666666,6286.533333333334,0,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.5978260869565,5.53984036898639,d596e734fdd69bd06887b1be05ef2592538649b4853eaac2d68646c80660f820,c6a11d14be3468c99d00396b923ad885f01139dd30b3339763dc391cc004239f
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,141,816,9,18851,19586,0,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.5978260869565,5.53984036898639,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,701a4f7290c04445a9d838339800f7ed36a58abc0d1600cb5939cd9a852aa056
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,9,dose_time_sensitive_corrected_medi,melEDI dose,141,761,9,17678.816666666666,18265,0,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.5978260869565,5.53984036898639,b1ce4b966797511254650262b1a4d5dad4a0c83dca0f90c108e8de32f19e1a8b,21674572ecdd236b21ad720fe89bdbde5c2157376ce01210d492784b0534bfe6
2,main__chest__all_available,main,Primary dataset,chest,Chest,all_available,TRUE,1,daily_geometric_mean_medi,Mean melEDI,154,902,8,20891.75,21648,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.5978260869565,5.53984036898639,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,2e372026e28b6820637d72e6870ee38576bcb1f2bc840a503a7418f630e1c266
