site,Id,position,local_date,expected_real_minutes,expected_wall_minutes,represented_wall_minutes,source_observed_real_minutes,valid_medi_real_minutes,valid_light_real_minutes,valid_paired_real_minutes,unknown_diary_state_real_minutes,missing_medi_real_minutes,missing_medi_runs,maximum_missing_medi_run_minutes,dst_fold_real_minutes,repeated_wall_real_minutes,structural_nonexistent_wall_minutes
BAUA,BAUA_S001,chest,2025-06-11,1440,1440,1440,1440,1413,1413,1413,0,27,3,24,0,0,0
BAUA,BAUA_S001,chest,2025-06-12,1440,1440,1440,1440,1322,1322,1322,0,118,1,118,0,0,0
BAUA,BAUA_S001,chest,2025-06-13,1440,1440,1440,1440,1323,1323,1323,0,117,2,91,0,0,0
BAUA,BAUA_S001,chest,2025-06-14,1440,1440,1440,1440,1270,1270,1270,1144,170,1,170,0,0,0
BAUA,BAUA_S001,chest,2025-06-15,1440,1440,1440,1440,1440,1440,1440,1270,0,0,0,0,0,0
BAUA,BAUA_S001,chest,2025-06-16,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S002,chest,2025-06-11,1440,1440,1440,1440,1439,1440,1439,0,1,1,1,0,0,0
BAUA,BAUA_S002,chest,2025-06-12,1440,1440,1440,1440,1392,1392,1392,0,48,1,48,0,0,0
BAUA,BAUA_S002,chest,2025-06-13,1440,1440,1440,1440,1323,1323,1323,0,117,1,117,0,0,0
BAUA,BAUA_S002,chest,2025-06-14,1440,1440,1440,1440,1346,1346,1346,0,94,1,94,0,0,0
BAUA,BAUA_S002,chest,2025-06-15,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S002,chest,2025-06-16,1440,1440,1440,1440,1401,1401,1401,0,39,1,39,0,0,0
BAUA,BAUA_S003,chest,2025-06-11,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S003,chest,2025-06-12,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S003,chest,2025-06-13,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S003,chest,2025-06-14,1440,1440,1440,1440,1439,1439,1439,0,1,1,1,0,0,0
BAUA,BAUA_S003,chest,2025-06-15,1440,1440,1440,1440,1425,1425,1425,0,15,1,15,0,0,0
BAUA,BAUA_S003,chest,2025-06-16,1440,1440,1440,1440,1416,1416,1416,0,24,2,20,0,0,0
BAUA,BAUA_S004,chest,2025-06-11,1440,1440,1440,1440,1351,1351,1351,0,89,1,89,0,0,0
BAUA,BAUA_S004,chest,2025-06-12,1440,1440,1440,1440,1282,1282,1282,0,158,1,158,0,0,0
BAUA,BAUA_S004,chest,2025-06-13,1440,1440,1440,1440,1378,1378,1378,0,62,1,62,0,0,0
BAUA,BAUA_S004,chest,2025-06-14,1440,1440,1440,1440,1379,1379,1379,0,61,1,61,0,0,0
BAUA,BAUA_S004,chest,2025-06-15,1440,1440,1440,1440,1304,1304,1304,0,136,1,136,0,0,0
BAUA,BAUA_S004,chest,2025-06-16,1440,1440,1440,1440,1300,1300,1300,0,140,1,140,0,0,0
BAUA,BAUA_S005,chest,2025-06-11,1440,1440,1440,1440,1306,1306,1306,0,134,4,61,0,0,0
BAUA,BAUA_S005,chest,2025-06-12,1440,1440,1440,1440,1294,1294,1294,0,146,2,80,0,0,0
BAUA,BAUA_S005,chest,2025-06-13,1440,1440,1440,1440,1297,1297,1297,0,143,2,82,0,0,0
BAUA,BAUA_S005,chest,2025-06-14,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S005,chest,2025-06-15,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S006,chest,2025-06-11,1440,1440,1440,1440,1410,1411,1410,0,30,3,28,0,0,0
BAUA,BAUA_S006,chest,2025-06-12,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S006,chest,2025-06-13,1440,1440,1440,1440,1376,1377,1376,0,64,4,46,0,0,0
BAUA,BAUA_S006,chest,2025-06-15,1440,1440,1440,1440,1440,1440,1440,910,0,0,0,0,0,0
BAUA,BAUA_S006,chest,2025-06-16,1440,1440,1440,1440,1440,1440,1440,1355,0,0,0,0,0,0
BAUA,BAUA_S008,chest,2025-06-25,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S008,chest,2025-06-26,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S008,chest,2025-06-27,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S008,chest,2025-06-28,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S008,chest,2025-06-29,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S008,chest,2025-06-30,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S009,chest,2025-06-25,1440,1440,1440,1440,1324,1324,1324,0,116,1,116,0,0,0
BAUA,BAUA_S009,chest,2025-06-26,1440,1440,1440,1440,1345,1345,1345,0,95,1,95,0,0,0
BAUA,BAUA_S009,chest,2025-06-27,1440,1440,1440,1440,1404,1404,1404,0,36,1,36,0,0,0
BAUA,BAUA_S009,chest,2025-06-28,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S009,chest,2025-06-29,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S009,chest,2025-06-30,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S010,chest,2025-06-28,1440,1440,1440,1440,1343,1343,1343,0,97,2,80,0,0,0
BAUA,BAUA_S010,chest,2025-06-29,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S012,chest,2025-07-16,1440,1440,1440,1440,1219,1219,1219,0,221,1,221,0,0,0
BAUA,BAUA_S012,chest,2025-07-17,1440,1440,1440,1440,1392,1392,1392,0,48,1,48,0,0,0
BAUA,BAUA_S012,chest,2025-07-18,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S012,chest,2025-07-19,1440,1440,1440,1440,1243,1243,1243,0,197,1,197,0,0,0
BAUA,BAUA_S012,chest,2025-07-20,1440,1440,1440,1440,1238,1238,1238,0,202,3,110,0,0,0
BAUA,BAUA_S012,chest,2025-07-21,1440,1440,1440,1440,1309,1309,1309,0,131,3,90,0,0,0
BAUA,BAUA_S013,chest,2025-07-16,1440,1440,1440,1440,1430,1430,1430,1080,10,1,10,0,0,0
BAUA,BAUA_S013,chest,2025-07-17,1440,1440,1440,1440,1420,1420,1420,1200,20,1,20,0,0,0
BAUA,BAUA_S013,chest,2025-07-18,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S013,chest,2025-07-19,1440,1440,1440,1440,1438,1440,1438,0,2,2,1,0,0,0
BAUA,BAUA_S013,chest,2025-07-20,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S013,chest,2025-07-21,1440,1440,1440,1440,1338,1338,1338,0,102,2,84,0,0,0
BAUA,BAUA_S014,chest,2025-07-16,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S014,chest,2025-07-17,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S014,chest,2025-07-18,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S014,chest,2025-07-19,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S014,chest,2025-07-20,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S014,chest,2025-07-21,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
