site,Id,position,local_date,profile_variant,analysis_unit,metric,value,units,state_domain,estimable,failure_reason,ordinary_support,relevance_support,valid_minutes,expected_minutes,descriptive_nonconfirmatory,left_censored,right_censored,any_censored,state_domain_complete,medi_profile_support,light_profile_support,minimum_support,passes_ordinary_support,passes_medi_profile_support,passes_light_profile_support,support_threshold_enforced,ratio_scaled_or_weighted,estimate_interpretation,missing_invalid_breaks_runs,exact_identifiable
BAUA,BAUA_S001,glasses,,pooled,participant,interdaily_stability,0.27932587501424505,dimensionless,repeated_hybrid_days,TRUE,,,,8208,8640,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,glasses,,pooled,participant,intradaily_variability,0.974084667746425,dimensionless,repeated_hybrid_days,TRUE,,,,8208,8640,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,glasses,2025-06-11,pooled,participant_day,daily_geometric_mean_medi,22.06765680546289,lx,full_day_hybrid,TRUE,,0.98125,0.9953812518527931,1413,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,glasses,2025-06-12,pooled,participant_day,daily_geometric_mean_medi,13.500869008894954,lx,full_day_hybrid,TRUE,,0.9180555555555555,0.7932461572704855,1322,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,glasses,2025-06-13,pooled,participant_day,daily_geometric_mean_medi,15.225224418969836,lx,full_day_hybrid,TRUE,,0.91875,0.7903972018763836,1323,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,glasses,2025-06-14,pooled,participant_day,daily_geometric_mean_medi,9.498355150362178,lx,full_day_hybrid,TRUE,,0.8819444444444444,0.708572017384987,1270,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,glasses,2025-06-15,pooled,participant_day,daily_geometric_mean_medi,7.115009599071058,lx,full_day_hybrid,TRUE,,1,1,1440,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,glasses,2025-06-16,pooled,participant_day,daily_geometric_mean_medi,21.424583773064622,lx,full_day_hybrid,TRUE,,1,1,1440,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,glasses,2025-06-11,pooled,participant_day,dose_observed_medi,43734.13288888889,lx_h,full_day_hybrid,TRUE,,0.981250000000001,0.9953812518527931,1413,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,glasses,2025-06-12,pooled,participant_day,dose_observed_medi,7163.126749999993,lx_h,full_day_hybrid,TRUE,,0.91805555555556,0.7932461572704855,1322,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
