site,Id,position,local_date,expected_real_minutes,expected_wall_minutes,represented_wall_minutes,source_observed_real_minutes,valid_medi_real_minutes,valid_light_real_minutes,valid_paired_real_minutes,unknown_diary_state_real_minutes,missing_medi_real_minutes,missing_medi_runs,maximum_missing_medi_run_minutes,dst_fold_real_minutes,repeated_wall_real_minutes,structural_nonexistent_wall_minutes
BAUA,BAUA_S001,glasses,2025-06-11,1440,1440,1440,1440,1413,1413,1413,0,27,3,24,0,0,0
BAUA,BAUA_S001,glasses,2025-06-12,1440,1440,1440,1440,1322,1322,1322,0,118,1,118,0,0,0
BAUA,BAUA_S001,glasses,2025-06-13,1440,1440,1440,1440,1323,1323,1323,0,117,2,91,0,0,0
BAUA,BAUA_S001,glasses,2025-06-14,1440,1440,1440,1440,1270,1270,1270,1144,170,1,170,0,0,0
BAUA,BAUA_S001,glasses,2025-06-15,1440,1440,1440,1440,1440,1440,1440,1270,0,0,0,0,0,0
BAUA,BAUA_S001,glasses,2025-06-16,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S002,glasses,2025-06-11,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S002,glasses,2025-06-12,1440,1440,1440,1440,1392,1392,1392,0,48,1,48,0,0,0
BAUA,BAUA_S002,glasses,2025-06-13,1440,1440,1440,1440,1323,1323,1323,0,117,1,117,0,0,0
BAUA,BAUA_S002,glasses,2025-06-14,1440,1440,1440,1440,1346,1346,1346,0,94,1,94,0,0,0
BAUA,BAUA_S002,glasses,2025-06-15,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S002,glasses,2025-06-16,1440,1440,1440,1440,1401,1401,1401,0,39,1,39,0,0,0
BAUA,BAUA_S003,glasses,2025-06-11,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S003,glasses,2025-06-12,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S003,glasses,2025-06-13,1440,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0
BAUA,BAUA_S003,glasses,2025-06-14,1440,1440,1440,1440,1439,1439,1439,0,1,1,1,0,0,0
BAUA,BAUA_S003,glasses,2025-06-15,1440,1440,1440,1440,1425,1425,1425,0,15,1,15,0,0,0
BAUA,BAUA_S003,glasses,2025-06-16,1440,1440,1440,1440,1416,1416,1416,0,24,2,20,0,0,0
BAUA,BAUA_S004,glasses,2025-06-11,1440,1440,1440,1440,1351,1351,1351,0,89,1,89,0,0,0
BAUA,BAUA_S004,glasses,2025-06-12,1440,1440,1440,1440,1282,1282,1282,0,158,1,158,0,0,0
BAUA,BAUA_S004,glasses,2025-06-13,1440,1440,1440,1440,1378,1378,1378,0,62,1,62,0,0,0
BAUA,BAUA_S004,glasses,2025-06-14,1440,1440,1440,1440,1379,1379,1379,0,61,1,61,0,0,0
BAUA,BAUA_S004,glasses,2025-06-15,1440,1440,1440,1440,1304,1304,1304,0,136,1,136,0,0,0
