site,Id,position,local_date,profile_variant,analysis_unit,metric,value,units,state_domain,estimable,failure_reason,ordinary_support,relevance_support,valid_minutes,expected_minutes,descriptive_nonconfirmatory,left_censored,right_censored,any_censored,state_domain_complete,medi_profile_support,light_profile_support,minimum_support,passes_ordinary_support,passes_medi_profile_support,passes_light_profile_support,support_threshold_enforced,ratio_scaled_or_weighted,estimate_interpretation,missing_invalid_breaks_runs,exact_identifiable
BAUA,BAUA_S001,chest,,pooled,participant,interdaily_stability,0.20697931043266043,dimensionless,repeated_hybrid_days,TRUE,,,,8208,8640,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,chest,,pooled,participant,intradaily_variability,1.0000086023207484,dimensionless,repeated_hybrid_days,TRUE,,,,8208,8640,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,chest,2025-06-11,pooled,participant_day,daily_geometric_mean_medi,14.426901344024811,lx,full_day_hybrid,TRUE,,0.98125,0.9961480120522128,1413,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,chest,2025-06-12,pooled,participant_day,daily_geometric_mean_medi,7.412682772036224,lx,full_day_hybrid,TRUE,,0.9180555555555555,0.8071562979306165,1322,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,chest,2025-06-13,pooled,participant_day,daily_geometric_mean_medi,9.46872778720945,lx,full_day_hybrid,TRUE,,0.91875,0.7929372013036307,1323,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,chest,2025-06-14,pooled,participant_day,daily_geometric_mean_medi,6.237542828466643,lx,full_day_hybrid,TRUE,,0.8819444444444444,0.7279650119427035,1270,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,chest,2025-06-15,pooled,participant_day,daily_geometric_mean_medi,0.2369754194907794,lx,full_day_hybrid,TRUE,,1,1,1440,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,chest,2025-06-16,pooled,participant_day,daily_geometric_mean_medi,9.14576289526536,lx,full_day_hybrid,TRUE,,1,1,1440,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,chest,2025-06-11,pooled,participant_day,dose_observed_medi,42664.992500000015,lx_h,full_day_hybrid,TRUE,,0.981250000000001,0.9961480120522128,1413,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,chest,2025-06-12,pooled,participant_day,dose_observed_medi,7631.753777777787,lx_h,full_day_hybrid,TRUE,,0.91805555555556,0.8071562979306165,1322,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,chest,2025-06-13,pooled,participant_day,dose_observed_medi,60081.18277777777,lx_h,full_day_hybrid,TRUE,,0.9187500000000044,0.7929372013036307,1323,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,chest,2025-06-14,pooled,participant_day,dose_observed_medi,19486.8103888889,lx_h,full_day_hybrid,TRUE,,0.8819444444444507,0.7279650119427035,1270,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,chest,2025-06-15,pooled,participant_day,dose_observed_medi,16.87861111111111,lx_h,full_day_hybrid,TRUE,,1,1,1440,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,chest,2025-06-16,pooled,participant_day,dose_observed_medi,11423.13769444443,lx_h,full_day_hybrid,TRUE,,1,1,1440,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,chest,2025-06-11,pooled,participant_day,dose_time_sensitive_corrected_medi,42829.97303995397,lx_h,full_day_hybrid,TRUE,,0.981250000000001,0.9961480120522128,1413,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
BAUA,BAUA_S001,chest,2025-06-12,pooled,participant_day,dose_time_sensitive_corrected_medi,9455.112717752487,lx_h,full_day_hybrid,TRUE,,0.91805555555556,0.8071562979306165,1322,1440,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,
