site,Id,position,local_date,profile_variant,timing_threshold_observed,first_timing_left_censored,last_timing_right_censored,strict_first_boundary_gap,strict_last_boundary_gap,timing_circular_resultant,longest_bout_censored,longest_bout_observed_h,longest_bout_observed_lower_bound_h,longest_bout_possible_h,longest_bout_possible_upper_bound_h,longest_bout_exact_only_sensitivity_h,longest_bout_exact_identifiable,longest_bout_missing_invalid_breaks_runs,longest_bout_observed_value_interpretation,longest_bout_possible_bound_interpretation,longest_bout_winning_observed_runs,longest_bout_winner_onset_utc,longest_bout_winner_offset_utc,longest_bout_winner_selection_rule,longest_bout_day_boundary_contact,longest_bout_selected_winner_day_boundary_contact,longest_bout_any_winning_run_day_boundary_contact,longest_bout_censor_reason,m10_tied_windows,m10_tie_resultant,l10_tied_windows,l10_tie_resultant,structural_nonexistent_wall_minutes,dst_fold_wall_minutes,maximum_true_minutes_per_wall_minute
BAUA,BAUA_S001,chest,2025-06-11,pooled,TRUE,FALSE,FALSE,FALSE,TRUE,0.7666497705896306,FALSE,2.316666666666667,2.316666666666667,2.316666666666667,2.316666666666667,2.316666666666667,TRUE,TRUE,observed_lower_bound,upper_bound_if_all_missing_or_invalid_minutes_qualified,1,2025-06-11T10:05:00Z,2025-06-11T12:24:00Z,earliest_onset_then_earliest_offset,FALSE,FALSE,FALSE,,1,1,1,1,0,0,1
BAUA,BAUA_S001,chest,2025-06-12,pooled,TRUE,FALSE,FALSE,FALSE,FALSE,0.7279534326835596,TRUE,0.5666666666666667,0.5666666666666667,1.9666666666666666,1.9666666666666666,,FALSE,TRUE,observed_lower_bound,upper_bound_if_all_missing_or_invalid_minutes_qualified,1,2025-06-12T11:22:00Z,2025-06-12T11:56:00Z,earliest_onset_then_earliest_offset,FALSE,FALSE,FALSE,missing_or_invalid_minutes_allow_longer_bout,1,1,1,1,0,0,1
BAUA,BAUA_S001,chest,2025-06-13,pooled,TRUE,FALSE,FALSE,FALSE,FALSE,0.7390329739979751,TRUE,1.3166666666666667,1.3166666666666667,1.5166666666666666,1.5166666666666666,,FALSE,TRUE,observed_lower_bound,upper_bound_if_all_missing_or_invalid_minutes_qualified,1,2025-06-13T10:07:00Z,2025-06-13T11:26:00Z,earliest_onset_then_earliest_offset,FALSE,FALSE,FALSE,missing_or_invalid_minutes_allow_longer_bout,1,1,1,1,0,0,1
BAUA,BAUA_S001,chest,2025-06-14,pooled,TRUE,FALSE,FALSE,FALSE,FALSE,0.6308262549411137,TRUE,1.0833333333333333,1.0833333333333333,2.8333333333333335,2.8333333333333335,,FALSE,TRUE,observed_lower_bound,upper_bound_if_all_missing_or_invalid_minutes_qualified,1,2025-06-14T11:27:00Z,2025-06-14T12:32:00Z,earliest_onset_then_earliest_offset,FALSE,FALSE,FALSE,missing_or_invalid_minutes_allow_longer_bout,1,1,1,1,0,0,1
BAUA,BAUA_S001,chest,2025-06-15,pooled,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,0,0,0,0,0,TRUE,TRUE,observed_lower_bound,upper_bound_if_all_missing_or_invalid_minutes_qualified,0,,,earliest_onset_then_earliest_offset,FALSE,FALSE,FALSE,,1,1,95,0.9928568459353869,0,0,1
BAUA,BAUA_S001,chest,2025-06-16,pooled,TRUE,FALSE,FALSE,FALSE,FALSE,0.7318097330255078,FALSE,1.1333333333333333,1.1333333333333333,1.1333333333333333,1.1333333333333333,1.1333333333333333,TRUE,TRUE,observed_lower_bound,upper_bound_if_all_missing_or_invalid_minutes_qualified,1,2025-06-16T13:40:00Z,2025-06-16T14:48:00Z,earliest_onset_then_earliest_offset,FALSE,FALSE,FALSE,,1,0.9999999999999999,18,0.9997437919403562,0,0,1
BAUA,BAUA_S002,chest,2025-06-11,pooled,TRUE,FALSE,FALSE,FALSE,FALSE,0.6304059715906606,TRUE,0.8666666666666667,0.8666666666666667,0.9833333333333333,0.9833333333333333,,FALSE,TRUE,observed_lower_bound,upper_bound_if_all_missing_or_invalid_minutes_qualified,1,2025-06-11T13:05:00Z,2025-06-11T13:57:00Z,earliest_onset_then_earliest_offset,FALSE,FALSE,FALSE,missing_or_invalid_minutes_allow_longer_bout,1,1,1,1,0,0,1
BAUA,BAUA_S002,chest,2025-06-12,pooled,TRUE,FALSE,FALSE,FALSE,FALSE,0.5367774751931441,TRUE,0.5166666666666667,0.5166666666666667,0.8,0.8,,FALSE,TRUE,observed_lower_bound,upper_bound_if_all_missing_or_invalid_minutes_qualified,1,2025-06-12T14:41:00Z,2025-06-12T15:12:00Z,earliest_onset_then_earliest_offset,FALSE,FALSE,FALSE,missing_or_invalid_minutes_allow_longer_bout,1,1,1,1,0,0,1
BAUA,BAUA_S002,chest,2025-06-13,pooled,TRUE,FALSE,FALSE,FALSE,FALSE,0.6036829219640213,TRUE,1.1,1.1,1.95,1.95,,FALSE,TRUE,observed_lower_bound,upper_bound_if_all_missing_or_invalid_minutes_qualified,1,2025-06-13T10:05:00Z,2025-06-13T11:11:00Z,earliest_onset_then_earliest_offset,FALSE,FALSE,FALSE,missing_or_invalid_minutes_allow_longer_bout,1,1,1,0.9999999999999999,0,0,1
BAUA,BAUA_S002,chest,2025-06-14,pooled,TRUE,FALSE,FALSE,FALSE,FALSE,0.6221103037830014,TRUE,0.7,0.7,1.5666666666666667,1.5666666666666667,,FALSE,TRUE,observed_lower_bound,upper_bound_if_all_missing_or_invalid_minutes_qualified,1,2025-06-14T10:02:00Z,2025-06-14T10:44:00Z,earliest_onset_then_earliest_offset,FALSE,FALSE,FALSE,missing_or_invalid_minutes_allow_longer_bout,1,0.9999999999999999,1,1,0,0,1
