site,Id,position,local_date,clock_bin,expected_wall_minutes,wall_minutes_existing,source_real_minutes,source_observed_real_minutes,dst_fold_wall_minutes,valid_medi_wall_minutes,valid_light_wall_minutes,diary_state_composition,diary_state_categories,missing_diary_state_wall_minutes,measurement_context_composition,measurement_context_categories,arithmetic_mean_medi_lx,zero_aware_geometric_mean_medi_lx,ordinary_support,bin_admissible,failure_reason,spans_diary_state_boundary,spans_measurement_context_boundary,metric_value_lx,metric,zero_offset
BAUA,BAUA_S001,chest,2025-06-11,0,30,30,30,30,0,30,30,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,30_minute_arithmetic_mean_medi,0.1
BAUA,BAUA_S001,chest,2025-06-11,30,30,30,30,30,0,30,30,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,30_minute_arithmetic_mean_medi,0.1
BAUA,BAUA_S001,chest,2025-06-11,60,30,30,30,30,0,30,30,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,30_minute_arithmetic_mean_medi,0.1
BAUA,BAUA_S001,chest,2025-06-11,90,30,30,30,30,0,30,30,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,30_minute_arithmetic_mean_medi,0.1
BAUA,BAUA_S001,chest,2025-06-11,120,30,30,30,30,0,30,30,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,30_minute_arithmetic_mean_medi,0.1
BAUA,BAUA_S001,chest,2025-06-11,150,30,30,30,30,0,30,30,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,30_minute_arithmetic_mean_medi,0.1
BAUA,BAUA_S001,chest,2025-06-11,180,30,30,30,30,0,30,30,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,30_minute_arithmetic_mean_medi,0.1
BAUA,BAUA_S001,chest,2025-06-11,210,30,30,30,30,0,30,30,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,30_minute_arithmetic_mean_medi,0.1
BAUA,BAUA_S001,chest,2025-06-11,240,30,30,30,30,0,30,30,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,30_minute_arithmetic_mean_medi,0.1
BAUA,BAUA_S001,chest,2025-06-11,270,30,30,30,30,0,30,30,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,30_minute_arithmetic_mean_medi,0.1
BAUA,BAUA_S001,chest,2025-06-11,300,30,30,30,30,0,30,30,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,30_minute_arithmetic_mean_medi,0.1
BAUA,BAUA_S001,chest,2025-06-11,330,30,30,30,30,0,30,30,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,30_minute_arithmetic_mean_medi,0.1
BAUA,BAUA_S001,chest,2025-06-11,360,30,30,30,30,0,30,30,sleep|wake,2,0,bedside_sleep_environment|worn_chest,2,34.63411111111112,14.087209559130029,1,TRUE,,TRUE,TRUE,34.63411111111112,30_minute_arithmetic_mean_medi,0.1
BAUA,BAUA_S001,chest,2025-06-11,390,30,30,30,30,0,30,30,wake,1,0,worn_chest,1,69.4535,52.760100439843654,1,TRUE,,FALSE,FALSE,69.4535,30_minute_arithmetic_mean_medi,0.1
BAUA,BAUA_S001,chest,2025-06-11,420,30,30,30,30,0,28,28,wake,1,0,invalid_nonwear|worn_chest,2,278.25166666666667,77.77661569526279,0.9333333333333333,TRUE,,FALSE,TRUE,278.25166666666667,30_minute_arithmetic_mean_medi,0.1
