run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,inference_status,production_contract_sha256,approximation,measure,estimate,conf_low,conf_high,bootstrap_successful_used,interval_method,status
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,"PRODUCTION — 1,000 successful joint bootstrap refits",0f8bc85ec11705efebd1f3ada05f7187113ba54112b57aa481d6bf490a186e8a,lognormal,marginal_r2,0.13843253787305984,0.09452895658127654,0.2311844392639352,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,"PRODUCTION — 1,000 successful joint bootstrap refits",0f8bc85ec11705efebd1f3ada05f7187113ba54112b57aa481d6bf490a186e8a,lognormal,conditional_r2,0.517409944030377,0.4565336800189797,0.5890166506381972,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,"PRODUCTION — 1,000 successful joint bootstrap refits",0f8bc85ec11705efebd1f3ada05f7187113ba54112b57aa481d6bf490a186e8a,lognormal,participant_associated_share,0.3789774061573171,0.29176033169173216,0.447082611720986,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,"PRODUCTION — 1,000 successful joint bootstrap refits",0f8bc85ec11705efebd1f3ada05f7187113ba54112b57aa481d6bf490a186e8a,lognormal,site_part_r2,0.11681332771048895,0.07246111245022735,0.20174625763072632,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,"PRODUCTION — 1,000 successful joint bootstrap refits",0f8bc85ec11705efebd1f3ada05f7187113ba54112b57aa481d6bf490a186e8a,lognormal,photoperiod_part_r2,0.02308870936173799,0.0017921076027310103,0.06420639348232533,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,"PRODUCTION — 1,000 successful joint bootstrap refits",0f8bc85ec11705efebd1f3ada05f7187113ba54112b57aa481d6bf490a186e8a,lognormal,latitude_model_marginal_r2,0.06136918933204328,0.02232014884854159,0.12046266219583558,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,"PRODUCTION — 1,000 successful joint bootstrap refits",0f8bc85ec11705efebd1f3ada05f7187113ba54112b57aa481d6bf490a186e8a,lognormal,latitude_part_r2,0.03938182390340634,0.007483307591582061,0.08140131135431743,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,"PRODUCTION — 1,000 successful joint bootstrap refits",0f8bc85ec11705efebd1f3ada05f7187113ba54112b57aa481d6bf490a186e8a,lognormal,unrepresented_share,0.482590055969623,0.4109833493618027,0.5434663199810202,1000,joint_parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,"PRODUCTION — 1,000 successful joint bootstrap refits",0f8bc85ec11705efebd1f3ada05f7187113ba54112b57aa481d6bf490a186e8a,lognormal,marginal_r2,0.15192819982113803,0.09251584707349696,0.266791136462688,1000,joint_parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,"PRODUCTION — 1,000 successful joint bootstrap refits",0f8bc85ec11705efebd1f3ada05f7187113ba54112b57aa481d6bf490a186e8a,lognormal,conditional_r2,0.5282536331214204,0.45421264929917615,0.6168790326095335,1000,joint_parametric_percentile,PASS
