site,activity_order,activity_flag,activity_code,activity_label,adapted_five_level,n_true,n_false,n_missing,n_true_in_exact_one_hours,n_true_in_multilabel_hours,n_participants_true,n_participant_days_true,n_local_clock_hours_true
ALL,1,act_sleep,sleep,Sleeping in bed,sleep,9413,18533,2226,9107,306,170,1206,24
ALL,2,act_home,home,Awake at home,home,8212,19734,2226,7448,764,169,1215,24
ALL,3,act_road_vehicle,road_vehicle,On the road with public transport/car,road_vehicle,1509,26437,2226,1008,501,156,677,24
ALL,4,act_road_open,road_open,On the road with bike/on foot,outdoor,951,26995,2226,525,426,124,443,24
ALL,5,act_working_indoor,working_indoor,Working in the office/from home,working_indoor,6330,21616,2226,5885,445,167,925,24
ALL,6,act_working_outdoor,working_outdoor,Working outdoors (including lunch break outdoors),outdoor,354,27592,2226,267,87,69,139,16
ALL,7,act_free_outdoor,free_outdoor,Free time outdoors,outdoor,1058,26888,2226,850,208,147,394,20
ALL,8,act_other,other,Other,,1171,26775,2226,1004,167,122,412,24
BAUA,1,act_sleep,sleep,Sleeping in bed,sleep,1200,2298,1,1176,24,22,154,20
BAUA,2,act_home,home,Awake at home,home,1023,2475,1,949,74,22,159,24
BAUA,3,act_road_vehicle,road_vehicle,On the road with public transport/car,road_vehicle,191,3307,1,113,78,21,82,19
BAUA,4,act_road_open,road_open,On the road with bike/on foot,outdoor,143,3355,1,76,67,19,53,18
BAUA,5,act_working_indoor,working_indoor,Working in the office/from home,working_indoor,698,2800,1,661,37,21,100,20
BAUA,6,act_working_outdoor,working_outdoor,Working outdoors (including lunch break outdoors),outdoor,68,3430,1,46,22,8,19,15
BAUA,7,act_free_outdoor,free_outdoor,Free time outdoors,outdoor,192,3306,1,160,32,17,55,18
BAUA,8,act_other,other,Other,,162,3336,1,140,22,14,47,18
FUSPCEU,1,act_sleep,sleep,Sleeping in bed,sleep,1318,2130,167,1304,14,23,163,20
FUSPCEU,2,act_home,home,Awake at home,home,867,2581,167,823,44,22,157,22
FUSPCEU,3,act_road_vehicle,road_vehicle,On the road with public transport/car,road_vehicle,226,3222,167,171,55,21,107,18
FUSPCEU,4,act_road_open,road_open,On the road with bike/on foot,outdoor,84,3364,167,38,46,13,35,18
FUSPCEU,5,act_working_indoor,working_indoor,Working in the office/from home,working_indoor,756,2692,167,730,26,22,115,17
FUSPCEU,6,act_working_outdoor,working_outdoor,Working outdoors (including lunch break outdoors),outdoor,23,3425,167,17,6,7,13,7
FUSPCEU,7,act_free_outdoor,free_outdoor,Free time outdoors,outdoor,151,3297,167,135,16,21,61,15
FUSPCEU,8,act_other,other,Other,,132,3316,167,120,12,17,57,21
IZTECH,1,act_sleep,sleep,Sleeping in bed,sleep,973,1761,20,905,68,16,119,22
IZTECH,2,act_home,home,Awake at home,home,905,1829,20,789,116,16,125,24
IZTECH,3,act_road_vehicle,road_vehicle,On the road with public transport/car,road_vehicle,126,2608,20,66,60,14,59,22
IZTECH,4,act_road_open,road_open,On the road with bike/on foot,outdoor,128,2606,20,51,77,13,62,19
IZTECH,5,act_working_indoor,working_indoor,Working in the office/from home,working_indoor,661,2073,20,596,65,16,108,24
IZTECH,6,act_working_outdoor,working_outdoor,Working outdoors (including lunch break outdoors),outdoor,20,2714,20,14,6,6,11,8
IZTECH,7,act_free_outdoor,free_outdoor,Free time outdoors,outdoor,62,2672,20,41,21,13,33,16
IZTECH,8,act_other,other,Other,,87,2647,20,68,19,11,39,17
KNUST,1,act_sleep,sleep,Sleeping in bed,sleep,881,1639,0,881,0,15,105,24
KNUST,2,act_home,home,Awake at home,home,682,1838,0,682,0,15,104,24
KNUST,3,act_road_vehicle,road_vehicle,On the road with public transport/car,road_vehicle,95,2425,0,95,0,13,48,15
KNUST,4,act_road_open,road_open,On the road with bike/on foot,outdoor,148,2372,0,148,0,14,68,18
KNUST,5,act_working_indoor,working_indoor,Working in the office/from home,working_indoor,521,1999,0,521,0,14,83,18
KNUST,6,act_working_outdoor,working_outdoor,Working outdoors (including lunch break outdoors),outdoor,72,2448,0,72,0,11,27,13
KNUST,7,act_free_outdoor,free_outdoor,Free time outdoors,outdoor,84,2436,0,84,0,13,36,16
KNUST,8,act_other,other,Other,,37,2483,0,37,0,4,6,14
MPI,1,act_sleep,sleep,Sleeping in bed,sleep,682,1447,2032,665,17,13,89,20
MPI,2,act_home,home,Awake at home,home,629,1500,2032,601,28,13,91,24
MPI,3,act_road_vehicle,road_vehicle,On the road with public transport/car,road_vehicle,76,2053,2032,57,19,10,43,16
MPI,4,act_road_open,road_open,On the road with bike/on foot,outdoor,66,2063,2032,49,17,10,36,19
MPI,5,act_working_indoor,working_indoor,Working in the office/from home,working_indoor,567,1562,2032,555,12,13,81,22
MPI,6,act_working_outdoor,working_outdoor,Working outdoors (including lunch break outdoors),outdoor,15,2114,2032,15,0,6,13,5
MPI,7,act_free_outdoor,free_outdoor,Free time outdoors,outdoor,62,2067,2032,59,3,10,24,16
MPI,8,act_other,other,Other,,82,2047,2032,78,4,11,40,19
