site,activity_pattern,activity_cardinality,n_activity_true,n_activity_missing,n_intervals,n_participants,n_participant_days,n_local_clock_hours
ALL,<all flags missing>,all_flags_missing,0,8,2226,20,116,24
ALL,<zero selected>,observed_zero_selected,0,0,431,14,45,24
ALL,sleep,exactly_one_selected,1,0,9107,168,1200,24
ALL,home,exactly_one_selected,1,0,7448,169,1193,24
ALL,working_indoor,exactly_one_selected,1,0,5885,167,909,24
ALL,road_vehicle,exactly_one_selected,1,0,1008,149,517,24
ALL,other,exactly_one_selected,1,0,1004,122,385,24
ALL,free_outdoor,exactly_one_selected,1,0,850,135,329,20
ALL,road_open,exactly_one_selected,1,0,525,100,287,22
ALL,working_outdoor,exactly_one_selected,1,0,267,57,103,16
ALL,sleep+home,multiple_selected,2,0,280,65,214,21
ALL,home+road_vehicle,multiple_selected,2,0,154,54,121,20
ALL,road_open+working_indoor,multiple_selected,2,0,115,38,79,17
ALL,road_vehicle+working_indoor,multiple_selected,2,0,110,45,86,17
ALL,home+road_open,multiple_selected,2,0,94,39,73,21
ALL,home+working_indoor,multiple_selected,2,0,93,28,47,19
ALL,road_vehicle+road_open,multiple_selected,2,0,89,29,55,16
ALL,home+free_outdoor,multiple_selected,2,0,75,28,52,16
ALL,road_vehicle+other,multiple_selected,2,0,48,22,37,15
ALL,working_indoor+working_outdoor,multiple_selected,2,0,46,16,32,9
ALL,road_open+other,multiple_selected,2,0,38,16,32,12
ALL,road_open+free_outdoor,multiple_selected,2,0,35,11,14,14
ALL,road_vehicle+free_outdoor,multiple_selected,2,0,34,20,28,13
ALL,home+other,multiple_selected,2,0,32,15,22,16
ALL,working_indoor+free_outdoor,multiple_selected,2,0,28,16,23,10
ALL,working_indoor+other,multiple_selected,2,0,20,9,14,14
ALL,road_open+working_outdoor,multiple_selected,2,0,15,4,7,9
ALL,free_outdoor+other,multiple_selected,2,0,13,8,12,10
ALL,road_vehicle+road_open+working_indoor,multiple_selected,3,0,13,6,11,8
ALL,road_vehicle+working_outdoor,multiple_selected,2,0,13,5,7,9
ALL,home+road_vehicle+road_open,multiple_selected,3,0,9,5,7,7
ALL,sleep+road_vehicle,multiple_selected,2,0,8,4,8,3
ALL,sleep+home+road_vehicle,multiple_selected,3,0,7,1,7,2
ALL,working_outdoor+free_outdoor,multiple_selected,2,0,6,2,4,5
ALL,home+working_outdoor,multiple_selected,2,0,4,3,4,3
ALL,road_vehicle+road_open+other,multiple_selected,3,0,4,3,4,2
ALL,sleep+working_indoor,multiple_selected,2,0,4,4,4,3
ALL,home+road_open+working_indoor,multiple_selected,3,0,3,1,3,2
ALL,home+working_indoor+free_outdoor,multiple_selected,3,0,3,2,2,3
ALL,sleep+other,multiple_selected,2,0,3,3,3,3
ALL,home+free_outdoor+other,multiple_selected,3,0,2,1,2,2
ALL,home+road_vehicle+free_outdoor,multiple_selected,3,0,2,2,2,1
ALL,home+road_vehicle+working_indoor,multiple_selected,3,0,2,2,2,2
ALL,road_open+working_indoor+other,multiple_selected,3,0,2,1,2,2
ALL,road_vehicle+free_outdoor+other,multiple_selected,3,0,2,1,1,2
ALL,road_vehicle+road_open+free_outdoor,multiple_selected,3,0,2,2,2,2
ALL,road_vehicle+working_indoor+free_outdoor,multiple_selected,3,0,2,2,2,1
ALL,sleep+road_open,multiple_selected,2,0,2,1,1,2
ALL,working_indoor+working_outdoor+free_outdoor,multiple_selected,3,0,2,1,1,2
ALL,home+road_open+free_outdoor,multiple_selected,3,0,1,1,1,1
ALL,home+road_open+other,multiple_selected,3,0,1,1,1,1
ALL,home+road_vehicle+road_open+other,multiple_selected,4,0,1,1,1,1
ALL,road_open+working_indoor+working_outdoor,multiple_selected,3,0,1,1,1,1
ALL,road_vehicle+working_indoor+other,multiple_selected,3,0,1,1,1,1
ALL,sleep+free_outdoor,multiple_selected,2,0,1,1,1,1
ALL,sleep+home+road_open,multiple_selected,3,0,1,1,1,1
BAUA,<all flags missing>,all_flags_missing,0,8,1,1,1,1
BAUA,sleep,exactly_one_selected,1,0,1176,22,152,20
BAUA,home,exactly_one_selected,1,0,949,22,158,24
BAUA,working_indoor,exactly_one_selected,1,0,661,21,100,20
BAUA,free_outdoor,exactly_one_selected,1,0,160,17,51,18
BAUA,other,exactly_one_selected,1,0,140,14,45,17
BAUA,road_vehicle,exactly_one_selected,1,0,113,21,59,19
BAUA,road_open,exactly_one_selected,1,0,76,17,38,17
BAUA,working_outdoor,exactly_one_selected,1,0,46,7,14,14
BAUA,sleep+home,multiple_selected,2,0,22,9,18,10
BAUA,home+road_vehicle,multiple_selected,2,0,21,7,17,11
BAUA,road_vehicle+road_open,multiple_selected,2,0,21,4,10,12
BAUA,home+free_outdoor,multiple_selected,2,0,17,2,7,12
BAUA,road_open+working_indoor,multiple_selected,2,0,16,5,9,10
BAUA,road_vehicle+other,multiple_selected,2,0,13,6,9,10
BAUA,road_vehicle+working_indoor,multiple_selected,2,0,13,6,10,6
BAUA,road_open+working_outdoor,multiple_selected,2,0,12,2,5,6
BAUA,home+road_open,multiple_selected,2,0,8,4,6,8
BAUA,road_open+free_outdoor,multiple_selected,2,0,7,2,3,5
BAUA,road_vehicle+free_outdoor,multiple_selected,2,0,5,3,5,3
BAUA,working_indoor+working_outdoor,multiple_selected,2,0,5,2,4,4
BAUA,home+other,multiple_selected,2,0,4,3,3,3
BAUA,road_vehicle+working_outdoor,multiple_selected,2,0,3,1,1,3
BAUA,free_outdoor+other,multiple_selected,2,0,2,2,2,2
BAUA,home+working_indoor,multiple_selected,2,0,2,2,2,2
BAUA,road_open+other,multiple_selected,2,0,1,1,1,1
BAUA,road_open+working_indoor+working_outdoor,multiple_selected,3,0,1,1,1,1
BAUA,road_vehicle+road_open+other,multiple_selected,3,0,1,1,1,1
BAUA,sleep+other,multiple_selected,2,0,1,1,1,1
BAUA,sleep+road_vehicle,multiple_selected,2,0,1,1,1,1
BAUA,working_outdoor+free_outdoor,multiple_selected,2,0,1,1,1,1
FUSPCEU,<all flags missing>,all_flags_missing,0,8,167,1,8,24
FUSPCEU,<zero selected>,observed_zero_selected,0,0,2,2,2,2
FUSPCEU,sleep,exactly_one_selected,1,0,1304,22,161,19
FUSPCEU,home,exactly_one_selected,1,0,823,22,156,22
FUSPCEU,working_indoor,exactly_one_selected,1,0,730,22,115,17
FUSPCEU,road_vehicle,exactly_one_selected,1,0,171,20,92,17
FUSPCEU,free_outdoor,exactly_one_selected,1,0,135,19,51,13
FUSPCEU,other,exactly_one_selected,1,0,120,17,54,21
FUSPCEU,road_open,exactly_one_selected,1,0,38,9,19,14
FUSPCEU,working_outdoor,exactly_one_selected,1,0,17,5,9,7
FUSPCEU,home+road_vehicle,multiple_selected,2,0,18,7,14,8
FUSPCEU,road_vehicle+road_open,multiple_selected,2,0,18,5,11,11
FUSPCEU,sleep+home,multiple_selected,2,0,10,3,9,5
FUSPCEU,home+road_open,multiple_selected,2,0,8,4,7,5
FUSPCEU,road_vehicle+free_outdoor,multiple_selected,2,0,8,4,6,6
FUSPCEU,road_vehicle+working_indoor,multiple_selected,2,0,8,5,7,6
FUSPCEU,road_open+other,multiple_selected,2,0,7,2,6,6
FUSPCEU,road_open+working_indoor,multiple_selected,2,0,6,4,6,4
FUSPCEU,working_indoor+free_outdoor,multiple_selected,2,0,4,2,4,3
FUSPCEU,working_indoor+working_outdoor,multiple_selected,2,0,4,3,4,2
FUSPCEU,home+free_outdoor,multiple_selected,2,0,3,1,2,3
