site,activity_cardinality,n_intervals,n_participant_days,n_participants,participant_hours_min,participant_hours_q25,participant_hours_median,participant_hours_q75,participant_hours_max,percent_of_eligible_intervals
ALL,all_flags_missing,2226,116,20,1,15.5,156.5,162,167,7.377701179901896
ALL,partially_missing_flags,0,0,0,0,0,0,0,0,0
ALL,observed_zero_selected,431,45,14,1,12.75,24.5,33,98,1.4284767333952009
ALL,exactly_one_selected,26094,1250,169,58,146,158,168,192,86.48415749701711
ALL,multiple_selected,1421,469,97,1,4,12,22,51,4.709664589685802
BAUA,all_flags_missing,1,1,1,1,1,1,1,1,0.02857959416976279
BAUA,partially_missing_flags,0,0,0,0,0,0,0,0,0
BAUA,observed_zero_selected,0,0,0,0,0,0,0,0,0
BAUA,exactly_one_selected,3321,164,22,58,141.5,158,166.5,192,94.91283223778223
BAUA,multiple_selected,177,60,12,3,4.75,10,20.5,51,5.058588168048014
FUSPCEU,all_flags_missing,167,8,1,167,167,167,167,167,4.619640387275242
FUSPCEU,partially_missing_flags,0,0,0,0,0,0,0,0,0
FUSPCEU,observed_zero_selected,2,2,2,1,1,1,1,1,0.05532503457814661
FUSPCEU,exactly_one_selected,3338,165,22,107,145.75,158.5,164,168,92.3374827109267
FUSPCEU,multiple_selected,108,48,13,1,3,8,11,28,2.987551867219917
IZTECH,all_flags_missing,20,1,1,20,20,20,20,20,0.7262164124909223
IZTECH,partially_missing_flags,0,0,0,0,0,0,0,0,0
IZTECH,observed_zero_selected,0,0,0,0,0,0,0,0,0
IZTECH,exactly_one_selected,2530,129,16,129,148.5,158,168.5,190,91.86637618010167
IZTECH,multiple_selected,204,76,11,8,12.5,17,23,38,7.407407407407407
KNUST,all_flags_missing,0,0,0,0,0,0,0,0,0
KNUST,partially_missing_flags,0,0,0,0,0,0,0,0,0
KNUST,observed_zero_selected,0,0,0,0,0,0,0,0,0
KNUST,exactly_one_selected,2520,105,15,168,168,168,168,168,100
KNUST,multiple_selected,0,0,0,0,0,0,0,0,0
MPI,all_flags_missing,2032,102,13,133,156,159,162,165,48.83441480413362
MPI,partially_missing_flags,0,0,0,0,0,0,0,0,0
MPI,observed_zero_selected,0,0,0,0,0,0,0,0,0
MPI,exactly_one_selected,2079,91,13,138,157,164,168,168,49.96395097332372
MPI,multiple_selected,50,17,5,1,1,4,15,29,1.201634222542658
RISE,all_flags_missing,1,1,1,1,1,1,1,1,0.03469812630117974
RISE,partially_missing_flags,0,0,0,0,0,0,0,0,0
RISE,observed_zero_selected,0,0,0,0,0,0,0,0,0
RISE,exactly_one_selected,2587,134,17,135,144,147,163,181,89.76405274115197
RISE,multiple_selected,294,89,15,1,13,17,27.5,43,10.201249132546842
THUAS,all_flags_missing,0,0,0,0,0,0,0,0,0
THUAS,partially_missing_flags,0,0,0,0,0,0,0,0,0
THUAS,observed_zero_selected,429,43,12,6,22.5,25,36.75,98,14.844290657439446
THUAS,exactly_one_selected,2211,119,15,93,128.5,147,169,192,76.50519031141869
THUAS,multiple_selected,250,74,12,1,13.5,18,27.25,42,8.650519031141869
TUM,all_flags_missing,0,0,0,0,0,0,0,0,0
TUM,partially_missing_flags,0,0,0,0,0,0,0,0,0
TUM,observed_zero_selected,0,0,0,0,0,0,0,0,0
TUM,exactly_one_selected,1665,70,10,160,167.25,168,168,168,99.10714285714286
TUM,multiple_selected,15,7,3,1,3.5,6,7,8,0.8928571428571429
UCR,all_flags_missing,5,3,3,1,1.5,2,2,2,0.0810241451952682
UCR,partially_missing_flags,0,0,0,0,0,0,0,0,0
UCR,observed_zero_selected,0,0,0,0,0,0,0,0,0
UCR,exactly_one_selected,5843,273,39,103,143.5,154,159.5,168,94.68481607519041
UCR,multiple_selected,323,98,26,1,2,4.5,19.5,50,5.234159779614325
