site,category_code,local_clock_hour,n_intervals,n_participants,n_participant_days,category_order,category_label
BAUA,electric_indoor,0,9,4,9,1,Electric light source indoors
BAUA,electric_indoor,1,1,1,1,1,Electric light source indoors
BAUA,electric_indoor,2,0,0,0,1,Electric light source indoors
BAUA,electric_indoor,3,0,0,0,1,Electric light source indoors
BAUA,electric_indoor,4,4,1,4,1,Electric light source indoors
BAUA,electric_indoor,5,10,5,10,1,Electric light source indoors
BAUA,electric_indoor,6,17,6,17,1,Electric light source indoors
BAUA,electric_indoor,7,24,9,24,1,Electric light source indoors
BAUA,electric_indoor,8,32,12,32,1,Electric light source indoors
BAUA,electric_indoor,9,28,14,28,1,Electric light source indoors
BAUA,electric_indoor,10,29,13,29,1,Electric light source indoors
BAUA,electric_indoor,11,26,14,26,1,Electric light source indoors
BAUA,electric_indoor,12,28,13,28,1,Electric light source indoors
BAUA,electric_indoor,13,26,14,26,1,Electric light source indoors
BAUA,electric_indoor,14,28,14,28,1,Electric light source indoors
BAUA,electric_indoor,15,14,8,14,1,Electric light source indoors
BAUA,electric_indoor,16,14,9,14,1,Electric light source indoors
BAUA,electric_indoor,17,16,11,16,1,Electric light source indoors
BAUA,electric_indoor,18,23,10,23,1,Electric light source indoors
BAUA,electric_indoor,19,36,12,36,1,Electric light source indoors
BAUA,electric_indoor,20,46,13,46,1,Electric light source indoors
BAUA,electric_indoor,21,54,15,54,1,Electric light source indoors
BAUA,electric_indoor,22,47,14,47,1,Electric light source indoors
BAUA,electric_indoor,23,36,11,36,1,Electric light source indoors
FUSPCEU,electric_indoor,0,9,5,9,1,Electric light source indoors
FUSPCEU,electric_indoor,1,4,3,4,1,Electric light source indoors
FUSPCEU,electric_indoor,2,2,2,2,1,Electric light source indoors
FUSPCEU,electric_indoor,3,1,1,1,1,Electric light source indoors
FUSPCEU,electric_indoor,4,1,1,1,1,Electric light source indoors
FUSPCEU,electric_indoor,5,2,2,2,1,Electric light source indoors
FUSPCEU,electric_indoor,6,11,4,11,1,Electric light source indoors
FUSPCEU,electric_indoor,7,53,15,53,1,Electric light source indoors
FUSPCEU,electric_indoor,8,47,14,47,1,Electric light source indoors
FUSPCEU,electric_indoor,9,50,16,50,1,Electric light source indoors
FUSPCEU,electric_indoor,10,61,19,61,1,Electric light source indoors
FUSPCEU,electric_indoor,11,60,19,60,1,Electric light source indoors
FUSPCEU,electric_indoor,12,56,19,56,1,Electric light source indoors
FUSPCEU,electric_indoor,13,55,20,55,1,Electric light source indoors
FUSPCEU,electric_indoor,14,38,15,38,1,Electric light source indoors
FUSPCEU,electric_indoor,15,63,20,63,1,Electric light source indoors
FUSPCEU,electric_indoor,16,64,20,64,1,Electric light source indoors
FUSPCEU,electric_indoor,17,65,22,65,1,Electric light source indoors
FUSPCEU,electric_indoor,18,80,20,80,1,Electric light source indoors
FUSPCEU,electric_indoor,19,96,20,96,1,Electric light source indoors
FUSPCEU,electric_indoor,20,101,23,101,1,Electric light source indoors
FUSPCEU,electric_indoor,21,108,21,108,1,Electric light source indoors
FUSPCEU,electric_indoor,22,91,21,91,1,Electric light source indoors
FUSPCEU,electric_indoor,23,39,14,39,1,Electric light source indoors
IZTECH,electric_indoor,0,50,11,50,1,Electric light source indoors
IZTECH,electric_indoor,1,28,10,28,1,Electric light source indoors
IZTECH,electric_indoor,2,10,6,10,1,Electric light source indoors
IZTECH,electric_indoor,3,6,4,6,1,Electric light source indoors
IZTECH,electric_indoor,4,3,3,3,1,Electric light source indoors
IZTECH,electric_indoor,5,2,2,2,1,Electric light source indoors
IZTECH,electric_indoor,6,4,3,4,1,Electric light source indoors
IZTECH,electric_indoor,7,13,5,13,1,Electric light source indoors
IZTECH,electric_indoor,8,14,9,14,1,Electric light source indoors
IZTECH,electric_indoor,9,18,10,18,1,Electric light source indoors
IZTECH,electric_indoor,10,23,10,23,1,Electric light source indoors
IZTECH,electric_indoor,11,33,10,33,1,Electric light source indoors
IZTECH,electric_indoor,12,36,12,36,1,Electric light source indoors
IZTECH,electric_indoor,13,32,10,32,1,Electric light source indoors
IZTECH,electric_indoor,14,39,12,39,1,Electric light source indoors
IZTECH,electric_indoor,15,31,10,31,1,Electric light source indoors
IZTECH,electric_indoor,16,25,10,25,1,Electric light source indoors
IZTECH,electric_indoor,17,36,12,36,1,Electric light source indoors
IZTECH,electric_indoor,18,46,12,46,1,Electric light source indoors
IZTECH,electric_indoor,19,75,16,75,1,Electric light source indoors
IZTECH,electric_indoor,20,99,16,99,1,Electric light source indoors
IZTECH,electric_indoor,21,100,16,100,1,Electric light source indoors
IZTECH,electric_indoor,22,99,16,99,1,Electric light source indoors
IZTECH,electric_indoor,23,77,16,77,1,Electric light source indoors
KNUST,electric_indoor,0,11,6,11,1,Electric light source indoors
KNUST,electric_indoor,1,9,5,9,1,Electric light source indoors
KNUST,electric_indoor,2,5,3,5,1,Electric light source indoors
KNUST,electric_indoor,3,4,2,4,1,Electric light source indoors
KNUST,electric_indoor,4,9,5,9,1,Electric light source indoors
KNUST,electric_indoor,5,17,7,17,1,Electric light source indoors
KNUST,electric_indoor,6,29,12,29,1,Electric light source indoors
KNUST,electric_indoor,7,30,11,30,1,Electric light source indoors
KNUST,electric_indoor,8,29,10,29,1,Electric light source indoors
KNUST,electric_indoor,9,34,11,34,1,Electric light source indoors
KNUST,electric_indoor,10,44,13,44,1,Electric light source indoors
KNUST,electric_indoor,11,49,14,49,1,Electric light source indoors
KNUST,electric_indoor,12,35,14,35,1,Electric light source indoors
KNUST,electric_indoor,13,38,11,38,1,Electric light source indoors
KNUST,electric_indoor,14,43,14,43,1,Electric light source indoors
KNUST,electric_indoor,15,35,12,35,1,Electric light source indoors
KNUST,electric_indoor,16,44,12,44,1,Electric light source indoors
KNUST,electric_indoor,17,50,14,50,1,Electric light source indoors
KNUST,electric_indoor,18,61,15,61,1,Electric light source indoors
KNUST,electric_indoor,19,70,15,70,1,Electric light source indoors
KNUST,electric_indoor,20,70,15,70,1,Electric light source indoors
KNUST,electric_indoor,21,56,13,56,1,Electric light source indoors
KNUST,electric_indoor,22,38,9,38,1,Electric light source indoors
KNUST,electric_indoor,23,18,7,18,1,Electric light source indoors
MPI,electric_indoor,0,48,18,48,1,Electric light source indoors
MPI,electric_indoor,1,19,12,19,1,Electric light source indoors
MPI,electric_indoor,2,10,7,10,1,Electric light source indoors
MPI,electric_indoor,3,4,4,4,1,Electric light source indoors
MPI,electric_indoor,4,3,3,3,1,Electric light source indoors
MPI,electric_indoor,5,0,0,0,1,Electric light source indoors
MPI,electric_indoor,6,6,3,6,1,Electric light source indoors
MPI,electric_indoor,7,19,7,19,1,Electric light source indoors
MPI,electric_indoor,8,16,8,16,1,Electric light source indoors
MPI,electric_indoor,9,15,7,15,1,Electric light source indoors
MPI,electric_indoor,10,17,6,17,1,Electric light source indoors
MPI,electric_indoor,11,19,9,19,1,Electric light source indoors
MPI,electric_indoor,12,15,6,15,1,Electric light source indoors
MPI,electric_indoor,13,19,9,19,1,Electric light source indoors
MPI,electric_indoor,14,24,12,24,1,Electric light source indoors
MPI,electric_indoor,15,22,12,22,1,Electric light source indoors
MPI,electric_indoor,16,32,14,32,1,Electric light source indoors
MPI,electric_indoor,17,49,16,49,1,Electric light source indoors
MPI,electric_indoor,18,67,18,67,1,Electric light source indoors
MPI,electric_indoor,19,103,23,103,1,Electric light source indoors
MPI,electric_indoor,20,130,26,130,1,Electric light source indoors
MPI,electric_indoor,21,145,26,145,1,Electric light source indoors
MPI,electric_indoor,22,145,26,145,1,Electric light source indoors
MPI,electric_indoor,23,114,23,114,1,Electric light source indoors
RISE,electric_indoor,0,4,3,4,1,Electric light source indoors
RISE,electric_indoor,1,1,1,1,1,Electric light source indoors
RISE,electric_indoor,2,0,0,0,1,Electric light source indoors
RISE,electric_indoor,3,0,0,0,1,Electric light source indoors
RISE,electric_indoor,4,0,0,0,1,Electric light source indoors
RISE,electric_indoor,5,4,3,4,1,Electric light source indoors
RISE,electric_indoor,6,26,8,26,1,Electric light source indoors
RISE,electric_indoor,7,27,10,27,1,Electric light source indoors
RISE,electric_indoor,8,26,11,26,1,Electric light source indoors
RISE,electric_indoor,9,49,14,49,1,Electric light source indoors
RISE,electric_indoor,10,54,15,54,1,Electric light source indoors
RISE,electric_indoor,11,49,14,49,1,Electric light source indoors
RISE,electric_indoor,12,46,14,46,1,Electric light source indoors
RISE,electric_indoor,13,41,13,41,1,Electric light source indoors
RISE,electric_indoor,14,49,13,49,1,Electric light source indoors
RISE,electric_indoor,15,44,13,44,1,Electric light source indoors
RISE,electric_indoor,16,35,12,35,1,Electric light source indoors
RISE,electric_indoor,17,33,13,33,1,Electric light source indoors
RISE,electric_indoor,18,38,12,38,1,Electric light source indoors
RISE,electric_indoor,19,54,13,54,1,Electric light source indoors
RISE,electric_indoor,20,62,16,62,1,Electric light source indoors
RISE,electric_indoor,21,55,15,55,1,Electric light source indoors
RISE,electric_indoor,22,40,12,40,1,Electric light source indoors
RISE,electric_indoor,23,8,4,8,1,Electric light source indoors
THUAS,electric_indoor,0,14,5,14,1,Electric light source indoors
