site,local_clock_hour,activity_cardinality,n_intervals,n_participants,n_participant_days
ALL,0,all_flags_missing,97,15,97
ALL,0,partially_missing_flags,0,0,0
ALL,0,observed_zero_selected,26,9,26
ALL,0,exactly_one_selected,1096,166,1096
ALL,0,multiple_selected,31,15,31
ALL,1,all_flags_missing,93,15,93
ALL,1,partially_missing_flags,0,0,0
ALL,1,observed_zero_selected,25,10,25
ALL,1,exactly_one_selected,1111,166,1111
ALL,1,multiple_selected,19,15,19
ALL,2,all_flags_missing,93,15,93
ALL,2,partially_missing_flags,0,0,0
ALL,2,observed_zero_selected,25,10,25
ALL,2,exactly_one_selected,1120,166,1120
ALL,2,multiple_selected,7,6,7
ALL,3,all_flags_missing,93,15,93
ALL,3,partially_missing_flags,0,0,0
ALL,3,observed_zero_selected,25,10,25
ALL,3,exactly_one_selected,1122,166,1122
ALL,3,multiple_selected,7,5,7
ALL,4,all_flags_missing,93,15,93
ALL,4,partially_missing_flags,0,0,0
ALL,4,observed_zero_selected,25,10,25
ALL,4,exactly_one_selected,1123,166,1123
ALL,4,multiple_selected,9,7,9
ALL,5,all_flags_missing,93,15,93
ALL,5,partially_missing_flags,0,0,0
ALL,5,observed_zero_selected,25,10,25
ALL,5,exactly_one_selected,1109,166,1109
ALL,5,multiple_selected,27,16,27
ALL,6,all_flags_missing,86,15,86
ALL,6,partially_missing_flags,0,0,0
ALL,6,observed_zero_selected,23,10,23
ALL,6,exactly_one_selected,1075,167,1075
ALL,6,multiple_selected,70,24,70
ALL,7,all_flags_missing,86,15,86
ALL,7,partially_missing_flags,0,0,0
ALL,7,observed_zero_selected,23,10,23
ALL,7,exactly_one_selected,1054,168,1054
ALL,7,multiple_selected,93,43,93
ALL,8,all_flags_missing,85,15,85
ALL,8,partially_missing_flags,0,0,0
ALL,8,observed_zero_selected,16,10,16
ALL,8,exactly_one_selected,1045,169,1045
ALL,8,multiple_selected,110,47,110
ALL,9,all_flags_missing,85,15,85
ALL,9,partially_missing_flags,0,0,0
ALL,9,observed_zero_selected,15,11,15
ALL,9,exactly_one_selected,1071,169,1071
ALL,9,multiple_selected,82,48,82
ALL,10,all_flags_missing,85,15,85
ALL,10,partially_missing_flags,0,0,0
ALL,10,observed_zero_selected,14,11,14
ALL,10,exactly_one_selected,1079,169,1079
ALL,10,multiple_selected,71,41,71
ALL,11,all_flags_missing,87,16,87
ALL,11,partially_missing_flags,0,0,0
ALL,11,observed_zero_selected,13,10,13
ALL,11,exactly_one_selected,1076,169,1076
ALL,11,multiple_selected,69,42,69
ALL,12,all_flags_missing,94,18,94
ALL,12,partially_missing_flags,0,0,0
ALL,12,observed_zero_selected,17,11,17
ALL,12,exactly_one_selected,1037,168,1037
ALL,12,multiple_selected,77,45,77
ALL,13,all_flags_missing,92,15,92
ALL,13,partially_missing_flags,0,0,0
ALL,13,observed_zero_selected,16,12,16
ALL,13,exactly_one_selected,1058,169,1058
ALL,13,multiple_selected,70,45,70
ALL,14,all_flags_missing,93,15,93
ALL,14,partially_missing_flags,0,0,0
ALL,14,observed_zero_selected,15,11,15
ALL,14,exactly_one_selected,1067,169,1067
ALL,14,multiple_selected,72,43,72
ALL,15,all_flags_missing,96,15,96
ALL,15,partially_missing_flags,0,0,0
ALL,15,observed_zero_selected,15,11,15
ALL,15,exactly_one_selected,1079,169,1079
ALL,15,multiple_selected,78,40,78
ALL,16,all_flags_missing,97,15,97
ALL,16,partially_missing_flags,0,0,0
ALL,16,observed_zero_selected,15,11,15
ALL,16,exactly_one_selected,1074,169,1074
ALL,16,multiple_selected,84,46,84
ALL,17,all_flags_missing,97,15,97
ALL,17,partially_missing_flags,0,0,0
ALL,17,observed_zero_selected,14,12,14
ALL,17,exactly_one_selected,1075,169,1075
ALL,17,multiple_selected,92,49,92
ALL,18,all_flags_missing,97,15,97
ALL,18,partially_missing_flags,0,0,0
ALL,18,observed_zero_selected,11,10,11
ALL,18,exactly_one_selected,1084,169,1084
ALL,18,multiple_selected,87,53,87
ALL,19,all_flags_missing,97,15,97
ALL,19,partially_missing_flags,0,0,0
ALL,19,observed_zero_selected,11,10,11
ALL,19,exactly_one_selected,1097,169,1097
ALL,19,multiple_selected,67,38,67
ALL,20,all_flags_missing,96,14,96
ALL,20,partially_missing_flags,0,0,0
ALL,20,observed_zero_selected,12,10,12
ALL,20,exactly_one_selected,1116,169,1116
ALL,20,multiple_selected,50,33,50
ALL,21,all_flags_missing,96,14,96
ALL,21,partially_missing_flags,0,0,0
ALL,21,observed_zero_selected,13,10,13
ALL,21,exactly_one_selected,1117,169,1117
ALL,21,multiple_selected,49,27,49
ALL,22,all_flags_missing,98,16,98
ALL,22,partially_missing_flags,0,0,0
ALL,22,observed_zero_selected,17,10,17
