artifact,path,sha256,rows,r_version,normalized_diary_sha256,normalization_manifest_sha256,preregistration_contract_sha256,migration_map_sha256,exposure_outcome_columns_accessed,participant_identifiers_exported,free_text_content_exported
h03_dictionary_audit,audit/reconciliation/preparation06/category_support/h03_category_dictionary.csv,48448a6cdaaea7148d920411f263d9a1c98666fbd53128eaaeb144ca22c1a195,7,4.6.1,06aa306411d7dbe48407e900b557ffed431b1bfb8eb4840bdbc0446988207f59,e3d484711abb54f69d63ff302e5a0329efda3fd0a8c85feaf9cc4f850005c9ab,117b3d075df5ee8c822fba70b3cc0b7b5240581ab500c14e2880514474ac4225,1541e912e549ad47b003da67b62c63deabc8159bac8045cb8287b960ba189573,FALSE,FALSE,FALSE
h03_support_overall,audit/reconciliation/preparation06/category_support/h03_category_support_overall.csv,08262ea177022875aeccb44164436eed8d53794e2935c157c702eed310221c91,8,4.6.1,06aa306411d7dbe48407e900b557ffed431b1bfb8eb4840bdbc0446988207f59,e3d484711abb54f69d63ff302e5a0329efda3fd0a8c85feaf9cc4f850005c9ab,117b3d075df5ee8c822fba70b3cc0b7b5240581ab500c14e2880514474ac4225,1541e912e549ad47b003da67b62c63deabc8159bac8045cb8287b960ba189573,FALSE,FALSE,FALSE
h03_support_by_site,audit/reconciliation/preparation06/category_support/h03_category_support_by_site.csv,0bed307f70afb19a0532f4205cb56680ecf81c52fd1e7c4b0f3c507bec2412ca,72,4.6.1,06aa306411d7dbe48407e900b557ffed431b1bfb8eb4840bdbc0446988207f59,e3d484711abb54f69d63ff302e5a0329efda3fd0a8c85feaf9cc4f850005c9ab,117b3d075df5ee8c822fba70b3cc0b7b5240581ab500c14e2880514474ac4225,1541e912e549ad47b003da67b62c63deabc8159bac8045cb8287b960ba189573,FALSE,FALSE,FALSE
h03_support_by_local_hour,audit/reconciliation/preparation06/category_support/h03_category_support_by_local_hour.csv,0f776a44fb5fb63d78d998326047819c4fd3de55b34effb3bb3167cd1d4a07e3,1728,4.6.1,06aa306411d7dbe48407e900b557ffed431b1bfb8eb4840bdbc0446988207f59,e3d484711abb54f69d63ff302e5a0329efda3fd0a8c85feaf9cc4f850005c9ab,117b3d075df5ee8c822fba70b3cc0b7b5240581ab500c14e2880514474ac4225,1541e912e549ad47b003da67b62c63deabc8159bac8045cb8287b960ba189573,FALSE,FALSE,FALSE
h04_activity_flag_support,audit/reconciliation/preparation06/category_support/h04_activity_flag_support.csv,6856e6d12ff3ec7b9fd7ce9286dad1e4c621dbaf6694be8bae1630315314069b,80,4.6.1,06aa306411d7dbe48407e900b557ffed431b1bfb8eb4840bdbc0446988207f59,e3d484711abb54f69d63ff302e5a0329efda3fd0a8c85feaf9cc4f850005c9ab,117b3d075df5ee8c822fba70b3cc0b7b5240581ab500c14e2880514474ac4225,1541e912e549ad47b003da67b62c63deabc8159bac8045cb8287b960ba189573,FALSE,FALSE,FALSE
h04_cardinality_by_site,audit/reconciliation/preparation06/category_support/h04_activity_cardinality_by_site.csv,c06b103588aef75fe3f40bf92d4feccd5eb4acb4d1b5b47230b513ddd0160e76,50,4.6.1,06aa306411d7dbe48407e900b557ffed431b1bfb8eb4840bdbc0446988207f59,e3d484711abb54f69d63ff302e5a0329efda3fd0a8c85feaf9cc4f850005c9ab,117b3d075df5ee8c822fba70b3cc0b7b5240581ab500c14e2880514474ac4225,1541e912e549ad47b003da67b62c63deabc8159bac8045cb8287b960ba189573,FALSE,FALSE,FALSE
h04_flag_count_distribution,audit/reconciliation/preparation06/category_support/h04_activity_flag_count_distribution.csv,5c9fd5c95fdbe727f8afe03d864880e0c8adb236493285c1c54bcdd45683e8c6,38,4.6.1,06aa306411d7dbe48407e900b557ffed431b1bfb8eb4840bdbc0446988207f59,e3d484711abb54f69d63ff302e5a0329efda3fd0a8c85feaf9cc4f850005c9ab,117b3d075df5ee8c822fba70b3cc0b7b5240581ab500c14e2880514474ac4225,1541e912e549ad47b003da67b62c63deabc8159bac8045cb8287b960ba189573,FALSE,FALSE,FALSE
h04_cardinality_by_local_hour,audit/reconciliation/preparation06/category_support/h04_activity_cardinality_by_local_hour.csv,f625205f06849aef63addeb0f601e40e38e02beb8fc2fe4587a2079dd6a89a9a,1200,4.6.1,06aa306411d7dbe48407e900b557ffed431b1bfb8eb4840bdbc0446988207f59,e3d484711abb54f69d63ff302e5a0329efda3fd0a8c85feaf9cc4f850005c9ab,117b3d075df5ee8c822fba70b3cc0b7b5240581ab500c14e2880514474ac4225,1541e912e549ad47b003da67b62c63deabc8159bac8045cb8287b960ba189573,FALSE,FALSE,FALSE
h04_pattern_support,audit/reconciliation/preparation06/category_support/h04_activity_pattern_support.csv,901600d3c387eb959ea1f5d5c480fc94e40c2a3a6f20087554096b5c19c789bd,294,4.6.1,06aa306411d7dbe48407e900b557ffed431b1bfb8eb4840bdbc0446988207f59,e3d484711abb54f69d63ff302e5a0329efda3fd0a8c85feaf9cc4f850005c9ab,117b3d075df5ee8c822fba70b3cc0b7b5240581ab500c14e2880514474ac4225,1541e912e549ad47b003da67b62c63deabc8159bac8045cb8287b960ba189573,FALSE,FALSE,FALSE
interval_alignment_audit,audit/reconciliation/preparation06/category_support/interval_alignment_audit.csv,345ed1cb5e9bc17f53ac40e3b2c1a34bee72d1d6c22cb1eb9c680188eb3ae4d5,10,4.6.1,06aa306411d7dbe48407e900b557ffed431b1bfb8eb4840bdbc0446988207f59,e3d484711abb54f69d63ff302e5a0329efda3fd0a8c85feaf9cc4f850005c9ab,117b3d075df5ee8c822fba70b3cc0b7b5240581ab500c14e2880514474ac4225,1541e912e549ad47b003da67b62c63deabc8159bac8045cb8287b960ba189573,FALSE,FALSE,FALSE
