site,n_eligible_source_intervals,n_unique_hours_with_any_activity,n_long_rows_if_true_flags_are_pivoted,n_extra_long_rows_from_multilabel_hours,n_multilabel_hours,n_observed_zero_hours,n_all_missing_hours,true_n_unique_keys,true_n_duplicate_keys,true_n_rows_in_duplicate_keys,true_n_duplicate_keys_with_activity_conflict,true_n_duplicate_keys_with_primary_light_conflict,wall_n_unique_keys,wall_n_duplicate_keys,wall_n_rows_in_duplicate_keys,wall_n_duplicate_keys_with_activity_conflict,wall_n_duplicate_keys_with_primary_light_conflict
ALL,30172,27515,28998,1483,1421,431,2226,30172,0,0,0,0,30172,0,0,0,0
BAUA,3499,3498,3677,179,177,0,1,3499,0,0,0,0,3499,0,0,0,0
FUSPCEU,3615,3446,3557,111,108,2,167,3615,0,0,0,0,3615,0,0,0,0
IZTECH,2754,2734,2962,228,204,0,20,2754,0,0,0,0,2754,0,0,0,0
KNUST,2520,2520,2520,0,0,0,0,2520,0,0,0,0,2520,0,0,0,0
MPI,4161,2129,2179,50,50,0,2032,4161,0,0,0,0,4161,0,0,0,0
RISE,2882,2881,3196,315,294,0,1,2882,0,0,0,0,2882,0,0,0,0
THUAS,2890,2461,2717,256,250,429,0,2890,0,0,0,0,2890,0,0,0,0
TUM,1680,1680,1695,15,15,0,0,1680,0,0,0,0,1680,0,0,0,0
UCR,6171,6166,6495,329,323,0,5,6171,0,0,0,0,6171,0,0,0,0
