site,category_code,n_intervals,n_participant_days,n_local_clock_hours,n_participants,participant_hours_min,participant_hours_q25,participant_hours_median,participant_hours_q75,participant_hours_max,n_participants_with_category_and_reference,site_specific_support_rule,category_order,category_label
BAUA,electric_indoor,548,109,22,21,5,10,21,31,70,21,TRUE,1,Electric light source indoors
FUSPCEU,electric_indoor,1157,154,24,23,15,34.5,53,67,84,23,TRUE,1,Electric light source indoors
IZTECH,electric_indoor,899,126,24,16,29,45,52.5,67.75,93,16,TRUE,1,Electric light source indoors
KNUST,electric_indoor,828,101,24,15,13,42.5,62,69.5,94,15,TRUE,1,Electric light source indoors
MPI,electric_indoor,1041,183,23,26,17,25.5,35,49.5,103,26,TRUE,1,Electric light source indoors
RISE,electric_indoor,745,110,21,17,6,18,45,56,93,17,TRUE,1,Electric light source indoors
THUAS,electric_indoor,702,100,23,15,4,12.5,52,64.5,99,15,TRUE,1,Electric light source indoors
TUM,electric_indoor,430,68,23,10,17,32.25,37.5,53.5,81,10,TRUE,1,Electric light source indoors
UCR,electric_indoor,1869,256,24,39,17,35,48,54.5,106,39,TRUE,1,Electric light source indoors
BAUA,electric_outdoor,4,4,3,4,1,1,1,1,1,3,FALSE,2,Electric light source outdoors
FUSPCEU,electric_outdoor,51,33,11,13,1,1,2,6,13,13,TRUE,2,Electric light source outdoors
IZTECH,electric_outdoor,45,20,19,7,1,1.5,3,10,18,7,TRUE,2,Electric light source outdoors
KNUST,electric_outdoor,84,52,16,15,1,3.5,6,7,13,15,TRUE,2,Electric light source outdoors
MPI,electric_outdoor,55,29,12,15,1,1,3,6,11,15,TRUE,2,Electric light source outdoors
RISE,electric_outdoor,8,4,7,2,1,2.5,4,5.5,7,2,FALSE,2,Electric light source outdoors
THUAS,electric_outdoor,23,11,10,9,1,1,2,4,5,9,TRUE,2,Electric light source outdoors
TUM,electric_outdoor,10,7,5,3,1,1.5,2,4.5,7,3,FALSE,2,Electric light source outdoors
UCR,electric_outdoor,66,42,9,20,1,1,2.5,4,12,20,TRUE,2,Electric light source outdoors
BAUA,daylight_indoor,1112,148,20,22,18,30,51,63.75,101,21,TRUE,3,Daylight indoors
FUSPCEU,daylight_indoor,631,119,17,23,2,18.5,24,35,71,23,TRUE,3,Daylight indoors
IZTECH,daylight_indoor,707,106,22,16,14,25,48,63.25,80,16,TRUE,3,Daylight indoors
KNUST,daylight_indoor,348,78,19,15,3,12.5,18,36.5,46,15,TRUE,3,Daylight indoors
MPI,daylight_indoor,1264,170,21,25,29,41,51,59,75,25,TRUE,3,Daylight indoors
RISE,daylight_indoor,690,108,19,16,2,27,41,60.25,83,16,TRUE,3,Daylight indoors
THUAS,daylight_indoor,572,97,19,14,13,24.25,38.5,58.5,89,14,TRUE,3,Daylight indoors
TUM,daylight_indoor,500,60,20,10,8,49,57.5,64,68,10,TRUE,3,Daylight indoors
UCR,daylight_indoor,1595,237,24,38,4,33.25,42.5,52.75,83,38,TRUE,3,Daylight indoors
BAUA,daylight_outdoor,486,121,20,22,3,11.75,16.5,25.5,70,21,TRUE,4,Daylight outdoors (including shade)
FUSPCEU,daylight_outdoor,267,98,15,22,1,8,10.5,14.5,31,22,TRUE,4,Daylight outdoors (including shade)
IZTECH,daylight_outdoor,121,59,15,15,1,4.5,6,12,18,15,TRUE,4,Daylight outdoors (including shade)
KNUST,daylight_outdoor,329,92,14,15,8,19,23,26.5,36,15,TRUE,4,Daylight outdoors (including shade)
MPI,daylight_outdoor,320,124,18,26,2,5.25,10,18.5,30,26,TRUE,4,Daylight outdoors (including shade)
RISE,daylight_outdoor,257,88,17,17,2,7,12,20,43,17,TRUE,4,Daylight outdoors (including shade)
THUAS,daylight_outdoor,242,84,24,15,4,8.5,16,22.5,33,15,TRUE,4,Daylight outdoors (including shade)
TUM,daylight_outdoor,117,49,15,10,3,7.25,13,16,18,10,TRUE,4,Daylight outdoors (including shade)
UCR,daylight_outdoor,436,155,20,38,1,6.25,10,15,35,38,TRUE,4,Daylight outdoors (including shade)
BAUA,display,159,41,23,15,1,5.5,9,17,24,15,TRUE,5,Emissive display light
FUSPCEU,display,114,39,18,12,1,2.75,9.5,16,21,12,TRUE,5,Emissive display light
IZTECH,display,80,39,18,12,1,1.75,5,9.25,21,12,TRUE,5,Emissive display light
KNUST,display,75,29,19,10,1,2.25,4,12.5,25,10,TRUE,5,Emissive display light
MPI,display,67,42,18,17,1,2,4,5,10,17,TRUE,5,Emissive display light
RISE,display,162,57,21,13,2,5,8,16,34,13,TRUE,5,Emissive display light
THUAS,display,157,40,18,12,1,4,5,20.5,38,12,TRUE,5,Emissive display light
TUM,display,37,15,12,4,3,3.75,5,10.5,24,4,FALSE,5,Emissive display light
UCR,display,307,94,20,31,1,3,6,10.5,61,31,TRUE,5,Emissive display light
BAUA,sleep_darkness,1008,141,14,20,1,43.5,53.5,59.75,81,19,TRUE,6,Darkness during sleep
FUSPCEU,sleep_darkness,1021,137,16,20,1,47.75,55,65.25,77,20,TRUE,6,Darkness during sleep
IZTECH,sleep_darkness,756,109,17,16,3,43,48.5,58.25,71,16,TRUE,6,Darkness during sleep
KNUST,sleep_darkness,839,104,16,15,31,52,55,65,77,15,TRUE,6,Darkness during sleep
MPI,sleep_darkness,1103,166,21,24,14,41,48.5,53.25,67,24,TRUE,6,Darkness during sleep
RISE,sleep_darkness,871,127,16,17,22,43,51,58,80,17,TRUE,6,Darkness during sleep
THUAS,sleep_darkness,755,104,13,15,1,49,56,60,74,15,TRUE,6,Darkness during sleep
TUM,sleep_darkness,431,56,15,9,5,47,49,60,69,9,TRUE,6,Darkness during sleep
UCR,sleep_darkness,1148,194,20,35,1,15,40,46.5,60,35,TRUE,6,Darkness during sleep
BAUA,sleep_external_light,175,54,18,12,2,8,12.5,18.25,45,12,TRUE,7,Light entering from outside during sleep
FUSPCEU,sleep_external_light,3,2,3,2,1,1.25,1.5,1.75,2,2,FALSE,7,Light entering from outside during sleep
IZTECH,sleep_external_light,146,35,21,8,1,7,15,26,51,8,TRUE,7,Light entering from outside during sleep
KNUST,sleep_external_light,15,9,9,6,1,1.25,2.5,3,5,6,FALSE,7,Light entering from outside during sleep
MPI,sleep_external_light,311,95,16,19,1,4.5,11,21,59,19,TRUE,7,Light entering from outside during sleep
RISE,sleep_external_light,148,50,19,12,2,5.25,7.5,12.25,43,12,TRUE,7,Light entering from outside during sleep
THUAS,sleep_external_light,26,13,10,6,1,2,5.5,6,7,6,TRUE,7,Light entering from outside during sleep
TUM,sleep_external_light,155,23,21,7,3,4,10,36.5,61,7,TRUE,7,Light entering from outside during sleep
UCR,sleep_external_light,236,90,20,19,1,6.5,10,14.5,35,19,TRUE,7,Light entering from outside during sleep
BAUA,missing_primary_light_source,7,4,7,4,1,1,1,1.75,4,4,FALSE,8,<missing primary light source>
FUSPCEU,missing_primary_light_source,371,42,17,8,1,33.25,50.5,69,82,8,FALSE,8,<missing primary light source>
IZTECH,missing_primary_light_source,0,0,0,0,0,0,0,0,0,0,FALSE,8,<missing primary light source>
KNUST,missing_primary_light_source,2,1,2,1,2,2,2,2,2,1,FALSE,8,<missing primary light source>
MPI,missing_primary_light_source,0,0,0,0,0,0,0,0,0,0,FALSE,8,<missing primary light source>
RISE,missing_primary_light_source,1,1,1,1,1,1,1,1,1,1,FALSE,8,<missing primary light source>
THUAS,missing_primary_light_source,413,37,24,12,7,18.75,24.5,36.75,96,12,FALSE,8,<missing primary light source>
TUM,missing_primary_light_source,0,0,0,0,0,0,0,0,0,0,FALSE,8,<missing primary light source>
