site,n_eligible_intervals,n_true_duration_60_minutes,n_true_duration_other,n_wall_duration_60_minutes,n_wall_duration_120_minutes,n_wall_duration_other,n_start_aligned_to_hour,n_end_aligned_to_hour,n_start_label_matches_wall,n_end_label_matches_wall,n_start_offset_matches,n_end_offset_matches,true_n_unique_keys,true_n_duplicate_keys,true_n_rows_in_duplicate_keys,true_n_duplicate_keys_with_activity_conflict,true_n_duplicate_keys_with_primary_light_conflict,wall_n_unique_keys,wall_n_duplicate_keys,wall_n_rows_in_duplicate_keys,wall_n_duplicate_keys_with_activity_conflict,wall_n_duplicate_keys_with_primary_light_conflict,n_quarantined_intervals
ALL,30172,30172,0,30170,2,0,30172,30172,30172,30172,30172,30172,30172,0,0,0,0,30172,0,0,0,0,27
BAUA,3499,3499,0,3499,0,0,3499,3499,3499,3499,3499,3499,3499,0,0,0,0,3499,0,0,0,0,0
FUSPCEU,3615,3615,0,3615,0,0,3615,3615,3615,3615,3615,3615,3615,0,0,0,0,3615,0,0,0,0,0
IZTECH,2754,2754,0,2754,0,0,2754,2754,2754,2754,2754,2754,2754,0,0,0,0,2754,0,0,0,0,0
KNUST,2520,2520,0,2520,0,0,2520,2520,2520,2520,2520,2520,2520,0,0,0,0,2520,0,0,0,0,0
MPI,4161,4161,0,4161,0,0,4161,4161,4161,4161,4161,4161,4161,0,0,0,0,4161,0,0,0,0,0
RISE,2882,2882,0,2881,1,0,2882,2882,2882,2882,2882,2882,2882,0,0,0,0,2882,0,0,0,0,1
THUAS,2890,2890,0,2889,1,0,2890,2890,2890,2890,2890,2890,2890,0,0,0,0,2890,0,0,0,0,26
TUM,1680,1680,0,1680,0,0,1680,1680,1680,1680,1680,1680,1680,0,0,0,0,1680,0,0,0,0,0
UCR,6171,6171,0,6171,0,0,6171,6171,6171,6171,6171,6171,6171,0,0,0,0,6171,0,0,0,0,0
