site,n_activity_true,n_activity_missing,n_intervals,percent_of_eligible_intervals
ALL,0,0,431,1.4284767333952009
ALL,1,0,26094,86.48415749701711
ALL,2,0,1360,4.507490388439613
ALL,3,0,60,0.1988598700782182
ALL,4,0,1,0.0033143311679703037
ALL,0,8,2226,7.377701179901896
BAUA,1,0,3321,94.91283223778223
BAUA,2,0,175,5.001428979708488
BAUA,3,0,2,0.05715918833952558
BAUA,0,8,1,0.02857959416976279
FUSPCEU,0,0,2,0.05532503457814661
FUSPCEU,1,0,3338,92.3374827109267
FUSPCEU,2,0,105,2.904564315352697
FUSPCEU,3,0,3,0.08298755186721991
FUSPCEU,0,8,167,4.619640387275242
IZTECH,1,0,2530,91.86637618010167
IZTECH,2,0,181,6.572258533042847
IZTECH,3,0,22,0.7988380537400145
IZTECH,4,0,1,0.03631082062454612
IZTECH,0,8,20,0.7262164124909223
KNUST,1,0,2520,100
MPI,1,0,2079,49.96395097332372
MPI,2,0,50,1.201634222542658
MPI,0,8,2032,48.83441480413362
RISE,1,0,2587,89.76405274115197
RISE,2,0,273,9.472588480222068
RISE,3,0,21,0.7286606523247745
RISE,0,8,1,0.03469812630117974
THUAS,0,0,429,14.844290657439446
THUAS,1,0,2211,76.50519031141869
THUAS,2,0,244,8.442906574394463
THUAS,3,0,6,0.20761245674740483
TUM,1,0,1665,99.10714285714286
TUM,2,0,15,0.8928571428571429
UCR,1,0,5843,94.68481607519041
UCR,2,0,317,5.136930805380003
UCR,3,0,6,0.09722897423432182
UCR,0,8,5,0.0810241451952682
