"index","id","label","kind","relationship","member","sha256","cx","cy"
1,"22","Main Figure 1","SVG","rId21","word/media/rId21.svg","4304aa487b3c7f6b27b533952315fc9b790d4d00334aeb519a97d28c50d98936",4224528,4023360
2,"311","Main Table 1, part 1 of 2","PNG","rId1","word/media/image1.png","f2df0ce73bc31f889d457397596257e2e3f7f9c7610ccc0ec9659efc33a2f9b7",9646920,4238798
3,"312","Main Table 1, part 2 of 2","PNG","rId2","word/media/image2.png","a8e5892c59138ec0b4a13f272d3d05e3f67c21bc641d1194e877399564b02a70",9646920,4041474
4,"313","Main Table 2, part 1 of 1","PNG","rId3","word/media/image3.png","cf05ca1aac8f6a3681318636b6ccbc31824e57e43d1c8f651e99fbedb81c6d0e",9646920,4828837
5,"29","Main Figure 2","SVG","rId28","word/media/rId28.svg","2f9493540f12c9c660d213ee619bc726f1e3a0e34ce52c0e59bdf6bd8102a5cd",3843746,4892040
6,"314","Main Table 3, part 1 of 4","PNG","rId4","word/media/image4.png","0ae5066b9063781a0485f1b5d3888687bfd4fc419f86eda424e2333d009b1fa6",9646920,5272540
7,"315","Main Table 3, part 2 of 4","PNG","rId5","word/media/image5.png","9fd4d40280b22912e5add64cd34963d986099bc2ac9ef3dd92193b492d640c3f",9646920,4099941
8,"316","Main Table 3, part 3 of 4","PNG","rId6","word/media/image6.png","8cb6bba7991cdca2ffcb60fd94c5dd2022d0fd1e592ab94a5de5f77115088d15",9646920,4898306
9,"317","Main Table 3, part 4 of 4","PNG","rId7","word/media/image7.png","70e68224e2b514462236563f396885d82dc7c786189dad85f58b6f274565fdc1",9394806,5669280
10,"36","Main Figure 3","SVG","rId35","word/media/rId35.svg","012453debcd7994ab8b8437bd1b829a4935b26d97803963c6621ee2093bd72dd",3272905,4892040
11,"318","Supplementary Table S1, part 1 of 1","PNG","rId19","word/media/image8.png","406ac771d7810394aaa171616bc60127ce4e24479fc12b694a2edede1ce13689",8062976,5669279
12,"319","Supplementary Table S2, part 1 of 3","PNG","rId20","word/media/image9.png","0114e1aad3df65f515b4c5d06e6f27d83ce2e0273b063c20dffaf37872caa618",13953807,8138160
13,"320","Supplementary Table S2, part 2 of 3","PNG","rId22","word/media/image10.png","43f113ff011a74e5f4cd62b480f604df097262808b98f9ba0d2a699e0f15362e",14218920,6928144
14,"321","Supplementary Table S2, part 3 of 3","PNG","rId23","word/media/image11.png","2bfcf9f9725410446ffe24bd6dab6a47b5864662f9040d630b184e43731fa7b3",14218920,7061745
15,"322","Supplementary Table S3, part 1 of 1","PNG","rId24","word/media/image12.png","8139eb4ea512629f6457ad4f5dc6c586304b65c14f3324f22b6707a118b1cb4b",6962681,5669280
16,"340","Supplementary Figure S1","SVG","rId44","word/media/nh_supplementary_figure_s1.svg","63c21b0d084b76e63e50d24f097ab3a881c7056ca4d73c7def5f7a064d1daf05",5257800,5257800
17,"341","Supplementary Figure S2","SVG","rId45","word/media/nh_supplementary_figure_s2.svg","61de5a9df7dda373d27935a9905bde99c2857c52787dafaedbb11a240efa7bbe",5715000,5143488
18,"342","Supplementary Figure S3","SVG","rId46","word/media/nh_supplementary_figure_s3.svg","58b7263ac915e910c268d840f00cb1a036fcc7036ed7b1ef0a201bb4202117fa",4023360,4023360
19,"343","Supplementary Figure S4","SVG","rId47","word/media/nh_supplementary_figure_s4.svg","65c262ff90dbf458549a417d722e625fba5d30ed892edabd34e81c37b55c1433",5715000,3401785
20,"344","Supplementary Figure S5","SVG","rId48","word/media/nh_supplementary_figure_s5.svg","61e8d4671939659ecf5eca6c6688c03414bb849d15b9d3f59f39c96ca7069cfd",5715000,3744168
21,"323","Supplementary Table S4, part 1 of 2","PNG","rId25","word/media/image13.png","dc86d71f8a4731871bba6638fe979b0a38ad6da32e15e4f1d28d77e6a3443872",9646920,4737518
22,"324","Supplementary Table S4, part 2 of 2","PNG","rId26","word/media/image14.png","fe8e98ad60b10b6308253c2fa676137311b245796001b97d33aa6163ec364018",9646920,5124254
