"section","orientation","width","height","left","right","top","bottom"
1,"portrait",11901,16840,1440,1440,1440,1440
2,"landscape",16840,11901,648,648,792,792
3,"portrait",11901,16840,1440,1440,1440,1440
4,"landscape",16840,11901,648,648,792,792
5,"portrait",11901,16840,1440,1440,1440,1440
6,"landscape",16840,11901,648,648,792,792
7,"portrait",11901,16840,1440,1440,1440,1440
8,"landscape",16840,11901,648,648,792,792
9,"portrait",11901,16840,1440,1440,1440,1440
10,"landscape",23810,16838,648,648,792,792
11,"portrait",11901,16840,1440,1440,1440,1440
12,"landscape",16840,11901,648,648,792,792
13,"portrait",11901,16840,1440,1440,1440,1440
14,"landscape",16840,11901,648,648,792,792
15,"portrait",11901,16840,1440,1440,1440,1440
16,"landscape",16840,11901,648,648,792,792
17,"portrait",11901,16840,1440,1440,1440,1440
18,"landscape",16840,11901,648,648,792,792
19,"portrait",11901,16840,1440,1440,1440,1440
20,"landscape",16840,11901,648,648,792,792
21,"portrait",11901,16840,1440,1440,1440,1440
22,"landscape",16840,11901,648,648,792,792
23,"portrait",11901,16840,1440,1440,1440,1440
24,"landscape",16840,11901,648,648,792,792
25,"portrait",11901,16840,1440,1440,1440,1440
26,"landscape",16840,11901,648,648,792,792
27,"portrait",11901,16840,1440,1440,1440,1440
28,"landscape",16840,11901,648,648,792,792
29,"portrait",11901,16840,1440,1440,1440,1440
30,"landscape",16840,11901,648,648,792,792
31,"portrait",11901,16840,1440,1440,1440,1440
