mode,domain,assessment,observation
original,selected_label_completeness,PASS,"All three full MCTQ MSFsc (hours) labels are visible and centered"
original,extended_grey_headers,PASS,"All three grey headers extend evenly beyond their prior edges"
original,strip_boundaries_and_gaps,PASS,"Header edges are clean and positive gaps remain between adjacent strips"
original,scientific_panels_and_marks,PASS,"Axes, panels, points, model lines, intervals and boxplots appear intact"
original,legend_and_outer_tags,PASS,"The complete legend and uppercase A and B tags are visible"
original,clipping_overlap_distortion,PASS,"No clipping, overlap or distortion is visible"
600,selected_label_completeness,PASS,"All three corrected labels remain complete at the intended 600 CSS-pixel display"
600,legibility,PASS,"The corrected labels and essential panel labels remain discernible at 600 CSS pixels"
600,strip_boundaries_and_gaps,PASS,"The widened grey headers remain separated with clean boundaries"
600,scientific_panels_and_marks,PASS,"Panels, axes, marks, model lines, intervals, boxplots and legend remain complete"
600,clipping_overlap_distortion,PASS,"No clipping, overlap or distortion is visible"
narrow,complete_responsive_view,PASS,"The complete figure fits a 390 CSS-pixel viewport at 358 by 289.8046875 CSS pixels with no horizontal overflow"
narrow,selected_label_completeness,PASS,"All three corrected label strings remain present without strip clipping"
narrow,strip_boundaries_and_gaps,PASS,"The widened headers remain visibly separated"
narrow,clipping_overlap_distortion,PASS,"No edge clipping, panel overlap or aspect-ratio distortion is visible"
narrow,fine_text_legibility,EXPECTED_SCALE_LIMITATION,"Fine figure text is small at the 358 CSS-pixel overview scale; the intended 600 CSS-pixel and original-size checks remain legible"
