"check","expected","actual","status"
"input_xml_parses","PASS","PASS","PASS"
"candidate_xml_parses","PASS","PASS","PASS"
"exact_six_forward_changes","6","6","PASS"
"exact_byte_reverse","c937252509c5de9448944358a9846842c973bac26b0f0fb4640728fcf8a908b3","c937252509c5de9448944358a9846842c973bac26b0f0fb4640728fcf8a908b3","PASS"
"all_nonselected_bytes_exact","TRUE","TRUE","PASS"
"text_nodes_and_attributes_exact","107/107","107/107","PASS"
"node_order_exact","9186","9186","PASS"
"identifier_sequence_exact","20","20","PASS"
"duplicate_ids","0","0","PASS"
"unresolved_references","0","0","PASS"
"dimensions_exact","1134.00pt x 918.00pt","1134.00pt x 918.00pt","PASS"
"viewBox_exact","0 0 1134.00 918.00","0 0 1134.00 918.00","PASS"
"selected_label_extents_inside","4/4","4/4","PASS"
"selected_inset_each_side","9.585","9.585","PASS"
"adjacent_strip_overlap","0","0","PASS"
"unchanged_fourth_label_complete","PASS","PASS","PASS"
