"check","expected","actual","status"
"candidate_sha256","0a3d0cabcd6cdb67db072cfa566448a885a774db519bea442a973896a7d616e8","0a3d0cabcd6cdb67db072cfa566448a885a774db519bea442a973896a7d616e8","PASS"
"candidate_bytes","1245095","1245095","PASS"
"exact_forward_image","TRUE","TRUE","PASS"
"exact_reverse_image","TRUE","TRUE","PASS"
"nonselected_bytes_exact","TRUE","TRUE","PASS"
"dispatch_final_exact","32/32","32/32","PASS"
"protected_final_exact","5/5","5/5","PASS"
"browser_routes","3/3","3/3","PASS"
"browser_console_errors","0","0","PASS"
"browser_console_warnings","0","0","PASS"
"browser_screenshot_identities","3/3","3/3","PASS"
"visual_findings_failed","0","0","PASS"
"temporary_viewport_reset","TRUE","TRUE","PASS"
"task_tabs_remaining","0","0","PASS"
"temporary_preview_root_remaining","FALSE","FALSE","PASS"
"listener_rows_remaining","0","0","PASS"
"package_symlinks","0","0","PASS"
