operation,consumed_this_recovery,total_status,remaining
S2_guard_recovery_attempt5,1,PASS capture and actual visual/content checks,0
S5_S6_S10_recapture,0,Four initial passed parts preserved,No recapture authorized
selection_HTML_correction,1,Completed exit0 structuralPASS and visualQA pending,0
main_HTML_correction,1,Completed exit0 structuralPASS and visualQA pending,0
main_DOCX_correction,1,Completed exit0 with SVG fallback warnings and embedding precondition failure,0
Word_assembly_and_SVG_embedding,0,Stopped before invocation on read-only precondition check,2 inherited but held pending new disposition
office_QA_render,0,Not started,2 inherited but held pending new disposition
corrected_HTML_browser_QA,0,Not started after new Word precondition defect,Not accepted
native_Word_QA,0,No author unlock confirmation and no native action,Not accepted
standalone_editable_Word_tables,0,Separate nineteen-file deliverable unchanged,Outside this display repair
