"source_body_row","description","image_payload_sha256","source_style_exact","runtime_hidden_semantics_passed"
2,"Time above 1,000 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","fe47619e411cd55ac5de9a59ac4a149866be86331e340872e5d14c3e8a33ea3d",TRUE,TRUE
3,"Time above 250 lx melEDI during wake distribution by site. Exact numerical summaries are in the adjacent cells.","1036bb5970943489ba41944679ee69c016e3d058e6cbcd6e6e5e868a207a0653",TRUE,TRUE
4,"Time below 10 lx melEDI before sleep distribution by site. Exact numerical summaries are in the adjacent cells.","a9466832fbe118c043032f2b9891ec3932b8db50060790401e3452e0c82bda7f",TRUE,TRUE
5,"Time below 1 lx melEDI during sleep distribution by site. Exact numerical summaries are in the adjacent cells.","fd641c08bb3f4dc03ca796fe5f14e93768333caa2c6ee234d6c0e017ffb285f2",TRUE,TRUE
6,"Longest period above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","6eb4de282ffa499a5d56b2860c0ce407bf2288bf3182616dfde4cb30e0dce0a9",TRUE,TRUE
8,"Interdaily stability distribution by site. Exact numerical summaries are in the adjacent cells.","d11653fb6c70ac47e6dee9ffcf994647f2629c206ea363eae0e7caae9f5e2460",TRUE,TRUE
9,"Intradaily variability distribution by site. Exact numerical summaries are in the adjacent cells.","1995b69ca3a26391a2e3caa55de7c58b498e935af7229cbe38063c3f3b99d85e",TRUE,TRUE
11,"melEDI dose distribution by site. Exact numerical summaries are in the adjacent cells.","069be4e2f3ecf89617e8eec3c2a97b2bec5dd94bf9db7f423a847023cf168e96",TRUE,TRUE
13,"Mean melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","f92fbd7538e69e8d131bb85c9eabc861370df3179887fe6292fd470803187071",TRUE,TRUE
14,"Brightest 10 h mean distribution by site. Exact numerical summaries are in the adjacent cells.","ec4b8ab22e653dd66a1b5ac93b098f89583449cc3a788eae8b72cb2315b212d9",TRUE,TRUE
15,"Darkest 10 h mean distribution by site. Exact numerical summaries are in the adjacent cells.","39af943cfb1e79aaf7ac068960703a5e2d3efaa6f798016740dc6bb7d22f13c0",TRUE,TRUE
17,"Melanopic daylight efficacy ratio distribution by site. Exact numerical summaries are in the adjacent cells.","f2d9d2e2261b0a844524941bee9ab1295557359021b4c097fdb8cde4c60145a0",TRUE,TRUE
19,"Midpoint of the brightest 10 hours distribution by site. Exact numerical summaries are in the adjacent cells.","11329f7395a14c80fa6ab7727c85c5038fa776834f537710c6b14c373d22628b",TRUE,TRUE
20,"Midpoint of the darkest 10 hours distribution by site. Exact numerical summaries are in the adjacent cells.","6d64069c7fde2259ed7ca70b78d25bed1a95c075c8008f111cf732b25e4753fe",TRUE,TRUE
21,"First light timing above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","95f9d1f3c8904b2240f1fc95623222922e7439a838142ae85ec9b88fcc3fd337",TRUE,TRUE
22,"Last light timing above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","7c8ffd9f29c116b0d640ccc7bd388ebae294fc782ac8727d9bdf62c5cfb80bbe",TRUE,TRUE
23,"Mean timing of exposure above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","d0279891ce0dffb1abc41c18ff07ffa920cc594bb906c543c81e946c6116daa9",TRUE,TRUE
