"tag","id","section_id","text"
"h2",NA,"sec-brown-main-results","1 Main analysis: adherence across Work and Free days"
"h3",NA,"question-and-measurement","1.1 Question and measurement"
"h3",NA,"model-and-exact-samples","1.2 Model and exact samples"
"h3",NA,"main-window-day-type-and-site-findings","1.3 Main window, day-type, and site findings"
"h3",NA,"endpoint-calibration-and-coverage-sensitivity","1.4 Endpoint calibration and coverage sensitivity"
"h3",NA,"retained-random-effect-and-descriptive-decomposition","1.5 Retained random effect and descriptive decomposition"
"h3",NA,"complementary-chest-measurements","1.6 Complementary chest measurements"
"h3",NA,"grouping-and-other-sensitivity-analyses","1.7 Grouping and other sensitivity analyses"
"h3",NA,"main-analysis-limitations","1.8 Main-analysis limitations"
"h2",NA,"sec-brown-cross-state","2 Exploratory cross-state extension"
"h3",NA,"what-was-compared","2.1 What was compared"
"h3",NA,"participant-profiles-across-recommendation-windows","2.2 Participant profiles across recommendation windows"
"h3",NA,"adjusted-cross-state-associations","2.3 Adjusted cross-state associations"
"h4",NA,"day-level-question","2.3.1 Day-level question"
"h4",NA,"participant-level-question","2.3.2 Participant-level question"
"h3",NA,"descriptive-daytime-cycle-groups-not-participant-rankings","2.4 Descriptive Daytime-cycle groups, not participant rankings"
"h3",NA,"model-checks-and-sensitivity-analyses","2.5 Model checks and sensitivity analyses"
"h3",NA,"cross-state-interpretation-and-limitations","2.6 Cross-state interpretation and limitations"
"h2",NA,"integrated-interpretation","3 Integrated interpretation"
"h2",NA,"sec-brown-provenance","4 Detailed methods and provenance"
