"check","pass","detail"
"stop_manifest_sha",TRUE,"Exact stopped owner seal"
"stop_manifest_shape",TRUE,"295 unique non-circular rows"
"stop_members",TRUE,"295/295 exact"
"stop_record_sha",TRUE,"Exact STOPPED_VISUAL record"
"recovery_originals",TRUE,"854 current/original preflight rows exact"
"source_table_sha",TRUE,"Unchanged frozen S2 table"
"one_rendered_s2",TRUE,"One main preview S2 endpoint"
"all_cells_render_exact",TRUE,"244/244 captured cells exactly equal frozen rendered source"
"fragment_whitespace_only",TRUE,"244/244 original fragment cell strings equal after whitespace-only normalization"
"repeated_headers",TRUE,"All three headers character-exact to rendered source"
"fragment_headers_whitespace",TRUE,"All headers equal original fragment after whitespace normalization"
"notes",TRUE,"Notes preserved on final part only; fragment differs only in whitespace"
"image_payloads",TRUE,"17/17 image payloads byte-exact"
"old_helper",TRUE,"Exact preimage"
"paired_css_preimages",TRUE,"Identical frozen prepared CSS"
"helper_exact_reverse",TRUE,"Six bounded substitutions reconstruct exact helper preimage"
"css_exact_reverse",TRUE,"Only full S2 canvas and two column widths change"
"width_boundary",TRUE,"Unit40->80, Scaling50->100; every other column unchanged; canvas1490"
