"check","observed","expected","status"
"R parse","PASS","PASS","PASS"
"attempt SVG absent before export","absent","absent","PASS"
"candidate SVG absent before export","absent","absent","PASS"
"preflight input rehash exists","present","present","PASS"
"preflight preservation rehash exists","present","present","PASS"
"broad source calls absent","0","0","PASS"
"model and inferential readers absent","0","0","PASS"
"model, prediction, derivative and simulation calls absent","0","0","PASS"
"shell and destructive calls absent","0","0","PASS"
"six frozen CSV path literals present","6/6","6/6","PASS"
"accepted method, placement, arrangement and interval literals present","4/4","4/4","PASS"
"native SVG device literal present","present","present","PASS"
"implementation SHA-256","ecd707df064b8d2254cc7cc90c1f423802ddda24d2e72eb1562ff39653d96ee9","recorded","PASS"
