path,needle,raw_occurrences
artifacts/12_manifests/H09/H09_stage3_artifacts.csv,H03-H11_gated_workflow,1
audit/H01/02_implementation_and_v0_comparison.html,sensitivity_battery,1
audit/H01/02_implementation_and_v0_comparison.html,H03-H11_gated_workflow,1
audit/H01/02_implementation_and_v0_comparison.html,implementation_result_comparison_contract,1
audit/hypotheses/H01/H01_analysis_preparation 2.html,sensitivity_battery,1
audit/hypotheses/H01/H01_analysis_preparation.html,sensitivity_battery,1
audit/hypotheses/H02/H02_analysis_preparation.html,sensitivity_battery,1
audit/hypotheses/H03/H03_analysis_preparation.html,sensitivity_battery,1
audit/hypotheses/H03-H11_gated_workflow.html,sensitivity_battery,3
audit/hypotheses/H03-H11_gated_workflow.html,H03-H11_gated_workflow,5
audit/hypotheses/H03-H11_gated_workflow.html,implementation_result_comparison_contract,5
audit/hypotheses/H04/H04_analysis_preparation.html,sensitivity_battery,1
audit/hypotheses/H05/H05_analysis_preparation.html,sensitivity_battery,1
audit/hypotheses/H06/H06_analysis_preparation.html,sensitivity_battery,1
audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,sensitivity_battery,1
audit/hypotheses/H07/H07_analysis_preparation.html,sensitivity_battery,1
audit/hypotheses/H08/H08_analysis_preparation.html,sensitivity_battery,1
audit/hypotheses/H09/H09_analysis_preparation.html,sensitivity_battery,1
audit/hypotheses/H10/H10_analysis_preparation.html,sensitivity_battery,1
audit/hypotheses/H11/H11_analysis_preparation.html,sensitivity_battery,3
audit/hypotheses/implementation_result_comparison_contract.html,sensitivity_battery,1
audit/hypotheses/implementation_result_comparison_contract.html,H03-H11_gated_workflow,5
audit/hypotheses/implementation_result_comparison_contract.html,implementation_result_comparison_contract,7
index.html,sensitivity_battery,1
index.html,manuscript_changes,2
index.html,site-passage-changes,1
notebooks/descriptives 2.html,sensitivity_battery,1
notebooks/descriptives 2.html,H03-H11_gated_workflow,1
notebooks/descriptives 2.html,implementation_result_comparison_contract,1
notebooks/descriptives.html,sensitivity_battery,1
notebooks/hypotheses/H01 2.html,sensitivity_battery,1
notebooks/hypotheses/H01 3.html,sensitivity_battery,1
notebooks/hypotheses/H01.html,sensitivity_battery,1
notebooks/hypotheses/H02.html,sensitivity_battery,1
notebooks/hypotheses/H03.html,sensitivity_battery,1
notebooks/hypotheses/H04.html,sensitivity_battery,1
notebooks/hypotheses/H05.html,sensitivity_battery,1
notebooks/hypotheses/H06.html,sensitivity_battery,1
notebooks/hypotheses/H06_daily.html,sensitivity_battery,1
notebooks/hypotheses/H07.html,sensitivity_battery,1
notebooks/hypotheses/H08.html,sensitivity_battery,1
notebooks/hypotheses/H09.html,sensitivity_battery,1
notebooks/hypotheses/H10.html,sensitivity_battery,1
notebooks/hypotheses/H11.html,sensitivity_battery,1
notebooks/placement_decision.html,sensitivity_battery,1
notebooks/preparation/01_import_state_alignment.html,sensitivity_battery,1
notebooks/preparation/02_coverage_sample_flow.html,sensitivity_battery,1
notebooks/preparation/03_reference_profiles.html,sensitivity_battery,1
notebooks/preparation/04_metric_derivation.html,sensitivity_battery,1
notebooks/preparation/05_model_input_acquisition.html,sensitivity_battery,1
notebooks/preparation/06_model_ready_datasets.html,sensitivity_battery,1
notebooks/preparation/07_example_days.html,sensitivity_battery,1
notebooks/preregistration_deviations.html,sensitivity_battery,1
notebooks/sensitivity_battery.html,sensitivity_battery,5
search.json,sensitivity_battery,8
sitemap.xml,sensitivity_battery,1
sitemap.xml,H03-H11_gated_workflow,1
sitemap.xml,implementation_result_comparison_contract,1
supplementary_information.html,sensitivity_battery,1
supplementary_information.html,manuscript_changes,2
supplementary_information.html,site-passage-changes,6
