route,area,tag,attribute,text,ref,target,fragment,xpath,line,target_exists
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Sensitivity checks,../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[7]/ul/li[1]/div/a,340,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,navbar,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,317,True
audit/hypotheses/H01/H01_analysis_preparation.html,navbar,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,314,True
audit/hypotheses/H02/H02_analysis_preparation.html,navbar,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,356,True
audit/hypotheses/H03/H03_analysis_preparation.html,navbar,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,317,True
audit/hypotheses/H03-H11_gated_workflow.html,head,link,href,,../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/head/link[1],37,True
audit/hypotheses/H03-H11_gated_workflow.html,sidebar,a,href,Sensitivity checks,../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[7]/ul/li[1]/div/a,320,True
audit/hypotheses/H03-H11_gated_workflow.html,previous_next,a,href,Sensitivity checks,../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/div[2]/nav[2]/div[2]/a,973,True
audit/hypotheses/H04/H04_analysis_preparation.html,navbar,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,356,True
audit/hypotheses/H05/H05_analysis_preparation.html,navbar,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,317,True
audit/hypotheses/H06/H06_analysis_preparation.html,navbar,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,317,True
audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,navbar,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,7423,True
audit/hypotheses/H07/H07_analysis_preparation.html,navbar,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,314,True
audit/hypotheses/H08/H08_analysis_preparation.html,navbar,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,314,True
audit/hypotheses/H09/H09_analysis_preparation.html,navbar,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,314,True
audit/hypotheses/H10/H10_analysis_preparation.html,navbar,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,314,True
audit/hypotheses/H11/H11_analysis_preparation.html,head,link,href,,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/head/link[1],68,True
audit/hypotheses/H11/H11_analysis_preparation.html,navbar,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,353,True
audit/hypotheses/H11/H11_analysis_preparation.html,previous_next,a,href,Sensitivity checks,../../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/div[2]/nav/div[2]/a,15218,True
audit/hypotheses/implementation_result_comparison_contract.html,sidebar,a,href,Sensitivity checks,../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[7]/ul/li[1]/div/a,320,True
index.html,navbar,a,href,Sensitivity checks,./notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,604,True
notebooks/descriptives 2.html,sidebar,a,href,Sensitivity checks,../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[7]/ul/li[1]/div/a,365,True
notebooks/descriptives.html,navbar,a,href,Sensitivity checks,../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,332,True
notebooks/hypotheses/H01 2.html,navbar,a,href,Sensitivity checks,../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,316,True
notebooks/hypotheses/H01 3.html,navbar,a,href,Sensitivity checks,../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,312,True
notebooks/hypotheses/H01.html,navbar,a,href,Sensitivity checks,../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,312,True
notebooks/hypotheses/H02.html,navbar,a,href,Sensitivity checks,../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/header/nav/div/div[3]/ul/li[6]/ul/li[2]/a,355,True
