route,area,tag,attribute,text,ref,target,fragment,xpath,line,target_exists
audit/H01/02_implementation_and_v0_comparison.html,head,script,src,,../../site_libs/quarto-nav/quarto-nav.js,site_libs/quarto-nav/quarto-nav.js,,/html/head/script[1],61,True
audit/H01/02_implementation_and_v0_comparison.html,head,script,src,,../../site_libs/quarto-nav/headroom.min.js,site_libs/quarto-nav/headroom.min.js,,/html/head/script[2],62,True
audit/H01/02_implementation_and_v0_comparison.html,head,script,src,,../../site_libs/clipboard/clipboard.min.js,site_libs/clipboard/clipboard.min.js,,/html/head/script[3],63,True
audit/H01/02_implementation_and_v0_comparison.html,head,script,src,,../../site_libs/quarto-search/autocomplete.umd.js,site_libs/quarto-search/autocomplete.umd.js,,/html/head/script[4],64,True
audit/H01/02_implementation_and_v0_comparison.html,head,script,src,,../../site_libs/quarto-search/fuse.min.js,site_libs/quarto-search/fuse.min.js,,/html/head/script[5],65,True
audit/H01/02_implementation_and_v0_comparison.html,head,script,src,,../../site_libs/quarto-search/quarto-search.js,site_libs/quarto-search/quarto-search.js,,/html/head/script[6],66,True
audit/H01/02_implementation_and_v0_comparison.html,head,link,href,,../../notebooks/hypotheses/H02.html,notebooks/hypotheses/H02.html,,/html/head/link[1],68,True
audit/H01/02_implementation_and_v0_comparison.html,head,link,href,,../../notebooks/descriptives.html,notebooks/descriptives.html,,/html/head/link[2],69,True
audit/H01/02_implementation_and_v0_comparison.html,head,script,src,,../../site_libs/quarto-html/quarto.js,site_libs/quarto-html/quarto.js,,/html/head/script[7],70,True
audit/H01/02_implementation_and_v0_comparison.html,head,script,src,,../../site_libs/quarto-html/tabsets/tabsets.js,site_libs/quarto-html/tabsets/tabsets.js,,/html/head/script[8],71,True
audit/H01/02_implementation_and_v0_comparison.html,head,script,src,,../../site_libs/quarto-html/popper.min.js,site_libs/quarto-html/popper.min.js,,/html/head/script[9],72,True
audit/H01/02_implementation_and_v0_comparison.html,head,script,src,,../../site_libs/quarto-html/tippy.umd.min.js,site_libs/quarto-html/tippy.umd.min.js,,/html/head/script[10],73,True
audit/H01/02_implementation_and_v0_comparison.html,head,script,src,,../../site_libs/quarto-html/anchor.min.js,site_libs/quarto-html/anchor.min.js,,/html/head/script[11],74,True
audit/H01/02_implementation_and_v0_comparison.html,head,link,href,,../../site_libs/quarto-html/tippy.css,site_libs/quarto-html/tippy.css,,/html/head/link[3],75,True
audit/H01/02_implementation_and_v0_comparison.html,head,link,href,,../../site_libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css,site_libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css,,/html/head/link[4],76,True
audit/H01/02_implementation_and_v0_comparison.html,head,script,src,,../../site_libs/bootstrap/bootstrap.min.js,site_libs/bootstrap/bootstrap.min.js,,/html/head/script[12],77,True
audit/H01/02_implementation_and_v0_comparison.html,head,link,href,,../../site_libs/bootstrap/bootstrap-icons.css,site_libs/bootstrap/bootstrap-icons.css,,/html/head/link[5],78,True
audit/H01/02_implementation_and_v0_comparison.html,head,link,href,,../../site_libs/bootstrap/bootstrap-a2a938b4dd5711f7a799c87bd16ba44c.min.css,site_libs/bootstrap/bootstrap-a2a938b4dd5711f7a799c87bd16ba44c.min.css,,/html/head/link[6],79,True
audit/H01/02_implementation_and_v0_comparison.html,head,link,href,,../../styles.css,styles.css,,/html/head/link[7],105,True
audit/H01/02_implementation_and_v0_comparison.html,navbar,a,href,Hypothesis analyses,../../notebooks/hypotheses/H01.html,notebooks/hypotheses/H01.html,,/html/body/header/nav/div/nav/ol/li[1]/a,114,True
audit/H01/02_implementation_and_v0_comparison.html,navbar,a,href,H01 results,../../notebooks/hypotheses/H01.html,notebooks/hypotheses/H01.html,,/html/body/header/nav/div/nav/ol/li[2]/a,114,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Nature Health analysis and manuscript,../../,.,,/html/body/div[2]/nav[1]/div[1]/div/a,125,False
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Manuscript,../../index.html,index.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[1]/div/a,137,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Supplementary information,../../supplementary_information.html,supplementary_information.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[2]/div/a,143,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,01 Import and state alignment,../../notebooks/preparation/01_import_state_alignment.html,notebooks/preparation/01_import_state_alignment.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[3]/ul/li[1]/div/a,158,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,02 Coverage and sample flow,../../notebooks/preparation/02_coverage_sample_flow.html,notebooks/preparation/02_coverage_sample_flow.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[3]/ul/li[2]/div/a,164,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,03 Reference profiles,../../notebooks/preparation/03_reference_profiles.html,notebooks/preparation/03_reference_profiles.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[3]/ul/li[3]/div/a,170,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,04 Metric derivation,../../notebooks/preparation/04_metric_derivation.html,notebooks/preparation/04_metric_derivation.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[3]/ul/li[4]/div/a,176,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,05 Model-input acquisition,../../notebooks/preparation/05_model_input_acquisition.html,notebooks/preparation/05_model_input_acquisition.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[3]/ul/li[5]/div/a,182,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,06 Model-ready datasets,../../notebooks/preparation/06_model_ready_datasets.html,notebooks/preparation/06_model_ready_datasets.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[3]/ul/li[6]/div/a,188,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,07 Example days,../../notebooks/preparation/07_example_days.html,notebooks/preparation/07_example_days.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[3]/ul/li[7]/div/a,194,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Placement decision,../../notebooks/placement_decision.html,notebooks/placement_decision.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[4]/ul/li[1]/div/a,211,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Descriptive results,../../notebooks/descriptives.html,notebooks/descriptives.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[4]/ul/li[2]/div/a,217,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,H01 results,../../notebooks/hypotheses/H01.html,notebooks/hypotheses/H01.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[5]/ul/li[1]/div/a,234,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,H02 results,../../notebooks/hypotheses/H02.html,notebooks/hypotheses/H02.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[5]/ul/li[2]/div/a,240,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,H02 preparation and provenance,../../audit/hypotheses/H02/H02_analysis_preparation.html,audit/hypotheses/H02/H02_analysis_preparation.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[5]/ul/li[3]/div/a,246,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,H03 results,../../notebooks/hypotheses/H03.html,notebooks/hypotheses/H03.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[5]/ul/li[4]/div/a,252,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,H04 results,../../notebooks/hypotheses/H04.html,notebooks/hypotheses/H04.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[5]/ul/li[5]/div/a,258,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,H05 results,../../notebooks/hypotheses/H05.html,notebooks/hypotheses/H05.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[5]/ul/li[6]/div/a,264,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,H06 results,../../notebooks/hypotheses/H06.html,notebooks/hypotheses/H06.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[5]/ul/li[7]/div/a,270,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,H07 results,../../notebooks/hypotheses/H07.html,notebooks/hypotheses/H07.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[5]/ul/li[8]/div/a,276,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,H08 results,../../notebooks/hypotheses/H08.html,notebooks/hypotheses/H08.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[5]/ul/li[9]/div/a,282,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,H09 results,../../notebooks/hypotheses/H09.html,notebooks/hypotheses/H09.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[5]/ul/li[10]/div/a,288,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,H10 results,../../notebooks/hypotheses/H10.html,notebooks/hypotheses/H10.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[5]/ul/li[11]/div/a,294,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,H11 results,../../notebooks/hypotheses/H11.html,notebooks/hypotheses/H11.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[5]/ul/li[12]/div/a,300,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Comparison contract,../../audit/hypotheses/implementation_result_comparison_contract.html,audit/hypotheses/implementation_result_comparison_contract.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[6]/ul/li[1]/div/a,317,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,H03–H11 gated workflow,../../audit/hypotheses/H03-H11_gated_workflow.html,audit/hypotheses/H03-H11_gated_workflow.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[6]/ul/li[2]/div/a,323,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Sensitivity checks,../../notebooks/sensitivity_battery.html,notebooks/sensitivity_battery.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[7]/ul/li[1]/div/a,340,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Publication artifacts,../../notebooks/assemble_artifacts.html,notebooks/assemble_artifacts.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[7]/ul/li[2]/div/a,346,False
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Result in brief,#result-in-brief,audit/H01/02_implementation_and_v0_comparison.html,result-in-brief,/html/body/div[2]/nav[1]/nav/ul/li[1]/a,357,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Response-family decision,#response-family-decision,audit/H01/02_implementation_and_v0_comparison.html,response-family-decision,/html/body/div[2]/nav[1]/nav/ul/li[2]/a,358,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Gate A and Gate B outcome checks,#gate-a-and-gate-b-outcome-checks,audit/H01/02_implementation_and_v0_comparison.html,gate-a-and-gate-b-outcome-checks,/html/body/div[2]/nav[1]/nav/ul/li[3]/a,359,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Reconstructed Table S2,#reconstructed-table-s2,audit/H01/02_implementation_and_v0_comparison.html,reconstructed-table-s2,/html/body/div[2]/nav[1]/nav/ul/li[4]/a,361,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Model-wide tests: audited analysis versus V0,#model-wide-tests-audited-analysis-versus-v0,audit/H01/02_implementation_and_v0_comparison.html,model-wide-tests-audited-analysis-versus-v0,/html/body/div[2]/nav[1]/nav/ul/li[4]/ul/li[1]/a,363,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Effect estimates and exact primary samples,#effect-estimates-and-exact-primary-samples,audit/H01/02_implementation_and_v0_comparison.html,effect-estimates-and-exact-primary-samples,/html/body/div[2]/nav[1]/nav/ul/li[4]/ul/li[2]/a,364,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Hierarchical site follow-ups,#hierarchical-site-follow-ups,audit/H01/02_implementation_and_v0_comparison.html,hierarchical-site-follow-ups,/html/body/div[2]/nav[1]/nav/ul/li[4]/ul/li[3]/a,365,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Reconstructed Table S3: variation represented,#reconstructed-table-s3-variation-represented,audit/H01/02_implementation_and_v0_comparison.html,reconstructed-table-s3-variation-represented,/html/body/div[2]/nav[1]/nav/ul/li[5]/a,368,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Exact fitted samples,#exact-fitted-samples,audit/H01/02_implementation_and_v0_comparison.html,exact-fitted-samples,/html/body/div[2]/nav[1]/nav/ul/li[6]/a,369,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Sensitivity and complementary analyses,#sensitivity-and-complementary-analyses,audit/H01/02_implementation_and_v0_comparison.html,sensitivity-and-complementary-analyses,/html/body/div[2]/nav[1]/nav/ul/li[7]/a,370,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Figure S10: photoperiod and latitude,#figure-s10-photoperiod-and-latitude,audit/H01/02_implementation_and_v0_comparison.html,figure-s10-photoperiod-and-latitude,/html/body/div[2]/nav[1]/nav/ul/li[8]/a,371,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Bootstrap execution record,#bootstrap-execution-record,audit/H01/02_implementation_and_v0_comparison.html,bootstrap-execution-record,/html/body/div[2]/nav[1]/nav/ul/li[9]/a,372,True
