route,area,tag,attribute,text,ref,target,fragment,xpath,line,target_exists
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,Comparison contract,../../audit/hypotheses/implementation_result_comparison_contract.html,audit/hypotheses/implementation_result_comparison_contract.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[6]/ul/li[1]/div/a,317,True
audit/H01/02_implementation_and_v0_comparison.html,sidebar,a,href,H03–H11 gated workflow,../../audit/hypotheses/H03-H11_gated_workflow.html,audit/hypotheses/H03-H11_gated_workflow.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[6]/ul/li[2]/div/a,323,True
audit/hypotheses/H03-H11_gated_workflow.html,head,link,href,,../../audit/hypotheses/implementation_result_comparison_contract.html,audit/hypotheses/implementation_result_comparison_contract.html,,/html/head/link[2],38,True
audit/hypotheses/H03-H11_gated_workflow.html,navbar,a,href,Audit workflow,../../audit/hypotheses/implementation_result_comparison_contract.html,audit/hypotheses/implementation_result_comparison_contract.html,,/html/body/header/nav/div/nav/ol/li[1]/a,90,True
audit/hypotheses/H03-H11_gated_workflow.html,sidebar,a,href,Comparison contract,../../audit/hypotheses/implementation_result_comparison_contract.html,audit/hypotheses/implementation_result_comparison_contract.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[6]/ul/li[1]/div/a,297,True
audit/hypotheses/H03-H11_gated_workflow.html,body,a,href,Audit workflow,../../audit/hypotheses/implementation_result_comparison_contract.html,audit/hypotheses/implementation_result_comparison_contract.html,,/html/body/div[2]/main/header/nav/ol/li[1]/a,371,True
audit/hypotheses/H03-H11_gated_workflow.html,previous_next,a,href,Comparison contract,../../audit/hypotheses/implementation_result_comparison_contract.html,audit/hypotheses/implementation_result_comparison_contract.html,,/html/body/div[2]/nav[2]/div[1]/a,968,True
audit/hypotheses/implementation_result_comparison_contract.html,head,link,href,,../../audit/hypotheses/H03-H11_gated_workflow.html,audit/hypotheses/H03-H11_gated_workflow.html,,/html/head/link[1],37,True
audit/hypotheses/implementation_result_comparison_contract.html,sidebar,a,href,H03–H11 gated workflow,../../audit/hypotheses/H03-H11_gated_workflow.html,audit/hypotheses/H03-H11_gated_workflow.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[6]/ul/li[2]/div/a,303,True
audit/hypotheses/implementation_result_comparison_contract.html,body,a,href,H03-H11_gated_workflow.qmd,../../audit/hypotheses/H03-H11_gated_workflow.html,audit/hypotheses/H03-H11_gated_workflow.html,,/html/body/div[2]/main/section[1]/p[1]/a,392,True
audit/hypotheses/implementation_result_comparison_contract.html,previous_next,a,href,H03–H11 gated workflow,../../audit/hypotheses/H03-H11_gated_workflow.html,audit/hypotheses/H03-H11_gated_workflow.html,,/html/body/div[2]/nav[2]/div[2]/a,919,True
notebooks/descriptives 2.html,sidebar,a,href,Comparison contract,../audit/hypotheses/implementation_result_comparison_contract.html,audit/hypotheses/implementation_result_comparison_contract.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[6]/ul/li[1]/div/a,342,True
notebooks/descriptives 2.html,sidebar,a,href,H03–H11 gated workflow,../audit/hypotheses/H03-H11_gated_workflow.html,audit/hypotheses/H03-H11_gated_workflow.html,,/html/body/div[2]/nav[1]/div[3]/ul/li[6]/ul/li[2]/div/a,348,True
