metric_slot,metric_id,manuscript_name,predictor_order,predictor_id,predictor,site,reference_level,comparison_level,other_contexts,reference_link,reference_link_se,comparison_link,comparison_link_se,reference_fitted,comparison_fitted,contrast_estimate,contrast_standard_error,contrast_lower_95,contrast_upper_95,display_estimate,display_lower_95,display_upper_95,effect_scale,pointwise_interval_excludes_null,site_name,display_order,site_color,global_interaction_raw_p,global_interaction_bh_q,global_interaction_fdr_supported,global_interaction_status
1,daily_geometric_mean_medi,Mean melEDI,1,work_free_day,Work/free day,RISE,Work day,Free day,Sedentary; 8 h sleep,0.8012854100598567,0.0814908052839908,0.7674146080347559,0.08558948349916039,6.228275969920889,5.753486324303097,-0.033870802025100705,0.06150769306303273,-0.15442366520078893,0.08668206115058752,0.9249733027013156,0.7007713447779332,1.2209055308637116,ratio for fitted metric + 0.1 lx,FALSE,Borås (SE),1,#88CCEE,3.457469724106193e-6,2.593102293079645e-5,TRUE,ESTIMABLE_EXPLORATORY
1,daily_geometric_mean_medi,Mean melEDI,1,work_free_day,Work/free day,THUAS,Work day,Free day,Sedentary; 8 h sleep,0.7860945907188429,0.08320328146756079,0.717778954105346,0.09361624488567455,6.0107510451292345,5.1213036901735265,-0.06831563661349688,0.06944618903480115,-0.20442766598526751,0.06779639275827376,0.8544454931338319,0.6245573649100097,1.1689512313122934,ratio for fitted metric + 0.1 lx,FALSE,Delft (NL),2,#117733,3.457469724106193e-6,2.593102293079645e-5,TRUE,ESTIMABLE_EXPLORATORY
1,daily_geometric_mean_medi,Mean melEDI,1,work_free_day,Work/free day,BAUA,Work day,Free day,Sedentary; 8 h sleep,0.8157566374329057,0.07227239857623509,0.7243154402812017,0.07645145635357906,6.442694429251889,5.20048293075259,-0.09144119715170416,0.05497706385610102,-0.19919426228542086,0.01631186798201255,0.8101376257241256,0.6321290333709035,1.0382737352119438,ratio for fitted metric + 0.1 lx,FALSE,Dortmund (DE),3,#DDCC77,3.457469724106193e-6,2.593102293079645e-5,TRUE,ESTIMABLE_EXPLORATORY
1,daily_geometric_mean_medi,Mean melEDI,1,work_free_day,Work/free day,MPI,Work day,Free day,Sedentary; 8 h sleep,0.7019457646400702,0.06011680510694357,0.6219312771369165,0.06071993578260913,4.934377347868577,4.087273003666419,-0.08001448750315376,0.042289049607800604,-0.1628995016748706,0.002870526668563092,0.831736025000033,0.6872274501333229,1.0066315237388268,ratio for fitted metric + 0.1 lx,FALSE,Tübingen (DE),4,#DDCC77,3.457469724106193e-6,2.593102293079645e-5,TRUE,ESTIMABLE_EXPLORATORY
1,daily_geometric_mean_medi,Mean melEDI,1,work_free_day,Work/free day,TUM,Work day,Free day,Sedentary; 8 h sleep,0.89613339424017735,0.09249890676160288,0.8364225472185649,0.0923993065398688,7.772875691895363,6.76155497416043,-0.05971084702161243,0.06471481598764173,-0.18654955562352704,0.06712786158030219,0.8715436700244074,0.6508043458967208,1.1671531905844952,ratio for fitted metric + 0.1 lx,FALSE,Munich (DE),5,#DDCC77,3.457469724106193e-6,2.593102293079645e-5,TRUE,ESTIMABLE_EXPLORATORY
1,daily_geometric_mean_medi,Mean melEDI,1,work_free_day,Work/free day,FUSPCEU,Work day,Free day,Sedentary; 8 h sleep,0.6414254587185821,0.06740449832110963,0.29000189560897494,0.07592596084095428,4.279509358525309,1.8498531104602152,-0.3514235631096072,0.06000200729292589,-0.4690253364038516,-0.23382178981536283,0.4452218161526615,0.3396054596928772,0.5836845666660869,ratio for fitted metric + 0.1 lx,TRUE,Madrid (ES),6,#CC6677,3.457469724106193e-6,2.593102293079645e-5,TRUE,ESTIMABLE_EXPLORATORY
1,daily_geometric_mean_medi,Mean melEDI,1,work_free_day,Work/free day,IZTECH,Work day,Free day,Sedentary; 8 h sleep,0.7424043180198446,0.06996015848102942,0.7419618487590391,0.076199486196217,5.425916498049924,5.420289433518676,-4.4246926080546145e-4,0.05540443683634527,-0.10903317004376645,0.10814823152215552,0.9989816957000287,0.7779771293294155,1.2827683369097356,ratio for fitted metric + 0.1 lx,FALSE,Izmir (TR),7,#332288,3.457469724106193e-6,2.593102293079645e-5,TRUE,ESTIMABLE_EXPLORATORY
1,daily_geometric_mean_medi,Mean melEDI,1,work_free_day,Work/free day,UCR,Work day,Free day,Sedentary; 8 h sleep,0.7160002945859438,0.11840333681093161,0.547476585266629,0.14012385811339342,5.099963492517055,3.4275776737714945,-0.16852370931931493,0.11418126219882391,-0.3923148709383344,0.05526745229970456,0.6783850845968077,0.40521464136629426,1.1357100065577685,ratio for fitted metric + 0.1 lx,FALSE,San José (CR),8,#44AA99,3.457469724106193e-6,2.593102293079645e-5,TRUE,ESTIMABLE_EXPLORATORY
1,daily_geometric_mean_medi,Mean melEDI,1,work_free_day,Work/free day,KNUST,Work day,Free day,Sedentary; 8 h sleep,0.38861020454597067,0.0804392050324122,0.03467330255652301,0.07832692063240673,2.3468661026303024,0.9831118380573877,-0.35393690198944766,0.06061830970763391,-0.4727466058201048,-0.23512719815879052,0.44265268005187414,0.33670796826483734,0.5819327536762936,ratio for fitted metric + 0.1 lx,TRUE,Kumasi (GH),9,#AA4499,3.457469724106193e-6,2.593102293079645e-5,TRUE,ESTIMABLE_EXPLORATORY
1,daily_geometric_mean_medi,Mean melEDI,3,activity_status,Daily activity status,RISE,Sedentary,Active,Work day; 8 h sleep,0.7714922857991673,0.08956114551333325,0.9360069952383518,0.08170335384229271,5.808704700834863,8.529924479879108,0.16451470943918461,0.06891681170660811,0.02944024056490438,0.2995891783134649,1.4605442168500578,1.0701391203694135,1.9933757852322687,ratio for fitted metric + 0.1 lx,TRUE,Borås (SE),1,#88CCEE,0.007417858281752625,0.05563393711314469,FALSE,ESTIMABLE_EXPLORATORY
1,daily_geometric_mean_medi,Mean melEDI,3,activity_status,Daily activity status,THUAS,Sedentary,Active,Work day; 8 h sleep,0.6759072851289314,0.11812817726654345,0.8851069315413644,0.08046322108544732,4.641407530472695,7.5755045158182615,0.20919964641243302,0.10133262965692408,0.010591341826126532,0.4078079509987395,1.6188240446509459,1.0246872722599627,2.557454706898325,ratio for fitted metric + 0.1 lx,TRUE,Delft (NL),2,#117733,0.007417858281752625,0.05563393711314469,FALSE,ESTIMABLE_EXPLORATORY
