"prohibited_call","observed","status"
"mgcv::gam",FALSE,"PASS"
"mgcv::bam",FALSE,"PASS"
"gam",FALSE,"PASS"
"bam",FALSE,"PASS"
"lme4::lmer",FALSE,"PASS"
"lmer",FALSE,"PASS"
"glmmTMB::glmmTMB",FALSE,"PASS"
"glmmTMB",FALSE,"PASS"
"nlme::lme",FALSE,"PASS"
"lme",FALSE,"PASS"
"stats::predict",FALSE,"PASS"
"predict",FALSE,"PASS"
"stats::simulate",FALSE,"PASS"
"simulate",FALSE,"PASS"
"boot::boot",FALSE,"PASS"
"boot",FALSE,"PASS"
"emmeans::emmeans",FALSE,"PASS"
"emmeans",FALSE,"PASS"
"h09_fit_model",FALSE,"PASS"
"h09_fit_bundle",FALSE,"PASS"
"h09_fit_models",FALSE,"PASS"
"h09_model_diagnostics",FALSE,"PASS"
"h09_residual_diagnostics",FALSE,"PASS"
"h09_leave_one_site_out",FALSE,"PASS"
"h09_participant_influence",FALSE,"PASS"
"h09_photoperiod_sensitivity",FALSE,"PASS"
"h09_participant_summary_sensitivity",FALSE,"PASS"
"h09_ar1_sensitivity",FALSE,"PASS"
