"occurrence","target","file","fragment","resolves","status"
1,"../../../notebooks/hypotheses/H09.qmd","../../../notebooks/hypotheses/H09.qmd","",TRUE,"PASS"
2,"../../../notebooks/preregistration_deviations.qmd#dev-037","../../../notebooks/preregistration_deviations.qmd","dev-037",TRUE,"PASS"
3,"../../../notebooks/preparation/04_metric_derivation.qmd","../../../notebooks/preparation/04_metric_derivation.qmd","",TRUE,"PASS"
4,"../../../notebooks/preparation/06_model_ready_datasets.qmd","../../../notebooks/preparation/06_model_ready_datasets.qmd","",TRUE,"PASS"
5,"../../../artifacts/06_model_data/H09/H09_model_frame_index.csv","../../../artifacts/06_model_data/H09/H09_model_frame_index.csv","",TRUE,"PASS"
6,"../../../notebooks/preregistration_deviations.qmd#dev-038","../../../notebooks/preregistration_deviations.qmd","dev-038",TRUE,"PASS"
7,"../../../notebooks/preregistration_deviations.qmd#dev-039","../../../notebooks/preregistration_deviations.qmd","dev-039",TRUE,"PASS"
8,"../../../notebooks/hypotheses/H09.qmd#h09-preregistration-deviations","../../../notebooks/hypotheses/H09.qmd","h09-preregistration-deviations",TRUE,"PASS"
9,"../../../artifacts/08_diagnostics/H09/H09_diagnostic_assessment_registry.csv","../../../artifacts/08_diagnostics/H09/H09_diagnostic_assessment_registry.csv","",TRUE,"PASS"
10,"../../../artifacts/08_diagnostics/H09/H09_diagnostic_author_adjudication.csv","../../../artifacts/08_diagnostics/H09/H09_diagnostic_author_adjudication.csv","",TRUE,"PASS"
11,"../../../artifacts/08_diagnostics/H09/H09_participant_influence_summary.csv","../../../artifacts/08_diagnostics/H09/H09_participant_influence_summary.csv","",TRUE,"PASS"
12,"../../../artifacts/08_diagnostics/H09/H09_leave_one_site_out_summary.csv","../../../artifacts/08_diagnostics/H09/H09_leave_one_site_out_summary.csv","",TRUE,"PASS"
13,"../../../artifacts/09_tables/H09/H09_gap_timing_unaware_sensitivity.csv","../../../artifacts/09_tables/H09/H09_gap_timing_unaware_sensitivity.csv","",TRUE,"PASS"
14,"../../../artifacts/09_tables/H09/H09_paired_placement_effects.csv","../../../artifacts/09_tables/H09/H09_paired_placement_effects.csv","",TRUE,"PASS"
15,"../../../artifacts/09_tables/H09/H09_photoperiod_sensitivity.csv","../../../artifacts/09_tables/H09/H09_photoperiod_sensitivity.csv","",TRUE,"PASS"
16,"../../../artifacts/09_tables/H09/H09_participant_summary_sensitivity.csv","../../../artifacts/09_tables/H09/H09_participant_summary_sensitivity.csv","",TRUE,"PASS"
17,"../../../artifacts/09_tables/H09/H09_ar1_sensitivity.csv","../../../artifacts/09_tables/H09/H09_ar1_sensitivity.csv","",TRUE,"PASS"
18,"../../../artifacts/09_tables/H09/H09_l10_cut_sensitivity.csv","../../../artifacts/09_tables/H09/H09_l10_cut_sensitivity.csv","",TRUE,"PASS"
19,"../../../artifacts/09_tables/H09/H09_fifth_outcome_sensitivity.csv","../../../artifacts/09_tables/H09/H09_fifth_outcome_sensitivity.csv","",TRUE,"PASS"
20,"../../../artifacts/12_manifests/H09/H09_figure_manifest.csv","../../../artifacts/12_manifests/H09/H09_figure_manifest.csv","",TRUE,"PASS"
21,"../../../artifacts/12_manifests/H09/H09_stage3_artifacts.csv","../../../artifacts/12_manifests/H09/H09_stage3_artifacts.csv","",TRUE,"PASS"
22,"../../../artifacts/12_manifests/H09/H09_package_versions.csv","../../../artifacts/12_manifests/H09/H09_package_versions.csv","",TRUE,"PASS"
23,"../../../notebooks/preparation/04_metric_derivation.qmd","../../../notebooks/preparation/04_metric_derivation.qmd","",TRUE,"PASS"
