"path","role","artifact_class","artifact_type","sha256","bytes","producer","r_version","written_utc","observed_sha256","observed_bytes","status"
"audit/hypotheses/H09/01_audit_and_plan.html","H09_audit_record","H09_audit_record","html","aa833ff2c8aabaf9cecf9cb71872c2e06d9f9e29e62283f74fa62e8f679c79c3",1698669,"scripts/hypotheses/H09/build_h09_preparation_report_manifest.R","4.6.1","2026-08-10 15:13:14 UTC","aa833ff2c8aabaf9cecf9cb71872c2e06d9f9e29e62283f74fa62e8f679c79c3",1698669,"LIVE_EXACT"
"audit/hypotheses/H09/01_audit_and_plan.qmd","H09_audit_record","H09_audit_record","qmd","e6ff16937c01e37b5e7b0b43269c7860344bbd4abd11b2c060f53c52fbe7a892",83062,"scripts/hypotheses/H09/build_h09_preparation_report_manifest.R","4.6.1","2026-08-10 15:13:14 UTC","e6ff16937c01e37b5e7b0b43269c7860344bbd4abd11b2c060f53c52fbe7a892",83062,"LIVE_EXACT"
"audit/hypotheses/H09/02_implementation_and_v0_comparison.html","H09_audit_record","H09_audit_record","html","955387638b350596e0296cc7ede954d3c8920b430af161b8f919fe1c637af3ef",14054288,"scripts/hypotheses/H09/build_h09_preparation_report_manifest.R","4.6.1","2026-08-10 15:13:14 UTC","955387638b350596e0296cc7ede954d3c8920b430af161b8f919fe1c637af3ef",14054288,"LIVE_EXACT"
"audit/hypotheses/H09/02_implementation_and_v0_comparison.qmd","H09_audit_record","H09_audit_record","qmd","d05c1f69bf3a55f78bb56f7b970a711f45675b988e6351fec205adf919fcc412",43767,"scripts/hypotheses/H09/build_h09_preparation_report_manifest.R","4.6.1","2026-08-10 15:13:14 UTC","d05c1f69bf3a55f78bb56f7b970a711f45675b988e6351fec205adf919fcc412",43767,"LIVE_EXACT"
"audit/hypotheses/H09/H09_analysis_preparation.html","H09_audit_record","H09_audit_record","html","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05",593181,"scripts/hypotheses/H09/build_h09_preparation_report_manifest.R","4.6.1","2026-08-10 15:13:14 UTC","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05",593181,"LIVE_EXACT"
"audit/hypotheses/H09/H09_analysis_preparation_files/figure-html/fig-h09-prep-sample-support-1.png","H09_audit_record","H09_audit_record","png","3116032e2bab0ad904a5cca5cb6353b5c0554e576cf076596671e31ed2caa775",129472,"scripts/hypotheses/H09/build_h09_preparation_report_manifest.R","4.6.1","2026-08-10 15:13:14 UTC","3116032e2bab0ad904a5cca5cb6353b5c0554e576cf076596671e31ed2caa775",129472,"LIVE_EXACT"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/bootstrap/bootstrap-138a6193a3bd40baf1e627da441a4734.min.css","H09_audit_record","H09_audit_record","css","a20d3d44875fd0fbe2eadf1dc56573a7a052bd9bd9eddb1d4965d913189ad5ec",430952,"scripts/hypotheses/H09/build_h09_preparation_report_manifest.R","4.6.1","2026-08-10 15:13:14 UTC","a20d3d44875fd0fbe2eadf1dc56573a7a052bd9bd9eddb1d4965d913189ad5ec",430952,"LIVE_EXACT"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/bootstrap/bootstrap-icons.css","H09_audit_record","H09_audit_record","css","01253947f506e030589e4f33fc7ec7ccdfb9505e2e596dedf16445f12e243c0a",99464,"scripts/hypotheses/H09/build_h09_preparation_report_manifest.R","4.6.1","2026-08-10 15:13:14 UTC","01253947f506e030589e4f33fc7ec7ccdfb9505e2e596dedf16445f12e243c0a",99464,"LIVE_EXACT"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/bootstrap/bootstrap-icons.woff","H09_audit_record","H09_audit_record","woff","f55513b7b591cb84a3b87ff0e34ea24d4831d6fedc22e54b911ca64b5b544a15",180288,"scripts/hypotheses/H09/build_h09_preparation_report_manifest.R","4.6.1","2026-08-10 15:13:14 UTC","f55513b7b591cb84a3b87ff0e34ea24d4831d6fedc22e54b911ca64b5b544a15",180288,"LIVE_EXACT"
"audit/hypotheses/H09/H09_analysis_preparation_files/libs/bootstrap/bootstrap.min.js","H09_audit_record","H09_audit_record","js","d2ea6c1e0cabca20d18e924b25a1cd0187c38ba7c33f60ab06e1b0402b9bcdb5",80668,"scripts/hypotheses/H09/build_h09_preparation_report_manifest.R","4.6.1","2026-08-10 15:13:14 UTC","d2ea6c1e0cabca20d18e924b25a1cd0187c38ba7c33f60ab06e1b0402b9bcdb5",80668,"LIVE_EXACT"
