"domain","check","observed","expected","status","r_version","digest_version"
"evidence","required fail-closed evidence present","36","36","PASS","4.6.1","0.6.39"
"preflight","complete pre-render gate","18/18","18/18","PASS","4.6.1","0.6.39"
"preflight","sealed authority and result identities","8/25/34/37","8/25/34/37","PASS","4.6.1","0.6.39"
"preflight","source structure and prohibited-call gate","22/19/1/23/22/0","22/19/1/23/22/0","PASS","4.6.1","0.6.39"
"preflight","historical preparation-manifest classification","113/19","113/19","PASS","4.6.1","0.6.39"
"execution","sole render failed at bounded input identity gate","1/1/0/0","1/1/0/0","PASS","4.6.1","0.6.39"
"failure","exact upstream identity discrepancy","gap_manifest|gap_timing_unaware_metrics|metric_display_registry","gap_manifest|gap_timing_unaware_metrics|metric_display_registry","PASS","4.6.1","0.6.39"
"preservation","build unchanged after stopped render","851/851","851/851","PASS","4.6.1","0.6.39"
"preservation","protected scope unchanged after stopped render","487/487","all non-matrix protected rows unchanged","PASS","4.6.1","0.6.39"
"preservation","historical source-side support tree unchanged","16/16","16/16","PASS","4.6.1","0.6.39"
"preservation","semantic, tests, capture, and teardown gates","0/2/14/2/3","0/2/14/2/3","PASS","4.6.1","0.6.39"
"environment","Sass cache unchanged","22f60821f5020edfa0900fc872503bbe993388c7f5acb86c059bc53dcd606853/36864","22f60821f5020edfa0900fc872503bbe993388c7f5acb86c059bc53dcd606853/36864","PASS","4.6.1","0.6.39"
"preservation","helper, manifest, source, and held outputs exact","6","6","PASS","4.6.1","0.6.39"
"boundary","conditional postrender actions correctly withheld","helper 0; browser QA 0; retry 0","helper 0; browser QA 0; retry 0","PASS","4.6.1","0.6.39"
