"relative_path","role","sha256","bytes","modified_utc","is_symlink","symlink_target"
"_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html","h09_protected","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05",593181,"2026-08-10T15:13:14.029885Z UTC",FALSE,""
"_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.qmd","h09_protected","4640129c38a5aabd874549ff8d5ebc74b736a16fe6f900f4654b1573b2b69f5c",43562,"2026-08-10T15:13:14.031988Z UTC",FALSE,""
"_build/nathealth/notebooks/hypotheses/H09.html","h09_protected","901fd63b45182be70ef77166c418633220a7226d86f52e14d1c79afbfc7cdd16",244127,"2026-08-22T07:15:13.203920Z UTC",FALSE,""
"_build/nathealth/supplementary_information.html","h09_protected","a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb",49234,"2026-08-20T10:07:18.760657Z UTC",FALSE,""
"_quarto-nathealth.yml","h09_protected","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"2026-08-14T14:21:45.336235Z UTC",FALSE,""
"_quarto.yml","h09_protected","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c",2517,"2026-07-03T18:42:18.747725Z UTC",FALSE,""
"artifacts/06_model_data/H09/H09_author_approvals.csv","h09_protected","a7788bb72fe19e68aa3f3116554ffc215299422596dc6863538fbfc069757070",1142,"2026-08-10T08:03:56.131660Z UTC",FALSE,""
"artifacts/06_model_data/H09/H09_base_bundle_audit.csv","h09_protected","21e8a8f965de898e88fc3ab6702e3b26472be3b345e7aa0f4e39df07a42255ae",491,"2026-08-11T23:55:46.880013Z UTC",FALSE,""
"artifacts/06_model_data/H09/H09_family_registry.csv","h09_protected","92862d3d769d0822916a4b94c10dc71c56b4feae9547e7ba8903b05bc9121f44",375,"2026-08-10T08:03:56.476549Z UTC",FALSE,""
"artifacts/06_model_data/H09/H09_formula_registry.csv","h09_protected","d315e77544ab99138dc72023360a0baac7d81ed3636a58fd76725ce3fefa233d",2898,"2026-08-10T08:03:56.559899Z UTC",FALSE,""
"artifacts/06_model_data/H09/H09_gap_common_sample_audit.csv","h09_protected","53bc4d1d952ddf97a0805de4f8bd172f52e6b8b345003b2285d4003336c0d105",3963,"2026-08-10T08:03:58.577071Z UTC",FALSE,""
"artifacts/06_model_data/H09/H09_input_audit.csv","h09_protected","be258bf523eadc318cf8926298e83275f64b38f5c5c4d1cc499f7841c0c2cafb",4253,"2026-08-11T23:55:46.873437Z UTC",FALSE,""
"artifacts/06_model_data/H09/H09_metric_display_audit.csv","h09_protected","03e8d9a248b4d70c240e78dbfa7b78461fc20ec889976202a09067395cb2bdbd",2320,"2026-08-10T08:03:56.714307Z UTC",FALSE,""
"artifacts/06_model_data/H09/H09_metric_registry.csv","h09_protected","3d42bee1dff468c59ab2dec47561002210cb2320dc83c9da582fcfbaf56f49ae",1815,"2026-08-10T08:03:56.211959Z UTC",FALSE,""
"artifacts/06_model_data/H09/H09_METRIC-011_excluded_shared_drift.csv","h09_protected","91d9781466273385338432c7d86c68f35ae65ba828e547659d0cf69720b5b5b9",1266,"2026-08-11T23:55:47.437364Z UTC",FALSE,""
"artifacts/06_model_data/H09/H09_METRIC-011_input_transition.csv","h09_protected","88dcd748ae57300a63f93caa76d94824836fbca622327744f8c053cd9186812b",2137,"2026-08-11T23:55:46.952048Z UTC",FALSE,""
"artifacts/06_model_data/H09/H09_METRIC-011_l10_frame_identity.csv","h09_protected","3a378dc2782128d3aa63cbc66d5e8e63bf60acd26246e48ca9cef7ee709ad96a",983,"2026-08-11T23:55:47.110964Z UTC",FALSE,""
"artifacts/06_model_data/H09/H09_model_frame_by_site.csv","h09_protected","0539a468bd23dfaab9b90f3e715e486d4e910b57bef0e2ab52bd57c4311f706f",118647,"2026-08-10T08:03:58.357478Z UTC",FALSE,""
"artifacts/06_model_data/H09/H09_model_frame_index.csv","h09_protected","5a0fb42c30fa03d7f86c598d74455d7fca3bd8c3d4af957ae014f870e029fadb",39838,"2026-08-10T08:03:58.290662Z UTC",FALSE,""
