"type","source_order","endpoint","status"
"table",1,"tbl-h09-prep-input-identities","PASS"
"table",2,"tbl-h09-prep-integrity-checks","PASS"
"table",3,"tbl-h09-prep-score-audit","PASS"
"table",4,"tbl-h09-prep-predictor-contract","PASS"
"table",5,"tbl-h09-prep-metric-contract","PASS"
"table",6,"tbl-h09-prep-primary-samples","PASS"
"table",7,"tbl-h09-prep-common-samples","PASS"
"table",8,"tbl-h09-prep-primary-formulas","PASS"
"table",9,"tbl-h09-prep-sensitivity-formulas","PASS"
"table",10,"tbl-h09-prep-families","PASS"
"table",11,"tbl-h09-prep-diagnostic-summary","PASS"
"table",12,"tbl-h09-prep-sensitivity-map","PASS"
"table",13,"tbl-h09-prep-boundary","PASS"
"table",14,"tbl-h09-prep-intermediate-artifacts","PASS"
"table",15,"tbl-h09-prep-code-map","PASS"
"table",16,"tbl-h09-prep-script-map","PASS"
"table",17,"tbl-h09-prep-reader-manifest-check","PASS"
"table",18,"tbl-h09-prep-key-output-identities","PASS"
"table",19,"tbl-h09-prep-execution","PASS"
"figure",20,"fig-h09-prep-sample-support","PASS"
