"domain","check","observed","expected","status"
"authority","fixed controlling identities","8","8","PASS"
"authority","25-row release manifest","25/25","25/25 exact unique non-circular","PASS"
"authority","non-matrix dispatch identities","8/8","8/8 exact unique non-circular","PASS"
"authority","34-row release pins","34/34","34/34 exact unique non-circular","PASS"
"authority","accepted H09 result package","37/37","37/37 exact unique non-circular","PASS"
"source","parseable R chunks","22/22","22/22","PASS"
"source","endpoint contract","19/1","19 tables/1 figure in accepted order","PASS"
"source","top-down Mermaid","1","1","PASS"
"source","prohibited scientific-regeneration calls","","none","PASS"
"source","relative reader targets","23/22","23/22 all resolving with two dynamic result links","PASS"
"manifest","132-row historical manifest","113/19","113 live exact/19 classified transitions","PASS"
"source","scientific preservation phrases","9","9","PASS"
"profile","result and companion profile adjacency","41/42","single adjacent entries","PASS"
"figure","frozen sample-support input","108/108","108/108","PASS"
"historical","source-side support tree","16","16","PASS"
"build","build files and symlinks","851/0","851/0","PASS"
"protected","complete protected H09 inventory","488","all present, regular, nonsymlink files","PASS"
"environment","authoritative software versions","4.6.1/0.6.39/1.9.37","4.6.1/0.6.39/1.9.37","PASS"
