"check","observed","expected","status"
"single render attempt recorded","1 invocation; exit 1; zero retries","1 invocation; exit 1; zero retries","PASS"
"input identity failure reproduced","3 failed rows","3 failed rows","PASS"
"exactly three failed result inputs","3","3","PASS"
"failed input roles exact","gap_manifest|gap_timing_unaware_metrics|metric_display_registry","gap_manifest|gap_timing_unaware_metrics|metric_display_registry","PASS"
"build remained unchanged","851","all unchanged","PASS"
"protected scope remained unchanged","488","all unchanged","PASS"
"historical source-side support tree unchanged","16","all unchanged","PASS"
"semantic hook produced no evidence after early execution failure","0","0","PASS"
"historical tests remained byte-identical and unexecuted","UNCHANGED|UNCHANGED","UNCHANGED|UNCHANGED","PASS"
"helper remained byte-identical and unexecuted","c7a320367e0115aee221a3a6ba5228a9a27ba55f734bd07881455b3159cebf56 not run","c7a320367e0115aee221a3a6ba5228a9a27ba55f734bd07881455b3159cebf56; not run","PASS"
"preparation manifest remained historical 132-row identity","8e1d633262b33df64e45f0fc3fd677f4bb1e8a69120cb76a9b152509b94f0aaf","8e1d633262b33df64e45f0fc3fd677f4bb1e8a69120cb76a9b152509b94f0aaf","PASS"
"canonical companion HTML remained held","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05","PASS"
"source-side companion HTML remained historical","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05","PASS"
"build companion QMD remained stale","4640129c38a5aabd874549ff8d5ebc74b736a16fe6f900f4654b1573b2b69f5c","4640129c38a5aabd874549ff8d5ebc74b736a16fe6f900f4654b1573b2b69f5c","PASS"
