"input_role","path","use","expected_sha256","observed_sha256","hash_verified","expected_rows","observed_rows","rows_verified","bytes","current_sha256","current_bytes","current_identity_matches_record","recorded_hash_verified","recorded_rows_verified","render_verified","status"
"metric_manifest","artifacts/12_manifests/metric_artifacts.csv","METRIC-011 current metric identity; H09 estimands invariant","028bce108339c1277df4a070597430ea20b49c34c2888f4eef42741c1fe76a5e","028bce108339c1277df4a070597430ea20b49c34c2888f4eef42741c1fe76a5e",TRUE,,,TRUE,51293,"028bce108339c1277df4a070597430ea20b49c34c2888f4eef42741c1fe76a5e",51293,TRUE,TRUE,TRUE,TRUE,"PASS"
"base_manifest","artifacts/12_manifests/base_model_data_artifacts.csv","METRIC-011 current base identity and bundle","8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce","8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce",TRUE,,,TRUE,10273,"8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce",10273,TRUE,TRUE,TRUE,TRUE,"PASS"
"primary_near_eye_context","artifacts/06_model_data/base/metrics_glasses_participant_day_context.rds","METRIC-011 current direct near-eye identity","013afe75e9b75b141b4cb48d04111a9e6c688630085a24c9fe07ca3d142a4e9a","013afe75e9b75b141b4cb48d04111a9e6c688630085a24c9fe07ca3d142a4e9a",TRUE,816,816,TRUE,109356,"013afe75e9b75b141b4cb48d04111a9e6c688630085a24c9fe07ca3d142a4e9a",109356,TRUE,TRUE,TRUE,TRUE,"PASS"
"primary_chest_context","artifacts/06_model_data/base/metrics_chest_participant_day_context.rds","METRIC-011 current direct chest identity","497466ccd1a35635cca40bb8f9ce51efb97321ab04b42ee1bb76785e466a2057","497466ccd1a35635cca40bb8f9ce51efb97321ab04b42ee1bb76785e466a2057",TRUE,902,902,TRUE,117824,"497466ccd1a35635cca40bb8f9ce51efb97321ab04b42ee1bb76785e466a2057",117824,TRUE,TRUE,TRUE,TRUE,"PASS"
"primary_near_eye_enriched","artifacts/06_model_data/base/metrics_glasses_participant_day_enriched.rds","METRIC-011 current enriched near-eye identity; H09 fields invariant","b469fa8f0a743de1cbb1075f78879b84ab602c74cc44fb97da45dee596681f42","b469fa8f0a743de1cbb1075f78879b84ab602c74cc44fb97da45dee596681f42",TRUE,816,816,TRUE,119612,"b469fa8f0a743de1cbb1075f78879b84ab602c74cc44fb97da45dee596681f42",119612,TRUE,TRUE,TRUE,TRUE,"PASS"
"primary_chest_enriched","artifacts/06_model_data/base/metrics_chest_participant_day_enriched.rds","METRIC-011 current enriched chest identity; H09 fields invariant","10aebeb5dabb53e8f3ee0747b62c31707da344e11b7068261c2ada2a0b7badc9","10aebeb5dabb53e8f3ee0747b62c31707da344e11b7068261c2ada2a0b7badc9",TRUE,902,902,TRUE,129328,"10aebeb5dabb53e8f3ee0747b62c31707da344e11b7068261c2ada2a0b7badc9",129328,TRUE,TRUE,TRUE,TRUE,"PASS"
"normalized_chronotype","artifacts/06_model_data/normalized_inputs/chronotype.rds","Pinned aggregate msf_sc and meq fields accepted by H09-001","9266c61e265d445f60ea3862a68c69a24af3f17b3773ff57cf338939fd67eeb6","9266c61e265d445f60ea3862a68c69a24af3f17b3773ff57cf338939fd67eeb6",TRUE,186,186,TRUE,5996,"9266c61e265d445f60ea3862a68c69a24af3f17b3773ff57cf338939fd67eeb6",5996,TRUE,TRUE,TRUE,TRUE,"PASS"
"gap_timing_unaware_metrics","artifacts/06_model_data/scenarios/manuscript_prepared_data/participant_day_metrics.rds","Approved prepared-data sensitivity","28266064c6213eae6046ec6469d0dae39529f56e60933dcd581cf96c8590e1a4","28266064c6213eae6046ec6469d0dae39529f56e60933dcd581cf96c8590e1a4",TRUE,,,TRUE,88760,"7561b5dd47cb5e23ca94ba59bd57648f11fe492f86af53a566c5c9cf42d932f1",88248,FALSE,TRUE,TRUE,FALSE,"FAIL"
"gap_manifest","artifacts/12_manifests/manuscript_prepared_data_artifacts.csv","Gap-timing-unaware provenance","af74cc9fa36e426222d9b5f2328e2261c00b14436feb8d86fbf137d0ff313267","af74cc9fa36e426222d9b5f2328e2261c00b14436feb8d86fbf137d0ff313267",TRUE,,,TRUE,3970,"4ed62fbe58de65a6d05d8cfc6b5d870d7c74a3c83fe89bcd72bd1dd838698935",4497,FALSE,TRUE,TRUE,FALSE,"FAIL"
"site_display_registry","config/site_display_registry.csv","Submitted site names, order, and colours","3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809","3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809",TRUE,,,TRUE,295,"3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809",295,TRUE,TRUE,TRUE,TRUE,"PASS"
"metric_display_registry","config/metric_display_registry.csv","Manuscript metric display names","6c0adc3ca061ac49591d71243dd7ff0693311eb1f499836cf52c2742328b8154","6c0adc3ca061ac49591d71243dd7ff0693311eb1f499836cf52c2742328b8154",TRUE,,,TRUE,3182,"c82db05a77cc50ce5b9dbd459c90997fa6bb7d87c0b8e880c1bf8186fad06ed0",3203,FALSE,TRUE,TRUE,FALSE,"FAIL"
